Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GDP	GDP	DFU	DFU	DRP	DRP	DG	DG	SSW	SSW	WGnD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																												
153	Prüm	RP	124331	110733	4849	5990	105884	104743	14140	14061	81009	79659	0	0	9601	9415	463	485	671	673	0	411	0	39	0	0	0	0
154	Trier	RP	149078	131362	5137	7544	126225	123818	30989	30375	78295	76671	0	0	14278	13977	471	506	1132	1133	1060	1114	0	42	0	0	0	0
155	Montabaur	RP	177799	157369	4242	7911	153127	149458	50066	49040	74794	72230	0	0	23604	23328	865	876	1918	1953	1880	1925	0	106	0	0	0	0
156	Mainz	RP	169786	150939	4985	7222	145954	143717	57221	55941	63632	62126	0	0	18921	19184	931	1000	3338	3452	1911	1949	0	65	0	0	0	0
157	Worms	RP	139458	123504	4117	7597	119387	115907	52608	50446	41543	38958	0	0	18017	18578	0	511	2634	2611	4585	4713	0	90	0	0	0	0
158	Ludwigshafen am Rhein	RP	185695	162412	5251	7030	157161	155382	73939	72829	59043	56630	0	0	16662	17538	0	562	4201	4285	3316	3427	0	111	0	0	0	0
159	Neustadt an der Weinstraße	RP	162890	143603	6137	4968	137466	138635	56926	57092	51774	51506	0	0	18895	19489	855	940	2274	2349	6742	7192	0	67	0	0	0	0
160	Kaiserslautern	RP	177128	150244	5304	8037	144940	142207	59952	58403	53908	52223	0	0	18804	18503	0	785	3789	3616	8487	8504	0	173	0	0	0	0
161	Zweibrücken	RP	162624	143654	4888	7542	138766	136112	50374	49010	64426	63143	0	0	16921	16573	499	555	1829	1933	4266	4446	451	452	0	0	0	0
162	Speyer	RP	162248	145402	5541	7219	139861	138183	43790	43229	75808	74115	0	0	15018	15441	584	634	1856	1883	2534	2606	271	275	0	0	0	0
907	Rheinland-Pfalz	RP	2348108	2069927	69645	99994	2000282	1969933	675693	659830	988462	964270	0	0	255961	259578	7323	9766	29260	29867	42389	44644	1194	1978	0	0	0	0
																												
163	Stuttgart I (West)	BW	225514	186695	4459	7884	182236	178811	68994	67740	58608	58338	0	0	44795	42612	2761	2968	5678	5649	1400	1396	0	108	0	0	0	0
164	Stuttgart II (Ost)	BW	217846	182552	4431	7968	178121	174584	76859	74066	53592	52859	0	0	37693	36975	3002	3206	5707	6073	1268	1304	0	101	0	0	0	0
165	Ludwigsburg	BW	162900	139645	3443	7140	136202	132505	56335	53027	46097	43904	0	0	24863	26216	5316	5473	2174	2373	1077	1172	340	340	0	0	0	0
166	Heilbronn	BW	170472	147774	4060	7575	143714	140199	55279	54469	45861	44229	0	0	37157	35552	2717	2859	1888	2128	812	904	0	58	0	0	0	0
167	Böblingen	BW	211650	178235	5605	10794	172630	167441	63700	61349	63751	60834	0	0	31188	30680	8465	8888	3719	3820	1555	1607	252	263	0	0	0	0
168	Eßlingen	BW	184037	158474	4415	9592	154059	148882	56692	54769	60138	54990	0	0	23302	24875	8506	8663	3922	4017	1310	1367	189	201	0	0	0	0
169	Göppingen	BW	174148	151112	4078	6010	147034	145102	54099	51351	55965	55800	0	0	25391	25738	7275	7432	3080	3472	755	804	469	505	0	0	0	0
170	Ulm	BW	194941	168170	4329	8478	163841	159692	51054	51737	87142	76376	0	0	17170	22054	3157	3777	4406	4727	645	735	267	286	0	0	0	0
171	Aalen	BW	159630	142705	3763	6754	138942	135951	35647	35415	75469	73814	0	0	16637	15491	8911	8864	1569	1649	471	477	238	241	0	0	0	0
172	Backnang	BW	99592	83186	2771	5308	80415	77878	24922	24437	33780	30434	0	0	18084	18850	2013	2298	991	1162	423	457	202	240	0	0	0	0
173	Crailsheim	BW	119161	96611	3278	5470	93333	91141	20577	19503	40772	41221	0	0	26717	24513	3565	3623	1702	1855	0	343	0	83	0	0	0	0
174	Waiblingen	BW	128843	107274	2955	5503	104319	101771	38232	37224	36346	33816	0	0	23340	23676	3904	4113	1725	2030	772	858	0	54	0	0	0	0
175	Karlsruhe-Stadt	BW	171770	139748	3669	8500	136079	131248	47859	45164	62472	59541	0	0	17202	17617	2659	2899	4546	4584	1341	1366	0	77	0	0	0	0
176	Mannheim-Stadt	BW	224890	184264	3319	6155	180945	178109	80354	74481	66974	68567	0	0	20197	21439	1634	1725	9330	9435	1987	2010	469	452	0	0	0	0
177	Heidelberg	BW	184860	158235	4133	7209	154102	151026	53878	51760	69916	67968	0	0	20907	21166	4828	5233	2730	2943	1598	1717	245	239	0	0	0	0
178	Karlsruhe-Land	BW	197599	166852	7727	11832	159125	155020	56317	54227	71842	68897	0	0	22228	22546	3427	3575	3370	3646	1775	1928	166	201	0	0	0	0
179	Bruchsal	BW	100091	86261	5488	6592	80773	79669	20865	20308	48787	48254	0	0	7310	7165	1766	1817	1358	1381	608	660	79	84	0	0	0	0
180	Mannheim-Land	BW	109768	97105	3336	4950	93769	92155	35423	34766	40180	39374	0	0	11961	11442	2053	2215	3011	3116	945	1039	196	203	0	0	0	0
181	Sinsheim	BW	89640	75458	3441	5503	72017	69955	20371	19607	35164	33527	0	0	11263	11303	3090	3308	904	1009	674	706	551	495	0	0	0	0
182	Tauberbischofsheim	BW	92863	81302	3486	4065	77816	77237	13165	12913	52186	51902	0	0	7488	7232	4277	4277	700	664	0	213	0	36	0	0	0	0
183	Konstanz	BW	143624	119118	4178	6425	114940	112693	31946	31279	61075	59171	0	0	15275	15448	1865	1932	3710	3799	747	788	322	276	0	0	0	0
184	Donaueschingen	BW	141280	121042	5138	7720	115904	113322	28935	28332	64481	63079	0	0	18633	17635	2239	2218	1616	1612	0	352	0	94	0	0	0	0
185	Lörrach	BW	166406	137265	6052	7781	131213	129484	47034	44854	59885	59204	0	0	18508	18983	2465	2507	2869	3098	0	459	452	379	0	0	0	0
186	Freiburg	BW	144776	119647	3197	5567	116450	114080	35112	34471	56099	54264	0	0	19524	19486	1787	1811	2869	2944	723	757	336	347	0	0	0	0
187	Emmendingen	BW	154584	131732	7210	7714	124522	124018	37006	36592	61685	62516	0	0	22180	20447	1861	1914	1790	1888	0	544	0	117	0	0	0	0
188	Offenburg	BW	154492	129618	5847	7993	123771	121625	35461	35113	65530	62293	0	0	17632	18765	2106	2316	1582	1692	1085	1121	375	325	0	0	0	0
