Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	CSU	CSU	FDP	FDP	GB/BHE	GB/BHE	DP	DP	DRP	DRP	FU	FU	BdD	BdD	Mittelstand	Mittelstand	DG	DG	SSW	SSW	VU	VU	PdgD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																				
146	Dieburg	HE	106183	96914	4518	4850	92396	92064	40947	38732	41854	40261	0	0	4568	5148	3271	3698	0	2174	1756	1880	0	0	0	171	0	0	0	0	0	0	0	0	0	0
147	Bergstraße	HE	119064	107248	4136	5122	103112	102126	52213	50211	37933	36771	0	0	7380	7497	4586	5050	0	1453	1000	1020	0	0	0	124	0	0	0	0	0	0	0	0	0	0
906	Hessen	HE	3214856	2863092	102907	135829	2760185	2727263	1064466	1116494	1071222	1037166	0	0	243877	232872	149953	151972	194419	148792	32332	33881	0	0	3127	6086	0	0	789	0	0	0	0	0	0	0
																																				
148	Altenkirchen (Westerwald)	RP	162174	147154	3242	3754	143912	143400	82904	82094	40364	40279	0	0	14506	14504	1976	2191	3175	3051	987	1131	0	0	0	133	0	0	0	17	0	0	0	0	0	0
149	Ahrweiler	RP	132262	121703	2570	3809	119133	117894	87990	86885	23406	23146	0	0	4634	4724	1424	1503	899	1045	424	486	0	0	0	83	0	0	0	22	0	0	0	0	356	0
150	Koblenz	RP	143987	129676	3887	4190	125789	125486	77671	76974	33797	33775	0	0	10062	10023	1787	1985	979	1160	1132	1188	0	0	361	330	0	0	0	51	0	0	0	0	0	0
151	Cochem	RP	118027	105773	3322	3597	102451	102176	66989	67027	15002	14879	0	0	14649	13979	1833	1892	1500	1702	2020	2211	0	0	458	459	0	0	0	27	0	0	0	0	0	0
152	Kreuznach	RP	143086	121861	3232	4193	118629	117668	44782	45254	45439	41719	0	0	20120	20580	1776	2010	842	1321	4723	5864	0	0	590	568	0	0	357	352	0	0	0	0	0	0
153	Prüm	RP	121302	108667	4445	4565	104222	104102	82988	82359	12601	12688	0	0	5945	5987	1223	1360	726	884	427	471	0	0	312	332	0	0	0	21	0	0	0	0	0	0
154	Trier	RP	144081	127765	4650	7234	123115	120531	82376	80277	27006	26283	0	0	8222	8082	1199	1301	2567	2675	1467	1620	0	0	278	256	0	0	0	37	0	0	0	0	0	0
155	Montabaur	RP	169907	150565	4457	5923	146108	144642	81067	79398	42359	41808	0	0	15364	15307	2669	2712	2741	3008	1908	2152	0	0	0	153	0	0	0	104	0	0	0	0	0	0
156	Mainz	RP	159220	140759	3678	5090	137081	135669	65857	64683	51686	50384	0	0	11963	12302	1624	1784	1847	2159	3521	3759	0	0	583	549	0	0	0	49	0	0	0	0	0	0
157	Worms	RP	136032	119252	4607	5506	114645	113746	42175	41296	46995	46217	0	0	13436	13514	1492	1606	1973	2185	8281	8549	0	0	293	303	0	0	0	76	0	0	0	0	0	0
158	Ludwigshafen am Rhein	RP	174373	149637	5191	6626	144446	143011	60112	58690	65347	64385	0	0	12713	12974	1511	1642	1273	1496	3009	3274	0	0	481	466	0	0	0	84	0	0	0	0	0	0
159	Neustadt an der Weinstraße	RP	157053	138199	8540	4433	129659	133766	54912	55312	47747	49517	0	0	13995	14359	1974	2201	2811	2771	8220	9380	0	0	0	176	0	0	0	50	0	0	0	0	0	0
160	Kaiserslautern	RP	168851	141324	5516	6416	135808	134908	58193	57108	53086	52340	0	0	14128	13766	2686	2718	2444	2468	5271	6030	0	0	0	216	0	0	0	262	0	0	0	0	0	0
161	Zweibrücken	RP	153607	136098	5247	5323	130851	130775	68161	67952	42885	42813	0	0	13359	13226	1215	1267	1326	1427	2821	3006	0	0	419	418	0	0	665	666	0	0	0	0	0	0
162	Speyer	RP	153061	137792	5424	6561	132368	131231	75172	74400	38404	37970	0	0	12204	11961	1547	1603	2122	2346	2115	2229	0	0	359	346	0	0	445	376	0	0	0	0	0	0
907	Rheinland-Pfalz	RP	2237023	1976225	68008	77220	1908217	1899005	1031349	1019709	586124	578203	0	0	185300	185288	25936	27775	27225	29698	46326	51350	0	0	4134	4788	0	0	1467	2194	0	0	0	0	356	0
																																				
163	Stuttgart I (West)	BW	220309	180174	3992	5381	176182	174793	75074	73662	53677	52689	0	0	38444	38574	4450	4755	2855	3251	1263	1328	0	0	419	457	0	0	0	77	0	0	0	0	0	0
164	Stuttgart II (Ost)	BW	212150	175711	4029	5825	171682	169886	68057	67069	61106	58528	0	0	33764	34884	4892	5161	2218	2427	1250	1327	0	0	395	424	0	0	0	66	0	0	0	0	0	0
165	Ludwigsburg	BW	146475	124549	3847	5737	120702	118812	51271	49280	40252	36276	0	0	19707	21908	7855	8323	0	1052	1198	1392	0	0	0	167	0	0	419	414	0	0	0	0	0	0
166	Heilbronn	BW	157949	136506	4262	6165	132244	130341	46538	47231	43661	42978	0	0	35534	32891	4986	5257	748	966	652	707	0	0	0	207	0	0	125	104	0	0	0	0	0	0
167	Böblingen	BW	182399	152389	5321	8763	147068	143626	73709	68385	38916	37235	0	0	20324	23089	11872	12157	878	1206	936	1040	0	0	433	411	0	0	0	103	0	0	0	0	0	0
168	Eßlingen	BW	163916	139496	5087	6401	134409	133095	66681	62576	39405	37973	0	0	15893	18246	9959	11087	1564	1748	907	1057	0	0	0	209	0	0	0	199	0	0	0	0	0	0
169	Göppingen	BW	163616	141433	4066	6256	137367	135177	66412	65595	39966	36229	0	0	19169	20202	9622	10636	1307	1405	482	518	0	0	0	135	0	0	409	457	0	0	0	0	0	0
170	Ulm	BW	184243	157012	4015	6524	152997	150488	89408	81959	38314	37878	0	0	16605	20415	6457	7472	1127	1620	460	491	0	0	304	334	0	0	322	319	0	0	0	0	0	0
171	Aalen	BW	149284	133533	3252	5469	130281	128064	80721	78865	24844	23576	0	0	11678	11472	11317	12203	949	1013	485	535	0	0	0	116	0	0	287	284	0	0	0	0	0	0
172	Backnang	BW	92562	76128	2186	3516	73942	72612	36057	33894	18038	17263	0	0	14266	14940	3359	3961	1585	1781	349	413	0	0	0	71	0	0	288	289	0	0	0	0	0	0
173	Crailsheim	BW	113649	92045	3218	4610	88827	87435	42851	43286	14385	14191	0	0	24614	22511	5474	5899	895	1067	0	285	0	0	0	126	0	0	0	70	0	0	0	0	0	608
174	Waiblingen	BW	112512	94002	2927	4105	91075	89897	40043	37616	23663	22784	0	0	19615	20868	5441	5843	613	773	1700	1868	0	0	0	107	0	0	0	38	0	0	0	0	0	0
175	Karlsruhe-Stadt	BW	160264	130797	7635	5904	123162	124893	60091	67561	43456	39728	0	0	11302	10760	4005	3506	2837	1782	1234	1220	0	0	237	265	0	0	0	71	0	0	0	0	0	0
176	Mannheim-Stadt	BW	211629	174958	4155	6634	170803	168324	73418	74990	76267	70185	0	0	15087	15804	2919	3220	2623	2735	0	691	0	0	0	317	0	0	489	382	0	0	0	0	0	0
177	Heidelberg	BW	175456	150755	3703	5704	147052	145051	77342	75194	41232	40128	0	0	19024	18998	6565	7361	1166	1508	1448	1400	0	0	0	185	0	0	275	277	0	0	0	0	0	0
178	Karlsruhe-Land	BW	182503	151289	7642	10684	143647	140605	77342	72627	46087	44282	0	0	12810	15068	4952	5738	775	1035	852	965	0	0	440	508	0	0	389	382	0	0	0	0	0	0
179	Bruchsal	BW	93283	80405	5347	5103	75058	75302	49486	49328	16342	16365	0	0	5210	5212	2847	3089	307	377	866	825	0	0	0	65	0	0	0	41	0	0	0	0	0	0
180	Mannheim-Land	BW	100981	89857	3873	5202	85984	84655	42922	40872	30845	29471	0	0	8089	9029	2676	3287	868	1151	584	685	0	0	0	108	0	0	0	52	0	0	0	0	0	0
181	Sinsheim	BW	85376	71748	2729	4649	69019	67099	35059	34570	13824	13506	0	0	14477	12709	4355	4776	495	644	435	482	0	0	0	81	0	0	374	331	0	0	0	0	0	0
182	Tauberbischofsheim	BW	90205	79770	3237	3532	76533	76238	54677	53504	9453	9233	0	0	6457	7003	5239	5616	369	485	0	148	0	0	338	232	0	0	0	17	0	0	0	0	0	0
183	Konstanz	BW	132707	108661	3934	4752	104727	103909	64438	63488	24266	22969	0	0	10553	10355	3457	3984	2013	2511	0	336	0	0	0	151	0	0	0	115	0	0	0	0	0	0
184	Donaueschingen	BW	133568	113327	4874	5972	108453	107355	67883	67003	20337	19987	0	0	15359	14368	3680	4068	1194	1397	0	296	0	0	0	161	0	0	0	75	0	0	0	0	0	0
185	Lörrach	BW	155625	125772	5275	6615	120497	119157	65537	64491	33787	31597	0	0	14452	14897	5191	5488	1530	1736	0	501	0	0	0	385	0	0	0	62	0	0	0	0	0	0
186	Freiburg	BW	132041	110905	2792	3982	108113	106923	60676	59222	27187	26621	0	0	13594	13816	3973	3800	2196	2329	0	314	0	0	0	374	0	0	487	447	0	0	0	0	0	0
187	Emmendingen	BW	143537	121366	5496	6887	115870	114479	67696	66776	27213	26392	0	0	15498	14681	3785	4157	1122	1452	0	437	0	0	556	523	0	0	0	61	0	0	0	0	0	0
188	Offenburg	BW	146533	121292	6126	6823	115166	114469	67363	65157	26510	26277	0	0	15348	15410	4019	4577	1199	1933	727	885	0	0	0	166	0	0	0	64	0	0	0	0	0	0
189	Rastatt	BW	151322	126257	6648	8399	119609	117858	77671	75269	26553	26102	0	0	9941	9791	3617	3798	0	1118	1196	1187	0	0	631	486	0	0	0	107	0	0	0	0	0	0
190	Reutlingen	BW	171998	142651	4065	5954	138586	136697	65302	62447	42028	39058	0	0	24603	26971	4595	5242	1333	1855	0	318	0	0	0	212	0	0	725	594	0	0	0	0	0	0
191	Calw	BW	137193	105073	4196	6338	100877	98735	45066	44067	29145	27282	0	0	20435	20789	3550	3547	1702	1747	979	1049	0	0	0	143	0	0	0	111	0	0	0	0	0	0
192	Rottweil	BW	129654	112142	3648	4890	108494	107252	60363	59021	25285	25774	0	0	13725	13393	4485	4651	1738	1454	1200	1234	0	0	1698	1683	0	0	0	42	0	0	0	0	0	0
193	Balingen	BW	149132	124896	4562	4855	120334	120041	71618	69258	25552	25282	0	0	16547	17612	4931	5502	1686	1816	0	352	0	0	0	119	0	0	0	100	0	0	0	0	0	0
194	Biberach	BW	126943	117280	3386	3648	113894	113632	91090	91072	12203	11640	0	0	6506	6397	3071	3109	1024	1118	0	166	0	0	0	78	0	0	0	52	0	0	0	0	0	0
195	Ravensburg	BW	148801	135396	3293	4456	132103	130940	99464	96366	19572	19540	0	0	8380	8475	3622	3944	0	1558	418	444	0	0	319	314	0	0	328	299	0	0	0	0	0	0
908	Baden-Württemberg	BW	4857815	4097575	142818	189735	3954757	3907840	2111326	2061701	1053371	1009019	0	0	547010	561538	171218	185214	40916	50050	19621	24896	0	0	5770	9320	0	0	4917	6102	0	0	0	0	0	608
																																				
196	Altötting	BY	120277	109782	6958	3693	102824	106089	0	0	0	19763	63843	64352	2033	1597	13746	10995	1282	867	378	202	21542	7850	0	124	0	261	0	18	0	0	0	60	0	0
197	Fürstenfeldbruck	BY	127564	111997	2981	3757	109016	108240	0	0	27611	27396	59465	58697	2066	2595	9531	9874	881	955	591	611	8722	7452	0	244	0	235	149	108	0	0	0	73	0	0
198	Ingolstadt	BY	139533	123782	2784	3782	120998	120000	0	0	27569	27285	76971	74553	1675	1728	9625	9733	657	1195	0	155	4501	4711	0	133	0	392	0	25	0	0	0	90	0	0
199	Miesbach	BY	120732	104030	2259	3303	101771	100727	0	0	28711	27693	53306	52086	5535	5544	7970	8447	719	1057	573	478	4575	4669	0	163	0	254	382	271	0	0	0	65	0	0
200	München-Nord	BY	201940	158603	2963	4180	155640	154423	0	0	56511	56127	74489	72630	10342	9909	6561	6701	1233	1415	821	765	5024	5775	659	612	0	295	0	116	0	0	0	78	0	0
201	München-Ost	BY	188832	149733	2868	4153	146865	145580	0	0	62159	61422	63914	63172	7594	7494	5688	5291	1310	1280	633	588	4896	5287	671	608	0	301	0	86	0	0	0	51	0	0
202	München-Süd	BY	173677	136725	2525	3522	134200	133203	0	0	53882	52555	62434	60925	6376	7192	4234	4276	1068	1174	695	663	4821	5367	690	566	0	312	0	90	0	0	0	83	0	0
203	München-West	BY	163201	129894	2305	3458	127589	126436	0	0	49348	49318	60098	58294	6335	7019	4289	4477	1163	1055	568	510	5120	4884	668	497	0	239	0	80	0	0	0	63	0	0
204	München-Land	BY	155710	135055	14010	4636	121045	130419	0	0	0	32691	74674	70984	7721	4957	12531	9557	1388	889	888	478	23843	10096	0	298	0	306	0	51	0	0	0	112	0	0
205	Rosenheim	BY	138242	121786	3019	3860	118767	117926	0	0	33880	32989	64004	62431	3131	3395	10010	10257	763	904	447	422	6532	6952	0	198	0	267	0	25	0	0	0	86	0	0
206	Traunstein	BY	133210	115844	8923	3912	106921	111932	0	0	0	23490	59687	61752	7193	5066	11748	9149	1224	1055	990	545	26079	10119	0	252	0	371	0	39	0	0	0	94	0	0
207	Weilheim	BY	131648	115908	2723	3747	113185	112161	0	0	27994	27456	65220	63172	3485	3730	8461	9090	0	663	350	282	7675	7269	0	160	0	229	0	27	0	0	0	83	0	0
208	Deggendorf	BY	112692	94087	3249	3988	90838	90099	0	0	20972	20387	56095	55800	847	1016	6554	6923	355	342	182	170	5833	5059	0	166	0	175	0	17	0	0	0	44	0	0
209	Landshut	BY	121226	107247	3269	4333	103978	102914	0	0	25324	24995	62163	60771	2353	2370	8851	8944	0	439	0	117	4980	4694	0	160	0	216	307	161	0	0	0	47	0	0
210	Passau	BY	98113	85376	2190	2657	83186	82719	0	0	16020	15402	58538	57588	1298	1340	5485	5895	247	283	0	90	1598	1944	0	66	0	54	0	12	0	0	0	45	0	0
211	Pfarrkirchen	BY	94038	83704	5823	2912	77881	80792	0	0	0	9738	53104	51969	1408	891	10412	9151	1228	926	0	50	11729	7738	0	110	0	158	0	11	0	0	0	50	0	0
212	Straubing	BY	107880	93378	3262	4561	90116	88817	0	0	18611	17505	54469	54024	1778	1698	7859	7966	427	496	269	200	6703	6545	0	142	0	140	0	31	0	0	0	70	0	0
213	Vilshofen	BY	101867	88517	2762	3351	85755	85166	0	0	15082	15320	56859	55692	1219	1128	8232	7944	332	394	0	68	4031	4286	0	98	0	188	0	15	0	0	0	33	0	0
214	Amberg	BY	129634	118912	3326	3390	115586	115522	0	0	25642	25245	75099	75984	6613	5023	5581	5768	411	381	0	222	2240	2395	0	139	0	119	0	177	0	0	0	69	0	0
215	Burglengenfeld	BY	101041	94490	2657	3998	91833	90492	0	0	23116	22728	60933	59306	1317	1448	3367	3596	184	245	152	135	2409	2449	0	96	0	129	355	333	0	0	0	27	0	0
216	Cham	BY	91283	82389	2288	2937	80101	79452	0	0	13168	13420	58809	57093	1616	1583	4444	4674	0	236	568	502	1496	1694	0	83	0	125	0	21	0	0	0	21	0	0
217	Regensburg	BY	136376	120383	2533	4186	117850	116197	0	0	35484	34491	68062	65830	3974	4333	6141	6420	429	575	753	793	2584	3121	346	323	0	197	77	75	0	0	0	39	0	0
218	Tirschenreuth	BY	112918	105514	2766	3377	102748	102137	0	0	26225	26045	64535	63911	3524	3604	7091	6635	0	225	287	266	904	1086	182	178	0	143	0	13	0	0	0	31	0	0
219	Bamberg	BY	119590	108369	2891	4231	105478	104138	0	0	22859	21567	66505	65768	3260	3115	7316	7380	0	411	1509	1368	4029	4220	0	99	0	167	0	12	0	0	0	31	0	0
220	Bayreuth	BY	126146	110732	3488	4084	107244	106648	0	0	40873	40182	46890	47456	5690	6214	7786	7591	888	1103	1196	1201	3921	2329	0	144	0	336	0	48	0	0	0	44	0	0
221	Coburg	BY	137369	126152	2645	3973	123507	122179	0	0	41834	41404	56136	58347	13291	10056	9393	9233	716	827	1702	1313	435	575	0	106	0	250	0	28	0	0	0	40	0	0
222	Forchheim	BY	109817	99340	2857	3520	96483	95820	0	0	16494	15930	65998	65549	2738	2769	6334	6651	0	332	1076	927	3843	2931	0	126	0	261	0	18	0	0	0	326	0	0
223	Hof	BY	129404	114020	3950	4241	110070	109779	0	0	40462	40806	51174	51348	7670	6386	6936	7206	2788	1959	628	608	0	729	0	112	0	262	412	321	0	0	0	42	0	0
224	Kulmbach	BY	115664	104376	3042	4057	101334	100319	0	0	33209	32031	53660	52805	4077	4002	8167	8031	0	670	1158	1260	1063	1175	0	90	0	209	0	16	0	0	0	30	0	0
225	Ansbach	BY	124996	109526	2775	4773	106751	104753	0	0	16617	16272	69368	68572	9157	8846	8847	7957	384	484	522	546	750	780	0	108	0	210	941	758	0	0	165	220	0	0
226	Erlangen	BY	141555	125146	3175	5166	121971	119980	0	0	33392	33197	67643	62997	7537	8675	9501	10101	471	715	970	990	679	933	288	287	0	458	0	87	0	0	1490	1540	0	0
227	Nürnberg	BY	220081	189876	3769	6744	186107	183132	0	0	78148	75889	81404	80721	15395	14458	5069	5149	1284	1304	1876	1771	1888	1801	775	751	0	928	268	225	0	0	0	135	0	0
228	Nürnberg – Fürth	BY	167291	140929	2962	5432	137967	135497	0	0	58300	56662	59608	58427	11553	11026	4544	4543	810	840	1349	1281	1032	1180	771	710	0	646	0	99	0	0	0	83	0	0
229	Schwabach	BY	138813	122354	3772	4919	118582	117435	0	0	40900	40043	58724	56754	9832	9738	6715	7112	0	632	722	751	956	1160	288	307	0	445	189	167	0	0	256	326	0	0
230	Weißenburg	BY	131178	119393	2942	3808	116451	115585	0	0	20365	20227	86371	83163	4351	4707	4395	5071	0	491	362	378	0	718	268	230	0	210	0	31	0	0	339	359	0	0
231	Aschaffenburg	BY	164940	147436	6234	8495	141202	138941	0	0	40697	39366	83156	81627	5844	5324	10141	10100	770	784	594	602	0	679	0	163	0	200	0	55	0	0	0	41	0	0
232	Bad Kissingen	BY	117748	107229	3157	4035	104072	103194	0	0	15748	15398	69386	69831	9071	7920	7888	7577	482	552	388	374	1109	1319	0	82	0	96	0	20	0	0	0	25	0	0
233	Karlstadt	BY	110552	100657	2992	4263	97665	96394	0	0	16020	16452	68745	66807	3732	3991	5626	6184	402	524	297	270	2843	1896	0	81	0	148	0	10	0	0	0	31	0	0
234	Schweinfurt	BY	136061	124453	3434	5334	121019	119119	0	0	30688	29878	74674	72255	6838	7419	6539	6776	371	457	455	511	1454	1472	0	88	0	198	0	24	0	0	0	41	0	0
235	Würzburg	BY	165596	148796	3902	5118	144894	143678	0	0	38883	38100	83290	82766	8981	8761	10218	10065	861	822	808	834	1853	1788	0	155	0	281	0	82	0	0	0	24	0	0
236	Augsburg-Stadt	BY	144829	125126	2682	3309	122444	121817	0	0	40894	40892	65432	63810	7578	7065	4145	4116	960	932	0	248	2971	3223	0	354	0	824	464	300	0	0	0	53	0	0
237	Augsburg-Land	BY	131921	119062	3252	4770	115810	114292	0	0	24663	24210	73646	71725	3511	3556	8054	8352	1575	1868	162	170	4061	3801	0	142	0	317	138	103	0	0	0	48	0	0
238	Dillingen	BY	122928	109965	3856	4765	106109	105200	0	0	21729	21647	67735	66555	4385	4251	7890	8557	3953	1935	169	162	0	1536	0	123	0	243	248	156	0	0	0	35	0	0
239	Donauwörth	BY	105086	94368	2732	3765	91636	90603	0	0	13351	13222	63413	61985	3031	2978	9707	9561	302	394	315	196	1517	1902	0	92	0	202	0	31	0	0	0	40	0	0
240	Kaufbeuren	BY	119914	106934	2647	3753	104287	103181	0	0	17338	16922	65292	65506	3472	3318	12879	11906	563	668	419	411	3971	3877	353	355	0	150	0	31	0	0	0	37	0	0
241	Kempten	BY	147265	129880	3192	5042	126688	124838	0	0	24587	24563	81422	79394	8748	8156	6356	6509	1511	1538	294	280	3129	3453	0	184	0	186	641	536	0	0	0	39	0	0
242	Memmingen	BY	110121	99092	2192	3416	96900	95676	0	0	16696	16490	61975	60708	3166	3304	9598	9628	1685	1513	188	138	3218	3291	374	370	0	187	0	31	0	0	0	16	0	0
909	Bayern	BY	6240499	5470347	166983	196706	5303364	5273641	0	0	1332056	1394811	3068418	3015892	252341	240695	362455	357119	36077	38806	26304	24902	212559	168210	6333	10675	0	12520	4571	4991	0	0	2250	5020	0	0
																																				
243	Saarbrücken-Stadt	SL	134965	115368	5653	7667	109715	107701	25284	24489	26879	26724	19934	19882	35467	34109	315	361	819	939	533	558	0	0	484	473	0	0	0	166	0	0	0	0	0	0
244	Saarbrücken-Land	SL	136208	121998	6397	7684	115601	114314	36888	35734	30567	30202	23354	23404	22875	22776	292	331	670	758	418	436	0	0	537	515	0	0	0	158	0	0	0	0	0	0
245	Saarlouis – Merzig	SL	128256	117004	6928	8061	110076	108943	48894	47771	18223	18152	27502	27217	13208	13444	254	290	536	588	516	531	0	0	626	614	0	0	317	336	0	0	0	0	0	0
246	Ottweiler – St. Wendel	SL	131991	120853	6141	8119	114712	112734	45422	44056	30338	29687	24099	23889	12680	12646	0	187	1027	997	579	599	0	0	567	553	0	0	0	120	0	0	0	0	0	0
247	Homburg – St. Ingbert	SL	128551	114355	5912	6956	108443	107399	32135	31373	34316	33544	22843	22776	16801	17105	251	297	713	787	1094	1146	0	0	290	268	0	0	0	103	0	0	0	0	0	0
910	Saarland	SL	659971	589578	31031	38487	558547	551091	188623	183423	140323	138309	117732	117168	101031	100080	1112	1466	3765	4069	3140	3270	0	0	2504	2423	0	0	317	883	0	0	0	0	0	0
																																				
999	Bundesgebiet ohne Berlin	BUND	35400923	31072894	916680	1167466	30156214	29905428	11975400	11875339	9651669	9495571	3186150	3133060	2276234	2307135	1324636	1374066	1062293	1007282	290622	308564	295533	254322	37329	58725	3024	36592	16410	17490	33463	32262	2250	5020	356	845
