Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	CSU	CSU	FDP	FDP	GB/BHE	GB/BHE	DP	DP	DRP	DRP	FU	FU	BdD	BdD	Mittelstand	Mittelstand	DG	DG	SSW	SSW	VU	VU	PdgD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																				
78	Düsseldorf I	NW	234239	206132	5051	7644	201081	198488	120095	115019	55912	54287	0	0	15248	16801	4177	4874	3502	4817	940	1028	938	1090	269	304	0	268	0	0	0	0	0	0	0	0
79	Düsseldorf II	NW	239858	208121	5540	8523	202581	199598	106797	103162	73975	71385	0	0	12624	13690	4235	4850	2703	3816	872	941	1078	1133	297	398	0	223	0	0	0	0	0	0	0	0
80	Neuß – Grevenbroich	NW	164939	144882	3903	4282	140979	140600	94587	93904	31232	30607	0	0	6408	6354	5502	5674	1690	2105	533	561	1027	1014	0	126	0	255	0	0	0	0	0	0	0	0
81	Krefeld	NW	144708	127015	3933	4718	123082	122297	71464	69949	38529	36850	0	0	8746	9494	2573	2851	1211	1889	559	599	0	403	0	122	0	140	0	0	0	0	0	0	0	0
82	Rheydt – Mönchengladbach – Viersen	NW	192135	166837	4585	5719	162252	161118	106390	104802	39167	38000	0	0	8802	8994	3004	3202	1908	2563	0	303	2262	2282	719	673	0	299	0	0	0	0	0	0	0	0
83	Kempen – Krefeld	NW	129680	116748	3109	3545	113639	113203	74404	73946	27356	26770	0	0	5278	5230	3363	3661	806	1071	432	427	2000	1833	0	108	0	157	0	0	0	0	0	0	0	0
84	Moers	NW	190663	168313	3249	4224	165064	164089	83255	82642	67300	65724	0	0	8763	9029	3073	3308	1040	1481	881	922	752	735	0	113	0	135	0	0	0	0	0	0	0	0
85	Geldern – Kleve	NW	106468	99036	2105	2177	96931	96859	73282	73063	16789	16525	0	0	3918	3925	1186	1280	669	864	303	289	784	725	0	33	0	155	0	0	0	0	0	0	0	0
86	Rees – Dinslaken	NW	126356	111479	2512	3039	108967	108440	54714	53952	41688	40398	0	0	8517	9086	1523	1750	664	1129	321	357	1540	1554	0	57	0	157	0	0	0	0	0	0	0	0
87	Oberhausen	NW	166208	144637	3954	6767	140683	137870	76337	75319	52721	49800	0	0	5036	5594	1732	1888	1143	1348	1171	1235	2059	2129	0	68	484	489	0	0	0	0	0	0	0	0
88	Mülheim	NW	124264	108107	2157	3359	105950	104748	48236	46694	47382	45299	0	0	7392	8581	1402	1614	984	1558	554	636	0	159	0	81	0	126	0	0	0	0	0	0	0	0
89	Essen I	NW	189342	160966	2748	4757	158218	156209	75813	74167	70447	68687	0	0	7129	7580	2091	2306	1112	1461	597	606	1029	1093	0	143	0	166	0	0	0	0	0	0	0	0
90	Essen II	NW	154986	130941	2485	4343	128456	126598	54034	52931	67448	65951	0	0	3762	3955	1051	1194	708	874	435	443	1018	1037	0	79	0	134	0	0	0	0	0	0	0	0
91	Essen III	NW	160390	138923	2124	3879	136799	135044	77023	73270	45520	44849	0	0	10026	11186	1329	1564	1343	2218	554	594	825	967	179	223	0	173	0	0	0	0	0	0	0	0
92	Duisburg I	NW	161843	138996	3611	6768	135385	132228	66127	63720	58195	56086	0	0	6552	6999	2151	2385	1045	1360	680	704	635	645	0	179	0	150	0	0	0	0	0	0	0	0
93	Duisburg II	NW	180318	152637	3612	7132	149025	145505	78647	75471	56606	54298	0	0	8449	9226	2405	2855	1037	1495	896	929	753	775	232	270	0	186	0	0	0	0	0	0	0	0
94	Borken – Bocholt – Ahaus	NW	136804	126804	2401	3162	124403	123642	92275	91537	19363	19124	0	0	3618	3574	3820	3916	984	1134	269	259	3965	3837	109	105	0	156	0	0	0	0	0	0	0	0
95	Steinfurt – Tecklenburg	NW	177694	161221	3515	5051	157706	156170	95860	94327	37439	36453	0	0	7110	7035	5775	6260	4512	4976	889	792	6121	6032	0	122	0	173	0	0	0	0	0	0	0	0
96	Beckum – Warendorf	NW	132436	121570	2488	3024	119082	118546	79215	78220	27547	27125	0	0	3475	3586	4655	5137	1038	1431	354	371	2798	2518	0	67	0	91	0	0	0	0	0	0	0	0
97	Münster-Stadt und -Land	NW	166328	148779	2876	3950	145903	144829	94540	92973	29374	28694	0	0	9542	9754	3721	4036	2546	3137	771	825	5045	4966	218	235	0	209	146	0	0	0	0	0	0	0
98	Lüdinghausen – Coesfeld	NW	129046	118335	2567	2784	115768	115551	79968	79690	24464	24075	0	0	2889	2811	3256	3343	961	1338	461	432	3769	3621	0	65	0	176	0	0	0	0	0	0	0	0
99	Gelsenkirchen	NW	265543	226576	4923	8713	221653	217863	99739	99370	105199	100442	0	0	8852	9372	3307	3619	1022	1387	899	970	1502	1558	382	408	751	737	0	0	0	0	0	0	0	0
100	Recklinghausen-Land	NW	194492	173975	3093	4221	170882	169754	95150	94350	64845	62835	0	0	4822	5382	3067	3400	762	1129	583	618	1653	1679	0	119	0	242	0	0	0	0	0	0	0	0
101	Recklinghausen-Stadt	NW	85239	75490	1600	2362	73890	73128	37313	37731	30307	28290	0	0	3682	4050	1634	1867	444	561	224	223	286	300	0	41	0	65	0	0	0	0	0	0	0	0
102	Gladbeck – Bottrop	NW	126438	114514	3238	4064	111276	110450	56507	55613	49518	48904	0	0	2991	3267	941	1052	510	595	288	302	521	507	0	40	0	170	0	0	0	0	0	0	0	0
103	Warburg – Höxter – Büren	NW	123507	113313	2268	2527	111045	110786	78331	77909	16198	16058	0	0	2857	2855	5640	5704	3156	3571	295	327	4347	4030	0	54	0	278	221	0	0	0	0	0	0	0
104	Paderborn – Wiedenbrück	NW	171400	154772	3291	3698	151481	151074	103342	102922	28105	27598	0	0	7481	7324	5485	5681	2887	3144	917	951	3264	3100	0	94	0	260	0	0	0	0	0	0	0	0
105	Bielefeld – Halle	NW	119904	109157	3159	3176	105998	105981	43749	43361	45704	45160	0	0	8111	8294	4546	4699	2776	2921	1112	1171	0	94	0	70	0	211	0	0	0	0	0	0	0	0
106	Bielefeld-Stadt	NW	127416	115589	3137	3598	112452	111991	47374	47245	47826	46954	0	0	10974	10189	2948	3291	1834	2059	1496	1554	0	176	0	69	0	454	0	0	0	0	0	0	0	0
107	Herford-Stadt und -Land	NW	152992	137350	4038	4436	133312	132914	51325	51024	64088	62768	0	0	8948	9275	3777	4090	3682	3773	1492	1585	0	41	0	93	0	265	0	0	0	0	0	0	0	0
108	Detmold	NW	95640	85549	2285	3027	83264	82522	26824	26193	34766	34200	0	0	13106	12789	4462	4518	2865	3217	1241	1313	0	104	0	68	0	120	0	0	0	0	0	0	0	0
109	Lemgo	NW	90897	82134	2475	3180	79659	78954	25035	24721	37170	36448	0	0	9847	9726	3295	3296	2991	3309	945	974	0	33	0	64	376	383	0	0	0	0	0	0	0	0
110	Minden – Lübbecke	NW	185725	162713	4582	5963	158131	156750	64908	63313	65996	64592	0	0	15150	15355	5837	6176	2630	3652	2543	2556	0	46	254	267	813	793	0	0	0	0	0	0	0	0
111	Wattenscheid – Wanne-Eickel	NW	126643	110828	3966	5593	106862	105235	49287	48598	50328	48792	0	0	4023	4093	1708	1770	750	859	766	795	0	126	0	94	0	108	0	0	0	0	0	0	0	0
112	Herne – Castrop-Rauxel	NW	139707	124259	3915	5547	120344	118712	57592	56303	55321	53828	0	0	4277	4540	1821	2042	816	1074	517	558	0	123	0	121	0	123	0	0	0	0	0	0	0	0
113	Ennepe-Ruhr – Witten	NW	240420	213177	5772	7455	207405	205722	85700	84233	95855	94229	0	0	16492	16476	4573	4748	2494	3127	1997	2078	294	286	0	315	0	230	0	0	0	0	0	0	0	0
114	Hagen	NW	131225	113475	2451	3738	111024	109737	52160	50301	46476	45142	0	0	8263	9088	2076	2341	966	1473	933	1003	0	116	150	198	0	75	0	0	0	0	0	0	0	0
115	Dortmund I	NW	173059	151772	3569	5472	148203	146300	64070	62180	68565	67036	0	0	10015	10504	1883	2080	2382	3005	831	885	210	220	247	242	0	148	0	0	0	0	0	0	0	0
116	Dortmund II	NW	161787	137912	4244	5804	133668	132108	57117	56521	66447	64383	0	0	5944	6175	2030	2202	1474	1703	656	743	0	140	0	111	0	130	0	0	0	0	0	0	0	0
117	Dortmund III – Lünen	NW	161586	139587	4689	6102	134898	133485	55855	55006	68018	66369	0	0	5905	6037	2974	3247	1417	1595	729	815	0	97	0	136	0	183	0	0	0	0	0	0	0	0
118	Bochum	NW	247857	218372	5890	7822	212482	210550	100381	98331	95496	93171	0	0	9995	10874	3620	3861	1709	2267	1281	1389	0	311	0	118	0	228	0	0	0	0	0	0	0	0
119	Iserlohn-Stadt und -Land	NW	158135	137979	2837	3584	135142	134395	72061	69431	47257	46314	0	0	8493	9185	3754	4281	1000	1961	683	806	1894	2154	0	102	0	161	0	0	0	0	0	0	0	0
120	Unna – Hamm	NW	190967	170985	4041	5492	166944	165493	76114	74209	72032	70125	0	0	9582	10400	3638	3981	1447	2039	3275	3440	856	845	0	205	0	249	0	0	0	0	0	0	0	0
121	Meschede – Olpe	NW	105063	96305	1810	2132	94495	94173	69914	69323	16633	16281	0	0	2915	2906	2122	2306	868	1133	276	271	1510	1493	257	244	0	216	0	0	0	0	0	0	0	0
122	Arnsberg – Soest	NW	148555	131758	2582	3697	129176	128061	79616	78367	29788	29246	0	0	8258	8245	3847	4117	2621	2971	1588	1623	2858	2804	0	106	600	582	0	0	0	0	0	0	0	0
123	Lippstadt – Brilon	NW	104109	94975	2327	2593	92648	92382	60653	60465	19608	18514	0	0	3570	3803	5281	5463	1137	1451	309	317	2090	2181	0	56	0	132	0	0	0	0	0	0	0	0
124	Altena – Lüdenscheid	NW	148374	128330	3251	5092	125079	123238	57646	55559	47781	45905	0	0	12388	13231	3389	3643	1772	2541	1647	1623	456	459	0	119	0	158	0	0	0	0	0	0	0	0
125	Siegen-Stadt und -Land – Wittgenstein	NW	162733	141052	2962	3421	138090	137631	70964	69158	41320	40674	0	0	15005	15361	6047	6188	3547	4407	1207	1323	0	193	0	86	0	241	0	0	0	0	0	0	0	0
905	Nordrhein-Westfalen	NW	10407006	9158928	221965	303657	8936963	8855271	4911300	4813996	3049317	2965616	0	0	528307	554781	207568	224928	108509	141330	54469	57755	69530	72563	3897	9890	3024	14412	805	0	0	0	0	0	0	237
																																				
126	Waldeck	HE	125172	110806	3097	4892	107709	105914	32833	33907	38320	37379	0	0	11910	10745	9534	9248	13489	12622	1623	1913	0	0	0	100	0	0	0	0	0	0	0	0	0	0
127	Kassel	HE	190806	175928	5229	8880	170699	167048	52050	52022	84006	81734	0	0	14308	13435	3525	3776	15154	14341	1487	1528	0	0	0	212	0	0	169	0	0	0	0	0	0	0
128	Eschwege	HE	115120	104838	3695	5444	101143	99394	29351	29136	44878	43440	0	0	11285	10087	7805	7869	7014	7780	810	961	0	0	0	121	0	0	0	0	0	0	0	0	0	0
129	Fritzlar-Homberg	HE	121704	108637	3503	4581	105134	104056	39492	33299	38508	37954	0	0	10204	9717	8276	8645	7326	12667	1328	1659	0	0	0	115	0	0	0	0	0	0	0	0	0	0
130	Hersfeld	HE	111553	100945	3372	4846	97573	96099	42347	40604	36086	34984	0	0	8404	8031	4958	5390	4438	5500	1340	1516	0	0	0	74	0	0	0	0	0	0	0	0	0	0
131	Marburg	HE	126213	110414	9676	4699	100738	105715	0	41168	36754	35047	0	0	11959	9746	8255	6804	42223	11770	927	899	0	0	0	281	0	0	620	0	0	0	0	0	0	0
132	Wetzlar	HE	154373	134014	4442	7136	129572	126878	48095	46098	48938	47033	0	0	13330	13500	10631	10802	7619	8201	959	1110	0	0	0	134	0	0	0	0	0	0	0	0	0	0
133	Gießen	HE	148330	132423	9504	5069	122919	127354	0	48233	47059	44272	0	0	12995	11073	13662	11306	46967	10894	2236	1381	0	0	0	195	0	0	0	0	0	0	0	0	0	0
134	Fulda	HE	153259	140620	4145	5283	136475	135337	81311	80781	29021	28666	0	0	10766	9669	9050	9336	4896	5100	1431	1629	0	0	0	156	0	0	0	0	0	0	0	0	0	0
