Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
130	Hersfeld	HE	148696	133411	3150	4115	130261	129296	64071	61935	51209	49003	0	0	11704	14420	2249	2679	1028	1155	0	104	0	0	0	0	0	0	0	0
131	Marburg	HE	138438	118828	4682	3749	114146	115079	50809	49189	51236	46418	0	0	8353	14519	1951	2793	1382	1735	415	425	0	0	0	0	0	0	0	0
132	Wetzlar	HE	168156	145642	4028	4684	141614	140958	67754	64560	52619	50918	0	0	14304	16923	5159	6274	1778	2143	0	140	0	0	0	0	0	0	0	0
133	Gießen	HE	157872	138915	3850	3869	135065	135046	63871	62407	46863	44945	0	0	18225	20898	4254	4744	1617	1820	235	232	0	0	0	0	0	0	0	0
134	Fulda	HE	160948	145784	3295	5266	142489	140518	47909	46997	78266	75810	0	0	13724	14756	1642	1853	948	1019	0	83	0	0	0	0	0	0	0	0
135	Obertaunuskreis	HE	178376	150606	5726	4414	144880	146192	63210	62179	69731	59055	0	0	9060	21237	1919	2585	736	942	224	194	0	0	0	0	0	0	0	0
136	Friedberg	HE	170972	152887	6017	4535	146870	148352	73167	71942	52324	51998	0	0	15374	17763	4501	4723	1504	1736	0	190	0	0	0	0	0	0	0	0
137	Limburg	HE	142359	126618	5845	3419	120773	123199	44093	44129	62986	63085	0	0	10188	11841	2787	3221	719	821	0	102	0	0	0	0	0	0	0	0
138	Wiesbaden	HE	188681	158187	3619	4146	154568	154041	70005	68578	59228	56643	0	0	17465	20399	5001	5412	2495	2820	0	189	0	0	0	0	0	0	0	374
139	Hanau	HE	167652	150122	2989	5160	147133	144962	70386	67943	57105	55058	0	0	12201	13946	2890	3026	4551	4771	0	218	0	0	0	0	0	0	0	0
140	Frankfurt I	HE	157164	130198	3794	2997	126404	127201	61012	60097	47737	46499	0	0	11423	13533	3034	3422	3198	3485	0	165	0	0	0	0	0	0	0	0
141	Frankfurt II	HE	181927	148103	3908	2621	144195	145482	66038	65493	53825	51629	0	0	16652	19357	3619	4085	4061	4696	0	222	0	0	0	0	0	0	0	0
142	Frankfurt III	HE	155950	127631	3300	2532	124331	125099	59500	58468	45328	43864	0	0	13185	15456	3115	3372	3203	3765	0	174	0	0	0	0	0	0	0	0
143	Groß-Gerau	HE	183913	166352	6148	4057	160204	162295	83694	81195	60110	61097	0	0	10350	13383	2699	2965	2996	3299	355	356	0	0	0	0	0	0	0	0
144	Offenbach	HE	175224	154148	4747	3438	149401	150710	73395	71638	56906	55842	0	0	12746	15585	2506	3005	3848	4452	0	188	0	0	0	0	0	0	0	0
145	Darmstadt	HE	169383	148400	3955	4363	144445	144037	69867	66937	53453	52528	0	0	14914	17479	3373	3797	2451	2896	387	400	0	0	0	0	0	0	0	0
146	Dieburg	HE	174805	160250	6808	5037	153442	155213	72853	71406	64074	64090	0	0	10923	13275	2539	2928	3053	3370	0	144	0	0	0	0	0	0	0	0
147	Bergstraße	HE	136642	121950	6213	2805	115737	119145	50027	49757	54267	55006	0	0	7339	9544	2393	2781	1711	1937	0	120	0	0	0	0	0	0	0	0
906	Hessen	HE	3516041	3073037	96118	84585	2976919	2988452	1395691	1366010	1158372	1130871	0	0	308146	359419	64808	74081	47142	53316	2386	4755	0	0	0	0	0	0	0	374
																														
148	Neuwied	RP	176425	158854	6236	2966	152618	155888	54264	54794	82885	83362	0	0	14177	15222	0	1050	1292	1274	0	186	0	0	0	0	0	0	0	0
149	Ahrweiler	RP	145048	130340	3062	3196	127278	127144	33025	32824	85775	84256	0	0	6699	8120	766	901	872	916	141	127	0	0	0	0	0	0	0	0
150	Koblenz	RP	160150	142215	5119	2531	137096	139684	46938	46892	77830	77833	0	0	9637	11974	1338	1565	1182	1254	171	166	0	0	0	0	0	0	0	0
151	Cochem	RP	121815	106185	3369	4042	102816	102143	24500	23507	65328	64101	0	0	11494	12790	967	1112	527	556	0	77	0	0	0	0	0	0	0	0
152	Kreuznach	RP	153357	131486	2888	3615	128598	127871	66758	57253	46148	46293	0	0	12943	19138	2441	3486	0	1367	308	334	0	0	0	0	0	0	0	0
153	Bitburg	RP	126049	110901	7381	3633	103520	107268	18174	18971	77547	79140	0	0	6566	7844	630	709	603	548	0	56	0	0	0	0	0	0	0	0
154	Trier	RP	150960	132255	11278	3609	120977	128646	36011	37750	73852	78203	0	0	8898	10128	1426	1650	790	834	0	81	0	0	0	0	0	0	0	0
155	Montabaur	RP	184080	162291	4513	5090	157778	157201	58361	57688	80775	78542	0	0	15075	17142	2246	2404	1094	1188	227	237	0	0	0	0	0	0	0	0
156	Mainz	RP	176323	156240	7099	2965	149141	153275	62836	62728	66415	66429	0	0	13946	17010	3503	4144	2441	2841	0	123	0	0	0	0	0	0	0	0
157	Worms	RP	140873	124235	7845	2967	116390	121268	52204	53954	42856	42976	0	0	13281	15128	6270	7103	1779	2013	0	94	0	0	0	0	0	0	0	0
158	Frankenthal	RP	117184	103926	3593	3577	100333	100349	48380	47727	37042	36123	0	0	9154	10347	4675	4902	1082	1193	0	57	0	0	0	0	0	0	0	0
159	Ludwigshafen	RP	150152	129722	2867	2872	126855	126850	64868	63224	48012	47456	0	0	9224	10626	2246	2604	2505	2822	0	118	0	0	0	0	0	0	0	0
160	Neustadt – Speyer	RP	142210	125696	3764	3794	121932	121902	47436	47172	58693	57131	0	0	10255	11496	3538	3881	2010	2136	0	86	0	0	0	0	0	0	0	0
161	Kaiserslautern	RP	178942	152252	5099	4630	147153	147622	68454	67255	54388	53789	0	0	14280	15657	6641	7271	3390	3497	0	153	0	0	0	0	0	0	0	0
162	Pirmasens	RP	134299	117624	2991	4834	114633	112790	42687	41437	55678	53328	0	0	10886	12212	3748	4024	1168	1312	466	477	0	0	0	0	0	0	0	0
163	Landau	RP	145904	130089	5438	4260	124651	125829	40566	40999	64726	64611	0	0	13771	14194	4077	4431	1230	1330	281	264	0	0	0	0	0	0	0	0
907	Rheinland-Pfalz	RP	2403771	2114311	82542	58581	2031769	2055730	765462	754175	1017950	1013573	0	0	180286	209028	44512	51237	21965	25081	1594	2636	0	0	0	0	0	0	0	0
																														
164	Stuttgart I	BW	145275	121213	2092	2408	119121	118805	54574	52841	42749	41688	0	0	15982	17865	2380	2651	3191	3497	245	263	0	0	0	0	0	0	0	0
165	Stuttgart II	BW	139845	114428	1994	2268	112434	112160	45877	44567	41256	40094	0	0	19485	21010	2093	2421	3392	3848	207	220	0	0	124	0	0	0	0	0
166	Stuttgart III	BW	149084	123082	2115	2287	120967	120795	47447	45463	48412	45969	0	0	19248	22696	2354	2710	3173	3632	333	325	0	0	0	0	0	0	0	0
167	Ludwigsburg	BW	175530	149144	3291	4656	145853	144488	61351	56561	56796	57316	0	0	21161	23239	4106	4637	2007	2286	432	449	0	0	0	0	0	0	0	0
168	Heilbronn	BW	178908	153698	4523	5160	149175	148538	56765	55864	52972	55300	0	0	33201	30671	3667	4079	2300	2335	270	289	0	0	0	0	0	0	0	0
169	Leonberg – Vaihingen	BW	160043	134912	4840	3453	130072	131459	49746	48821	59040	57715	0	0	16319	19330	2911	3167	1766	2170	290	256	0	0	0	0	0	0	0	0
170	Nürtingen – Böblingen	BW	169597	144401	6796	3928	137605	140473	48011	47030	68996	68689	0	0	14091	17530	4315	4807	1724	1982	468	435	0	0	0	0	0	0	0	0
171	Eßlingen	BW	142347	122064	4248	2728	117816	119336	45244	45019	57487	54283	0	0	10317	14555	2080	2564	2410	2609	278	306	0	0	0	0	0	0	0	0
172	Göppingen	BW	140684	122589	2807	3157	119782	119432	45807	43358	60265	56587	0	0	10921	15831	1127	1519	1497	1928	165	209	0	0	0	0	0	0	0	0
173	Ulm	BW	121277	104751	2728	3460	102023	101291	30348	31574	59411	52513	0	0	8053	12213	1727	2113	2246	2657	238	221	0	0	0	0	0	0	0	0
174	Aalen-Heidenheim	BW	176667	154992	5383	4836	149609	150156	44969	45206	86278	84210	0	0	13687	15598	1886	2181	2524	2680	265	281	0	0	0	0	0	0	0	0
175	Schwäbisch Gmünd –  Backnang	BW	173979	146588	4767	4440	141821	142148	39765	42821	71109	68888	0	0	27622	26040	1916	2579	1105	1455	304	365	0	0	0	0	0	0	0	0
176	Crailsheim	BW	121963	99448	2448	4130	97000	95318	22454	21457	53660	51077	0	0	16693	18381	3202	3372	631	721	360	310	0	0	0	0	0	0	0	0
177	Waiblingen	BW	141292	119994	3895	2844	116099	117150	43529	41984	49681	48163	0	0	19146	22309	2306	2834	1240	1634	197	226	0	0	0	0	0	0	0	0
178	Karlsruhe	BW	175965	141388	3792	3228	137596	138160	54007	52735	63425	61277	0	0	12990	16390	3971	4481	2888	3113	167	164	0	0	148	0	0	0	0	0
179	Mannheim I	BW	143059	115550	2191	3176	113359	112374	59844	55592	40369	41337	0	0	7187	8990	1960	2144	3561	3860	438	451	0	0	0	0	0	0	0	0
180	Mannheim II	BW	145278	124968	2818	3805	122150	121163	53198	51191	53153	51925	0	0	10577	12254	2646	2958	2255	2507	321	328	0	0	0	0	0	0	0	0
181	Heidelberg-Stadt	BW	143064	121769	4774	3786	116995	117983	45845	45199	55305	54114	0	0	11561	13825	2139	2498	1653	1854	492	493	0	0	0	0	0	0	0	0
182	Pforzheim – Karlsruhe-Land I	BW	162509	137414	5880	5833	131534	131581	53863	48728	61532	63143	0	0	10137	12863	4160	4786	1652	1850	190	211	0	0	0	0	0	0	0	0
183	Bruchsal – Karlsruhe-Land II	BW	146057	126338	5513	6618	120825	119720	37325	36684	70192	68474	0	0	9365	10364	2869	3070	839	899	235	229	0	0	0	0	0	0	0	0
184	Heidelberg-Land – Sinsheim	BW	153737	132350	6769	5164	125581	127186	41292	41120	68362	68357	0	0	12469	13968	1581	1789	825	1010	1052	942	0	0	0	0	0	0	0	0
185	Tauberbischofsheim	BW	140696	121840	6560	4197	115280	117643	27244	26543	75632	77148	0	0	9340	10616	1930	2275	473	553	661	508	0	0	0	0	0	0	0	0
186	Konstanz	BW	152882	126481	5585	3613	120896	122868	37141	37719	66814	65472	0	0	11885	14381	1486	1765	2840	3043	466	488	0	0	264	0	0	0	0	0
187	Donaueschingen	BW	132915	112974	4178	4545	108796	108429	30410	30526	61123	60067	0	0	14637	14791	1631	1813	995	1072	0	160	0	0	0	0	0	0	0	0
188	Waldshut	BW	113352	97253	2740	3434	94513	93819	27951	26847	53214	53106	0	0	11184	11536	1083	1191	869	943	212	196	0	0	0	0	0	0	0	0
189	Lörrach – Müllheim	BW	128426	106371	3918	3701	102453	102670	37849	35816	49821	49448	0	0	11325	13373	1827	2033	1339	1702	292	298	0	0	0	0	0	0	0	0
190	Freiburg	BW	151560	127061	2697	3841	124364	123220	41825	40643	64831	61946	0	0	12745	15630	1940	2037	2657	2582	366	382	0	0	0	0	0	0	0	0
191	Emmendingen – Wolfach	BW	104461	89337	5540	3400	83797	85937	24678	25434	45950	47381	0	0	10968	10657	1227	1403	974	962	0	100	0	0	0	0	0	0	0	0
192	Offenburg	BW	160071	135075	6362	6493	128713	128582	38378	38168	73150	70416	0	0	11642	13859	4064	4558	1264	1364	215	217	0	0	0	0	0	0	0	0
193	Rastatt	BW	170034	142790	7074	7623	135716	135167	37820	37085	82926	80827	0	0	10944	13065	2378	2537	1238	1322	410	331	0	0	0	0	0	0	0	0
194	Reutlingen	BW	177154	150979	6291	3511	144688	147468	53482	50339	67827	68573	0	0	18412	22430	3243	3971	1542	1940	182	215	0	0	0	0	0	0	0	0
195	Calw	BW	154192	124355	4954	4146	119401	120209	38471	37097	55197	56601	0	0	22235	22309	2297	2719	965	1230	236	253	0	0	0	0	0	0	0	0
196	Rottweil	BW	144357	124792	3088	4938	121704	119854	35633	35443	68072	65933	0	0	13872	13911	2481	2754	1541	1695	105	118	0	0	0	0	0	0	0	0
197	Balingen	BW	178769	150435	7497	4154	142938	146281	37391	37502	85623	85235	0	0	16139	19418	2575	2791	1003	1162	207	173	0	0	0	0	0	0	0	0
198	Biberach	BW	139829	126102	6637	3133	119465	122969	20460	21416	88614	90530	0	0	8428	8994	981	1087	646	714	336	228	0	0	0	0	0	0	0	0
199	Ravensburg	BW	170268	151789	4050	4394	147739	147395	35613	35647	97639	96006	0	0	11057	12021	1281	1493	1315	1398	834	830	0	0	0	0	0	0	0	0
908	Baden-Württemberg	BW	5425126	4598715	160835	146488	4437880	4452227	1505607	1470040	2256883	2219808	0	0	515025	582913	85820	97787	62540	70209	11469	11470	0	0	536	0	0	0	0	0
																														
200	Altötting	BY	131324	115263	3097	3950	112166	111313	29037	27682	0	0	77882	76752	3136	4456	1612	1811	499	523	0	89	0	0	0	0	0	0	0	0
201	Fürstenfeldbruck	BY	150800	129153	4479	3105	124674	126048	41444	41635	0	0	72221	70765	6260	8299	3728	4071	1021	1115	0	163	0	0	0	0	0	0	0	0
202	Ingolstadt	BY	159484	138530	3094	4648	135436	133882	40207	37954	0	0	86965	86000	5092	6212	2514	2899	658	710	0	107	0	0	0	0	0	0	0	0
203	Miesbach	BY	137874	116724	3584	2148	113140	114576	37692	37442	0	0	60993	58910	9223	12662	3182	3674	1322	1411	728	477	0	0	0	0	0	0	0	0
204	München-Mitte	BY	141101	108581	3357	1795	105224	106786	43856	43574	0	0	47565	45234	8048	11830	3420	3516	2335	2410	0	222	0	0	0	0	0	0	0	0
205	München-Nord	BY	178592	140995	4001	2433	136994	138562	65363	65450	0	0	55159	52982	9457	12771	4165	3999	2850	3099	0	261	0	0	0	0	0	0	0	0
206	München-Ost	BY	162822	129179	3255	2231	125924	126948	56342	57714	0	0	54479	49887	9108	12539	3312	3541	2683	2960	0	307	0	0	0	0	0	0	0	0
207	München-Süd	BY	183093	147522	3624	2270	143898	145252	67577	66720	0	0	57429	55259	11217	15079	4265	4440	2865	3308	545	446	0	0	0	0	0	0	0	0
208	München-West	BY	155632	125870	3881	2173	121989	123697	53502	53426	0	0	53283	51568	9275	12408	3543	3447	2386	2592	0	256	0	0	0	0	0	0	0	0
209	München-Land	BY	181852	154497	5181	3871	149316	150626	52171	49093	0	0	83320	84587	9747	12413	2596	2888	1137	1341	345	304	0	0	0	0	0	0	0	0
210	Rosenheim	BY	154862	132930	4086	3931	128844	128999	42745	41300	0	0	76005	74797	6575	8380	2980	3215	0	1054	539	253	0	0	0	0	0	0	0	0
211	Traunstein	BY	142598	121900	4397	3796	117503	118104	33124	31882	0	0	71089	71608	8680	9924	3389	3499	1221	995	0	196	0	0	0	0	0	0	0	0
212	Weilheim	BY	141243	121061	2817	3054	118244	118007	37230	35690	0	0	69613	69008	7638	8980	2748	3220	836	938	179	171	0	0	0	0	0	0	0	0
213	Deggendorf	BY	136728	114209	3319	4782	110890	109427	37525	32360	0	0	69887	71958	2107	3435	1028	1165	343	449	0	60	0	0	0	0	0	0	0	0
214	Landshut	BY	127400	109898	4679	3309	105219	106589	31433	30582	0	0	67230	68633	3319	4642	1935	1814	509	570	793	348	0	0	0	0	0	0	0	0
215	Passau	BY	139141	120130	3278	4781	116852	115349	37972	29583	0	0	74409	79181	1670	2945	2278	3038	274	378	249	224	0	0	0	0	0	0	0	0
216	Straubing	BY	133156	114992	3530	4403	111462	110589	29241	27143	0	0	76668	76709	3219	4252	1658	1685	676	721	0	79	0	0	0	0	0	0	0	0
217	Pfarrkirchen	BY	122117	105862	5179	3382	100683	102480	21228	21002	0	0	75176	76019	2718	3674	1561	1489	0	232	0	64	0	0	0	0	0	0	0	0
218	Amberg – Neumarkt i.d.Opf.	BY	162462	146653	5272	4139	141381	142514	36564	36364	0	0	95905	95388	5566	7242	2152	2440	627	676	567	404	0	0	0	0	0	0	0	0
219	Burglengenfeld	BY	157354	140331	5254	6121	135077	134210	37034	37082	0	0	92391	89570	3139	4761	1613	1842	722	828	178	127	0	0	0	0	0	0	0	0
220	Regensburg	BY	147019	128141	4092	4080	124049	124061	40881	40658	0	0	76544	73451	3610	6099	1970	2488	1044	1260	0	105	0	0	0	0	0	0	0	0
221	Tirschenreuth	BY	141628	130764	2736	4344	128028	126420	41988	39943	0	0	77082	75993	5849	7081	2505	2765	604	560	0	78	0	0	0	0	0	0	0	0
222	Bamberg	BY	156443	136579	3631	4204	132948	132375	39737	38585	0	0	83819	82707	5910	7340	2622	2807	860	874	0	62	0	0	0	0	0	0	0	0
223	Bayreuth	BY	155933	135300	3563	4198	131737	131102	55426	54426	0	0	63214	59727	7081	10000	4966	5817	1050	1048	0	84	0	0	0	0	0	0	0	0
224	Coburg	BY	143124	129247	2666	3093	126581	126154	58756	56991	0	0	54570	54171	9256	10537	3470	3772	529	617	0	66	0	0	0	0	0	0	0	0
225	Kulmbach	BY	152852	135638	3511	4432	132127	131206	45071	43185	0	0	77936	76201	5616	7561	2988	3606	516	604	0	49	0	0	0	0	0	0	0	0
226	Hof	BY	155821	135972	3112	3943	132860	132029	62157	61354	0	0	56152	54664	9387	10114	3357	3996	1304	1401	503	500	0	0	0	0	0	0	0	0
227	Ansbach	BY	162828	140021	2693	4464	137328	135557	43068	39605	0	0	74851	72157	13347	16848	4273	4963	929	1070	860	914	0	0	0	0	0	0	0	0
228	Erlangen	BY	170640	145590	5051	3324	140539	142266	54563	53562	0	0	66298	63370	11379	14688	7969	8634	0	1786	330	226	0	0	0	0	0	0	0	0
229	Fürth	BY	161146	138021	3374	3662	134647	134359	49056	49263	0	0	70663	65407	8154	11723	3951	5050	2299	2516	524	400	0	0	0	0	0	0	0	0
230	Nürnberg-Nord	BY	178210	149289	2482	2620	146807	146669	62304	61093	0	0	59338	56368	12646	15616	8009	8735	4124	4466	386	391	0	0	0	0	0	0	0	0
231	Nürnberg-Süd	BY	161396	137057	2270	2359	134787	134698	63382	61940	0	0	49617	48862	10583	11340	7228	8103	3673	4142	304	311	0	0	0	0	0	0	0	0
232	Weißenburg	BY	157708	139814	4182	3865	135632	135949	26157	27833	0	0	98002	94725	8495	9902	1989	2457	578	648	411	384	0	0	0	0	0	0	0	0
233	Aschaffenburg	BY	151004	133701	3409	4034	130292	129667	46504	45577	0	0	73529	71572	6063	7934	2810	3110	1197	1275	189	199	0	0	0	0	0	0	0	0
234	Bad Kissingen	BY	145577	129932	2702	4936	127230	124996	27970	27802	0	0	87790	84417	9553	10457	1512	1795	405	450	0	75	0	0	0	0	0	0	0	0
235	Karlstadt	BY	152352	137206	5420	5350	131786	131856	33558	34458	0	0	88965	86615	6914	8086	1523	1806	663	713	163	178	0	0	0	0	0	0	0	0
236	Schweinfurt	BY	145980	122766	3417	3502	119349	119264	35934	35988	0	0	72541	68193	7455	11742	2500	2603	684	715	0	23	0	0	235	0	0	0	0	0
237	Würzburg	BY	152928	134998	3566	2836	131432	132162	45895	45426	0	0	71478	70443	9046	11320	2227	2397	2553	2343	233	233	0	0	0	0	0	0	0	0
238	Augsburg	BY	151007	127631	2016	2997	125615	124634	56454	56110	0	0	58159	54791	6442	8696	2112	2499	2105	2177	343	361	0	0	0	0	0	0	0	0
239	Augsburg-Land	BY	160775	140813	4590	3357	136223	137456	44144	43090	0	0	82497	82428	5476	7767	2840	2836	984	1098	282	237	0	0	0	0	0	0	0	0
240	Donauwörth	BY	151194	129771	3218	4439	126553	125332	31986	31246	0	0	86467	83797	5657	7822	1348	1547	815	718	280	202	0	0	0	0	0	0	0	0
241	Neu-Ulm	BY	146512	128859	4314	3220	124545	125639	37109	37605	0	0	77821	76078	5480	7517	2783	3024	878	969	474	446	0	0	0	0	0	0	0	0
242	Kaufbeuren	BY	166898	145554	4901	3739	140653	141815	36014	35763	0	0	89958	88174	8797	11339	4751	5269	1133	1119	0	151	0	0	0	0	0	0	0	0
243	Kempten	BY	183666	156060	4396	4193	151664	151867	44377	44286	0	0	89688	87380	12731	15311	2001	2203	1587	1682	1280	1005	0	0	0	0	0	0	0	0
909	Bayern	BY	6752276	5803004	164676	161513	5638328	5641491	1913778	1869467	0	0	3204648	3136506	320121	413744	135383	149975	53478	60561	10685	11238	0	0	235	0	0	0	0	0
																														
244	Saarbrücken-Stadt	SL	147378	124608	5097	3601	119511	121007	50190	50552	47234	46193	0	0	15215	16886	3060	3324	2183	2408	190	185	1439	1459	0	0	0	0	0	0
245	Saarbrücken-Land	SL	148169	132891	5513	4861	127378	128030	52253	52038	60412	59463	0	0	9440	10845	2090	2240	1746	1827	0	94	1437	1523	0	0	0	0	0	0
246	Saarlouis	SL	146262	132861	7129	6187	125732	126674	45452	45765	68097	66724	0	0	6577	8317	1530	1650	1126	1178	184	153	2766	2887	0	0	0	0	0	0
247	Ottweiler	SL	148239	135582	6913	6429	128669	129153	48050	48069	69483	68363	0	0	6187	7547	1583	1710	2001	2063	0	65	1365	1336	0	0	0	0	0	0
248	St. Ingbert	SL	146191	130554	4510	4887	126044	125667	54870	54373	56064	54514	0	0	9147	10524	2171	2300	1918	2015	144	144	1730	1797	0	0	0	0	0	0
910	Saarland	SL	736239	656496	29162	25965	627334	630531	250815	250797	301290	295257	0	0	46566	54119	10434	11224	8974	9491	518	641	8737	9002	0	0	0	0	0	0
																														
999	Bundesgebiet ohne Berlin	BUND	38510395	33416207	979158	795765	32437049	32620442	12998474	12813186	12631319	12387562	3204648	3136506	2562294	3096739	587216	664193	386900	434182	46146	52637	11978	19832	6287	10631	1127	3959	1015	660
