Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
27	Cloppenburg	NI	127830	116760	2663	2893	114097	113867	16122	16920	90558	88246	0	0	5036	6320	1908	1935	473	370	0	50	0	0	0	26	0	0	0	0
28	Hoya	NI	124230	107591	2456	2711	105135	104880	35574	34688	48804	48704	0	0	18170	18141	1998	2514	343	495	246	245	0	0	0	93	0	0	0	0
29	Verden	NI	143707	124196	2982	3003	121214	121193	48410	45545	62762	60840	0	0	6512	10427	2524	3107	757	965	0	89	0	0	249	220	0	0	0	0
30	Soltau – Harburg	NI	165058	142678	3011	2978	139667	139700	45913	45530	76119	71727	0	0	12281	16159	4076	4781	843	973	435	429	0	0	0	101	0	0	0	0
31	Lüneburg – Lüchow-Dannenberg	NI	153857	131241	5534	2723	125707	128518	41959	43037	64779	63217	0	0	14137	16791	3697	4220	788	886	347	321	0	0	0	46	0	0	0	0
32	Bersenbrück	NI	119973	108303	1910	2685	106393	105618	27217	26984	71020	69356	0	0	5477	6635	2389	2242	290	331	0	36	0	0	0	34	0	0	0	0
33	Osnabrück	NI	187784	167873	3487	2828	164386	165045	65146	62316	82112	82497	0	0	13493	15855	2768	3120	740	1069	0	59	0	0	127	129	0	0	0	0
34	Nienburg	NI	168103	142620	4383	3313	138237	139307	47061	47412	62382	62431	0	0	23769	23584	4516	5245	509	509	0	77	0	0	0	49	0	0	0	0
35	Schaumburg	NI	176381	157031	5054	3651	151977	153380	72112	71652	63462	62090	0	0	12609	15485	2907	3027	887	931	0	145	0	0	0	50	0	0	0	0
36	Hannover I	NI	183284	156381	2924	2740	153457	153641	77000	75729	58505	55118	0	0	12535	16167	3080	3853	2058	2373	279	308	0	0	0	93	0	0	0	0
37	Hannover II	NI	187461	162900	2294	2833	160606	160067	81830	81112	62097	55922	0	0	11157	16301	2946	3750	2197	2524	379	386	0	0	0	72	0	0	0	0
38	Hannover III	NI	193018	173228	3538	3233	169690	169995	81380	80394	70274	66853	0	0	13187	16997	3137	3675	1567	1742	0	215	0	0	145	119	0	0	0	0
39	Celle	NI	179557	156745	4016	3828	152729	152917	58737	58313	75234	69772	0	0	11817	16467	5490	6737	1152	1238	299	286	0	0	0	104	0	0	0	0
40	Gifhorn	NI	168110	147786	5775	3761	142011	144025	58202	58515	68331	66352	0	0	10024	13266	4739	4836	715	808	0	192	0	0	0	56	0	0	0	0
41	Hameln – Springe	NI	139973	125344	2889	2847	122455	122497	57175	56088	51065	48759	0	0	11689	14597	1719	1933	807	883	0	153	0	0	0	84	0	0	0	0
42	Holzminden	NI	146515	134379	2395	3204	131984	131175	64231	63247	51095	48788	0	0	13247	15348	2380	2687	802	828	229	233	0	0	0	44	0	0	0	0
43	Hildesheim	NI	146938	131231	4202	2316	127029	128915	57142	57602	59057	56642	0	0	7525	10582	2340	2914	965	1051	0	83	0	0	0	41	0	0	0	0
44	Salzgitter	NI	144542	127985	2719	3265	125266	124720	60455	58764	53401	51242	0	0	8238	11167	2048	2338	892	967	232	183	0	0	0	59	0	0	0	0
45	Braunschweig	NI	176060	151734	2171	2896	149563	148838	70271	67807	62322	58132	0	0	13096	18358	1629	1952	1816	2136	271	278	0	0	158	175	0	0	0	0
46	Helmstedt – Wolfsburg	NI	189005	166856	6152	3890	160704	162966	65671	65710	79814	77391	0	0	11116	14988	3166	3562	937	1022	0	173	0	0	0	120	0	0	0	0
47	Goslar – Wolfenbüttel	NI	146479	130679	3370	2946	127309	127733	55469	54848	61069	56707	0	0	8197	12865	1678	2072	896	1011	0	159	0	0	0	71	0	0	0	0
48	Northeim	NI	159342	141951	4123	3022	137828	138929	67038	66795	54093	51730	0	0	11615	14785	3863	4237	744	808	475	508	0	0	0	66	0	0	0	0
