Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	BUERGERP	BUERGERP	C.B.V.	C.B.V.	DKP	DKP	GRUENE	GRUENE	E A P	E A P	K B W	K B W	NPD	NPD	V	V	D F P	D U	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																				
109	ENNEPE-RUHR-KREIS I	NW	182163	165509	1286	1075	164223	164434	88684	85616	58647	55794	0	0	13307	20211	0	122	0	0	832	499	2712	1834	0	31	0	6	0	298	0	23	0	0	41	0
110	BOCHUM I	NW	199090	176390	1613	1194	174777	175196	104716	102598	55958	54474	0	0	10348	14993	0	111	0	0	695	467	2879	2123	0	14	0	25	0	286	143	105	0	0	38	0
111	BOCHUM II - ENNEPE-RUHR-KREIS II	NW	192858	173121	1663	1383	171458	171738	105153	103473	49962	48178	0	0	11856	16972	0	101	0	0	484	356	3736	2216	0	32	44	40	0	265	181	105	0	0	42	0
112	HERNE	NW	138375	122563	1334	924	121229	121639	78535	76323	35962	34696	0	0	5826	8699	0	75	0	0	712	419	0	1095	0	14	0	24	0	249	194	45	0	0	0	0
113	DORTMUND I	NW	154239	133730	1574	944	132156	132786	75773	75326	43846	42847	0	0	8367	11492	0	93	0	0	719	540	3166	2022	47	39	81	55	0	290	157	82	0	0	0	0
114	DORTMUND II	NW	139360	123621	1319	877	122302	122744	78450	77649	34336	33529	0	0	6895	9433	0	72	0	0	460	333	1991	1412	58	37	22	21	0	191	90	67	0	0	0	0
115	DORTMUND III	NW	166077	149200	1362	916	147838	148284	86687	85044	46584	45017	0	0	10568	15300	0	136	0	0	658	432	3091	2010	60	46	54	30	0	182	136	87	0	0	0	0
116	UNNA I	NW	180867	164507	1691	1319	162816	163188	96260	92626	52154	50836	0	0	10996	17085	0	100	0	0	433	272	2827	1852	74	38	72	31	0	321	0	27	0	0	0	0
117	HAMM - UNNA II	NW	225269	202104	2027	1580	200077	200524	107948	106320	79166	74770	0	0	9613	16510	0	117	0	0	403	302	2888	2057	0	34	59	26	0	344	0	44	0	0	0	0
118	SOEST	NW	187937	169006	1789	1475	167217	167531	67665	66744	83668	81153	0	0	12745	17140	0	126	0	0	216	159	2826	1891	0	23	0	20	0	235	97	40	0	0	0	0
119	HOCHSAUERLANDKREIS	NW	191312	175140	1625	1494	173515	173646	60699	60193	99546	97722	0	0	10405	13503	0	93	0	0	207	144	2589	1772	0	14	69	32	0	153	0	20	0	0	0	0
120	SIEGEN I	NW	162776	145088	1341	1350	143747	143738	71178	65936	60050	58290	0	0	9875	17324	0	110	0	0	386	282	2204	1518	0	17	54	20	0	219	0	22	0	0	0	0
121	OLPE - SIEGEN II	NW	132138	121278	1341	1031	119937	120247	46042	45118	65674	63613	0	0	7908	10164	0	74	0	0	313	129	0	1022	0	9	0	10	0	84	0	24	0	0	0	0
122	MAERKISCHER KREIS I	NW	151917	135057	1593	1105	133464	133952	59781	58370	62405	59578	0	0	8769	13917	0	104	0	0	261	135	2248	1480	0	15	0	17	0	317	0	19	0	0	0	0
123	MAERKISCHER KREIS II	NW	157201	138883	1769	1174	137114	137709	69976	65397	53752	52561	0	0	11297	17682	0	112	0	0	331	229	1758	1303	0	18	0	12	0	370	0	25	0	0	0	0
905	NORDRHEIN-WESTFALEN	NW	12374314	11008682	116614	89233	10892068	10919449	5278416	5108147	4587267	4432661	0	0	798323	1191643	441	7300	0	0	33594	23115	187264	136278	1381	1827	2454	1664	0	14407	2252	2407	0	0	159	517
																																				
124	WALDECK	HE	146992	133443	2117	1191	131326	132252	68438	65751	50992	50079	0	0	9356	13921	0	0	0	0	270	195	2270	2000	0	12	0	19	0	251	0	24	0	0	0	0
125	KASSEL	HE	176785	158249	1601	1280	156648	156969	83440	82527	53110	51568	0	0	15461	18286	0	0	0	0	600	531	3907	3774	0	25	76	68	0	159	54	31	0	0	0	0
126	WERRA-MEISSNER	HE	155765	143832	1904	1137	141928	142695	82541	80924	47374	46332	0	0	8894	12717	0	0	0	0	342	240	2730	2266	0	20	47	30	0	145	0	21	0	0	0	0
127	SCHWALM-EDER	HE	141081	128913	1326	1225	127587	127688	66641	64373	50118	48540	0	0	7660	12042	0	0	0	0	303	202	2865	2327	0	17	0	13	0	146	0	28	0	0	0	0
128	HERSFELD	HE	157399	145969	2965	1359	143004	144610	73067	70863	59921	59346	0	0	7054	11514	0	0	0	0	293	221	2669	2407	0	16	0	19	0	199	0	25	0	0	0	0
129	MARBURG	HE	160121	143590	2093	1353	141497	142237	70140	67881	59378	57207	0	0	6854	13049	0	0	0	0	1477	1020	3648	2766	0	25	0	27	0	215	0	47	0	0	0	0
130	LAHN-DILL	HE	193011	170456	1641	1472	168815	168984	86942	83425	67743	65763	0	0	10810	16795	0	0	0	0	385	282	2846	2314	0	37	89	49	0	302	0	17	0	0	0	0
131	GIESSEN	HE	186039	168258	2124	1618	166134	166640	83494	80398	67847	66400	0	0	10865	16256	0	0	0	0	495	384	3311	2798	0	34	122	75	0	250	0	45	0	0	0	0
132	FULDA	HE	209308	191068	4843	2076	186225	188992	67911	67965	104357	104373	0	0	10471	13788	0	0	0	0	360	273	3046	2229	0	23	80	44	0	262	0	35	0	0	0	0
133	HOCHTAUNUS	HE	213898	194489	2070	1394	192419	193095	82175	76386	89536	86156	0	0	15814	26090	0	0	0	0	398	315	4392	3588	0	28	0	46	0	410	104	76	0	0	0	0
134	WETTERAU	HE	184757	167193	1702	1340	165491	165853	82084	78453	69388	67172	0	0	10405	16793	0	0	0	0	325	236	3197	2605	0	37	92	42	0	481	0	34	0	0	0	0
135	RHEINGAU-TAUNUS - LIMBURG	HE	185471	167466	2077	1745	165389	165721	73300	67594	78875	77714	0	0	9755	17059	0	0	0	0	297	208	3065	2676	97	52	0	26	0	364	0	28	0	0	0	0
136	WIESBADEN	HE	194655	167819	1881	1621	165938	166198	80450	74665	67790	65786	0	0	13694	22005	0	0	0	0	402	329	3328	2788	128	88	90	64	0	430	56	43	0	0	0	0
137	HANAU	HE	211116	190406	1445	1366	188961	189040	92817	88565	79341	77058	0	0	12065	19110	0	0	0	0	767	637	3691	3050	90	70	93	70	0	406	97	74	0	0	0	0
138	FRANKFURT AM MAIN I - MAIN-TAUNUS	HE	171275	151784	1549	1388	150235	150396	69965	68136	62705	60428	0	0	13894	18128	0	0	0	0	509	407	2996	2637	0	24	87	64	0	505	79	67	0	0	0	0
139	FRANKFURT AM MAIN II	HE	160635	138113	1537	1163	136576	136950	60686	58491	57957	55721	0	0	12852	18092	0	0	0	0	687	554	4091	3451	62	58	173	130	0	409	68	44	0	0	0	0
140	FRANKFURT AM MAIN III	HE	158503	136303	1490	1265	134813	135038	65265	61397	54502	52730	0	0	9719	16107	0	0	0	0	641	517	4340	3539	67	46	170	130	0	508	109	64	0	0	0	0
141	GROSS-GERAU	HE	201975	184880	2394	1648	182486	183232	92303	89205	71238	69454	0	0	12499	19285	0	0	0	0	846	506	5349	4147	112	58	139	91	0	427	0	59	0	0	0	0
142	OFFENBACH	HE	204249	182811	2976	1537	179835	181274	84450	82328	75482	73079	0	0	14942	21061	0	0	0	0	542	471	4305	3761	0	37	114	85	0	401	0	51	0	0	0	0
143	DARMSTADT	HE	195984	175135	2494	1898	172641	173237	84910	83628	64619	63130	0	0	16401	21186	0	0	0	0	717	495	5533	4331	0	34	109	75	0	309	0	49	0	0	0	352
144	ODENWALD	HE	217224	198776	3006	2160	195770	196616	96469	91334	83399	82017	0	0	11010	18918	0	0	0	0	773	556	3924	3222	94	60	101	45	0	388	0	76	0	0	0	0
145	BERGSTRASSE	HE	175504	159118	1905	1673	157213	157445	74323	71224	70540	67851	0	0	8828	15246	0	0	0	0	305	238	2962	2337	81	57	65	51	0	382	109	59	0	0	0	0
906	HESSEN	HE	4001747	3598071	47140	32909	3550931	3565162	1721811	1655513	1486212	1447904	0	0	249303	377448	0	0	0	0	11734	8817	78465	65013	731	858	1647	1263	0	7349	676	997	0	0	0	352
																																				
146	NEUWIED	RP	210872	191087	1975	1927	189112	189160	83905	80309	88283	86043	0	0	13852	19969	0	0	0	0	285	222	2730	2330	0	45	57	30	0	172	0	40	0	0	0	0
147	AHRWEILER	RP	164641	148233	2332	1484	145901	146749	53647	52492	82220	80910	0	0	7391	11311	0	0	0	0	224	148	2419	1703	0	35	0	10	0	124	0	16	0	0	0	0
148	KOBLENZ	RP	179565	160420	1931	1428	158489	158992	69668	64776	76704	74565	0	0	9166	17230	0	0	0	0	273	180	2551	1971	85	52	42	30	0	170	0	18	0	0	0	0
149	COCHEM	RP	132481	119839	2963	1516	116876	118323	37369	37515	67153	66430	0	0	11823	12603	0	0	0	0	531	146	0	1404	0	38	0	11	0	148	0	28	0	0	0	0
150	KREUZNACH	RP	181281	162603	2211	1587	160392	161016	75589	78165	71447	62236	0	0	10228	17924	66	0	0	0	647	361	2415	1861	0	32	0	28	0	359	0	50	0	0	0	0
151	BITBURG	RP	152317	135611	3015	2040	132596	133571	36509	37886	86352	83917	0	0	7104	9440	0	0	0	0	226	146	2405	1886	0	63	0	33	0	152	0	48	0	0	0	0
152	TRIER	RP	168320	149853	2841	2170	147012	147683	60169	58652	76268	74999	0	0	7231	11391	0	0	0	0	244	182	3014	2192	0	34	86	51	0	151	0	31	0	0	0	0
153	MONTABAUR	RP	215770	194958	2493	2115	192465	192843	85849	84977	88456	86086	0	0	14597	18658	0	0	0	0	336	232	3227	2521	0	47	0	37	0	242	0	43	0	0	0	0
154	MAINZ	RP	208152	187547	2167	1779	185380	185768	86350	80767	80101	76911	0	0	14862	24308	0	0	0	0	519	440	3334	2851	134	81	80	49	0	307	0	54	0	0	0	0
155	WORMS	RP	161763	145998	1756	1501	144242	144497	73758	71384	56213	55205	0	0	11311	15100	0	0	0	0	428	318	2411	1921	64	53	57	33	0	447	0	36	0	0	0	0
156	FRANKENTHAL	RP	136383	124093	2137	1586	121956	122507	61879	61418	48677	46241	0	0	8672	12294	0	0	0	0	312	225	2416	1732	0	35	0	19	0	496	0	47	0	0	0	0
157	LUDWIGSHAFEN	RP	156516	139395	1714	1530	137681	137865	74530	71182	53009	50980	0	0	7226	12987	0	0	0	0	513	384	2254	1888	102	57	47	36	0	313	0	38	0	0	0	0
158	NEUSTADT - SPEYER	RP	163675	148266	2437	1811	145829	146455	64606	62521	67977	66353	0	0	9552	14569	0	0	0	0	478	338	3148	2206	0	31	68	36	0	373	0	28	0	0	0	0
159	KAISERSLAUTERN	RP	208751	184610	3370	2531	181240	182079	95396	91942	69666	69578	0	0	11631	16559	0	0	0	0	592	389	3860	2639	0	60	95	51	0	820	0	41	0	0	0	0
160	PIRMASENS	RP	146701	131312	2618	2011	128694	129301	56703	54580	64038	62273	0	0	7401	9829	0	0	0	0	552	216	0	1734	0	38	0	30	0	577	0	24	0	0	0	0
161	LANDAU	RP	172589	156938	2434	2187	154504	154751	60238	60045	77307	75489	0	0	13196	15749	0	0	0	0	303	212	3363	2661	0	51	97	48	0	460	0	36	0	0	0	0
907	RHEINLAND-PFALZ	RP	2759777	2480763	38394	29203	2442369	2451560	1076165	1048611	1153871	1118216	0	0	165243	239921	66	0	0	0	6463	4139	39547	33500	385	752	629	532	0	5311	0	578	0	0	0	0
																																				
162	STUTTGART-SUED	BW	185597	162306	1603	1211	160703	161095	67032	61948	67269	63570	0	0	20453	31277	0	0	0	0	368	314	5381	3463	64	35	63	43	0	395	73	50	0	0	0	0
163	STUTTGART-NORD	BW	193730	169008	1716	1352	167292	167656	80072	74829	66074	63860	0	0	16906	25268	0	0	0	0	556	450	3477	2677	96	42	35	19	0	460	76	51	0	0	0	0
164	BOEBLINGEN	BW	198859	174061	2135	1737	171926	172324	69331	63555	82513	78092	0	0	14744	27103	0	0	0	0	266	157	5072	3005	0	31	0	15	0	318	0	48	0	0	0	0
165	ESSLINGEN	BW	149110	132490	1594	1097	130896	131393	62296	51981	60767	58141	0	0	7301	18363	0	0	0	0	532	199	0	2408	0	24	0	13	0	250	0	14	0	0	0	0
166	NUERTINGEN	BW	155044	135794	1887	1300	133907	134494	51209	49678	65901	62233	0	0	12854	19753	0	0	0	0	264	134	3570	2276	109	57	0	12	0	308	0	43	0	0	0	0
167	GOEPPINGEN	BW	160340	140391	1301	1350	139090	139041	54782	54462	67338	63921	0	0	13774	18226	0	0	0	0	231	164	2817	1952	0	20	0	10	0	266	0	20	0	0	0	148
168	WAIBLINGEN	BW	183441	158142	2626	1699	155516	156443	61719	60382	73033	67695	0	0	16674	24959	0	0	0	0	284	171	3698	2781	0	36	0	37	0	328	108	54	0	0	0	0
169	LUDWIGSBURG	BW	177017	155933	1374	1376	154559	154557	65505	60950	74658	66254	0	0	10651	23938	0	0	0	0	220	167	3525	2710	0	33	0	20	0	454	0	31	0	0	0	0
170	NECKAR-ZABER	BW	150649	132107	1458	1436	130649	130671	53777	51905	60085	56642	0	0	13382	19278	0	0	0	0	238	150	3048	2267	0	32	0	22	0	339	0	36	0	119	0	0
171	HEILBRONN	BW	206718	180939	2316	1968	178623	178971	80575	72892	82760	79653	0	0	10796	22559	0	0	0	0	252	177	4183	3135	0	28	57	43	0	429	0	55	0	0	0	0
172	SCHWAEBISCH HALL	BW	170702	142486	1785	1746	140701	140740	50056	50546	72322	68446	0	0	14817	18742	0	0	0	0	193	131	3245	2455	0	28	68	30	0	319	0	43	0	0	0	0
173	BACKNANG - SCHWAEBISCH GMUEND	BW	145108	124410	1546	1385	122864	123025	44541	44717	66399	61076	0	0	8174	14552	0	0	0	0	252	148	3498	2183	0	27	0	16	0	283	0	23	0	0	0	0
174	AALEN - HEIDENHEIM	BW	198685	175540	2468	2083	173072	173457	65840	66633	92607	87470	0	0	10065	16004	0	0	0	0	390	236	4119	2757	0	26	51	18	0	283	0	30	0	0	0	0
175	KARLSRUHE-STADT	BW	191719	162986	2117	1441	160869	161545	72671	66409	70678	69653	0	0	13370	21991	0	0	0	0	447	302	3434	2643	99	58	71	57	0	346	99	86	0	0	0	0
176	KARLSRUHE-LAND	BW	206947	182214	4260	3272	177954	178942	67380	67626	96904	93041	0	0	9277	15118	0	0	0	0	1096	268	3193	2324	0	56	104	51	0	409	0	49	0	0	0	0
177	RASTATT	BW	228790	196460	3558	2962	192902	193498	67957	68587	107091	103221	0	0	13388	18119	0	0	0	0	326	237	4018	2924	0	43	122	53	0	284	0	30	0	0	0	0
178	HEIDELBERG	BW	168925	148172	2094	1688	146078	146484	65605	63324	63644	62010	0	0	11454	17085	0	0	0	0	319	226	4907	3366	0	20	149	110	0	302	0	41	0	0	0	0
179	MANNHEIM I	BW	143875	121331	1393	1158	119938	120173	66276	63085	45720	43689	0	0	6640	10746	0	0	0	0	981	619	0	1565	89	37	92	43	0	339	140	50	0	0	0	0
180	MANNHEIM II	BW	152040	135891	1368	1279	134523	134612	64668	59865	57864	55739	0	0	8631	16139	0	0	0	0	363	255	2867	2118	0	24	49	49	0	374	81	49	0	0	0	0
181	ODENWALD - TAUBER	BW	186497	161490	2985	2104	158505	159386	48860	51089	96339	92236	0	0	9117	13097	0	0	0	0	194	114	3902	2497	0	22	93	38	0	256	0	37	0	0	0	0
182	RHEIN-NECKAR	BW	154327	137444	2497	1772	134947	135672	57191	52300	67872	66402	0	0	9389	14305	0	0	0	0	292	119	0	2116	0	30	203	71	0	296	0	33	0	0	0	0
183	PFORZHEIM	BW	187091	161721	2837	1945	158884	159776	68637	65551	73300	70698	0	0	12407	20091	0	0	0	0	309	178	4165	2819	0	35	66	27	0	330	0	47	0	0	0	0
184	CALW	BW	155510	131487	1936	1686	129551	129801	45361	43473	71547	68141	0	0	8802	15356	0	0	0	0	358	129	3416	2377	0	24	67	27	0	249	0	25	0	0	0	0
185	FREIBURG	BW	186129	161262	1903	1568	159359	159694	65424	63496	69370	67148	0	0	16964	22979	0	0	0	0	531	336	6944	5337	0	31	126	99	0	208	0	60	0	0	0	0
186	LOERRACH - MUELLHEIM	BW	179104	149941	2228	1990	147713	147951	61153	61088	67148	64188	0	0	12884	18240	0	0	0	0	359	233	6114	3754	0	26	55	23	0	368	0	31	0	0	0	0
187	EMMENDINGEN - LAHR	BW	179243	152052	3058	2672	148994	149380	55578	57305	76216	72515	0	0	11444	15584	0	0	0	0	367	237	5311	3440	0	26	78	40	0	200	0	33	0	0	0	0
188	OFFENBURG	BW	167388	140732	2272	2366	138460	138366	49313	49099	77096	74515	0	0	8881	11955	0	0	0	0	170	134	2944	2316	0	33	56	28	0	265	0	21	0	0	0	0
189	ROTTWEIL	BW	168450	146452	2146	2053	144306	144399	46408	46648	83150	81289	0	0	11466	13655	0	0	0	0	276	183	3006	2138	0	41	0	14	0	412	0	19	0	0	0	0
190	SCHWARZWALD-BAAR	BW	136136	116244	1713	1393	114531	114851	39848	40692	63493	58838	0	0	7920	12522	0	0	0	0	159	100	3055	2184	0	24	56	29	0	444	0	18	0	0	0	0
191	KONSTANZ	BW	158445	134274	1982	1539	132292	132735	48298	46447	69829	68018	0	0	9568	15111	0	0	0	0	267	203	4153	2616	0	25	68	40	0	223	109	52	0	0	0	0
192	WALDSHUT	BW	121392	101856	1277	1273	100579	100583	35965	33239	54725	53941	0	0	6891	10806	0	0	0	0	146	109	2801	2273	0	23	51	23	0	155	0	14	0	0	0	0
193	REUTLINGEN	BW	161260	140559	2099	1388	138460	139171	45196	48960	71629	69046	0	0	18106	18498	0	0	0	0	405	237	3000	2067	0	27	0	9	0	247	124	80	0	0	0	0
194	TUEBINGEN	BW	135555	119261	1894	1160	117367	118101	43632	41809	61859	58390	0	0	7545	14591	0	0	0	0	628	234	3617	2801	0	21	86	25	0	187	0	43	0	0	0	0
195	ULM	BW	178131	156061	2348	2104	153713	153957	56188	53668	82566	80574	0	0	10703	16214	0	0	0	0	354	232	3738	2673	97	68	67	26	0	464	0	38	0	0	0	0
196	BIBERACH	BW	183578	161169	3052	2058	158117	159111	33096	34593	111688	109582	0	0	7741	11495	0	0	0	0	198	98	5240	3039	0	35	0	20	0	228	0	21	0	0	0	154
197	RAVENSBURG - BODENSEE	BW	195417	169526	2150	1775	167376	167751	48563	47344	98808	97438	0	0	14449	18880	0	0	0	0	273	153	5054	3538	0	35	100	56	0	229	129	78	0	0	0	0
198	ZOLLERNALB - SIGMARINGEN	BW	169586	145870	1777	1636	144093	144234	43159	40738	91647	88719	0	0	5895	12283	0	0	0	0	198	100	3194	2080	0	29	0	22	0	228	0	35	0	0	0	0
908	BADEN-WUERTTEMBERG	BW	6370535	5518062	78753	64022	5439309	5454040	2103162	2030913	2761909	2646084	0	0	423523	654882	0	0	0	0	13062	7634	133706	99074	554	1212	2033	1278	0	11475	939	1488	0	119	0	302
																																				
199	ALTOETTING	BY	201590	178891	2684	1491	176207	177400	48931	46135	0	0	113637	114948	9627	13313	0	100	0	150	234	125	3778	2310	0	31	0	9	0	260	0	19	0	0	0	0
200	FREISING	BY	198961	174953	3939	1886	171014	173067	46490	45899	0	0	112052	112377	7647	11524	0	44	0	134	222	118	4507	2639	0	21	0	13	0	281	0	17	96	0	0	0
201	FUERSTENFELDBRUCK	BY	188106	167242	2526	1275	164716	165967	55345	52946	0	0	92383	91450	13616	18841	0	85	0	103	252	140	2837	2022	0	30	0	10	0	323	0	17	0	0	0	283
202	INGOLSTADT	BY	186227	164329	2247	1650	162082	162679	47823	48218	0	0	106112	103642	5480	8791	0	78	0	76	777	246	1890	1287	0	21	0	12	0	286	0	22	0	0	0	0
203	MUENCHEN-MITTE	BY	126043	103609	1570	806	102039	102803	46535	43425	0	0	42759	42566	8992	13503	0	70	0	81	474	358	3155	2338	124	54	0	35	0	345	0	28	0	0	0	0
204	MUENCHEN-NORD	BY	170369	142889	2063	1013	140826	141876	70521	61970	0	0	57260	58903	9502	17800	0	101	0	89	456	332	2260	2114	91	46	81	35	0	448	0	38	0	0	0	655
205	MUENCHEN-OST	BY	179029	151436	2283	1035	149153	150401	63298	60793	0	0	66850	66394	15506	19908	0	98	0	108	445	317	2860	2212	119	69	75	32	0	444	0	26	0	0	0	0
206	MUENCHEN-SUED	BY	177737	152648	2373	1034	150275	151614	61981	59949	0	0	66773	66315	17771	22029	0	95	0	94	426	343	3192	2212	132	49	0	21	0	481	0	26	0	0	0	0
207	MUENCHEN-WEST	BY	158469	136584	2241	1024	134343	135560	51677	52823	0	0	63656	61977	16005	17756	0	97	0	108	333	259	2478	2046	134	51	60	39	0	384	0	20	0	0	0	0
208	MUENCHEN-LAND	BY	162642	145765	1520	829	144245	144936	53785	47135	0	0	72736	71405	14617	23512	0	94	0	106	256	136	2851	2156	0	33	0	11	0	331	0	17	0	0	0	0
209	ROSENHEIM	BY	164750	144714	2109	1251	142605	143463	40462	38737	0	0	89085	91684	10429	10618	0	122	0	114	217	119	2339	1767	0	20	73	21	0	250	0	11	0	0	0	0
210	STARNBERG	BY	205252	182532	2113	1418	180419	181114	45086	48224	0	0	108574	107944	22654	21731	0	104	0	166	283	178	3822	2337	0	34	0	18	0	364	0	14	0	0	0	0
211	TRAUNSTEIN	BY	172342	152359	2827	1490	149532	150869	38716	37853	0	0	99695	99370	8056	10715	0	91	0	126	241	161	2824	2084	0	25	0	18	0	410	0	16	0	0	0	0
212	WEILHEIM	BY	190590	168454	2159	1922	166295	166532	43757	43563	0	0	108760	107572	10952	12847	0	123	0	161	247	139	2579	1787	0	32	0	12	0	283	0	13	0	0	0	0
213	DEGGENDORF	BY	129139	106403	1974	1403	104429	105000	24624	26134	0	0	75143	73781	2937	3564	0	49	0	76	155	63	1570	1154	0	20	0	5	0	142	0	12	0	0	0	0
214	LANDSHUT	BY	185939	162765	4589	2260	158176	160505	43026	43536	0	0	99775	104813	11449	9289	0	70	0	98	486	171	3440	2056	0	28	0	18	0	406	0	20	0	0	0	0
215	PASSAU	BY	150746	128298	1978	1512	126320	126786	37031	36283	0	0	82672	83203	3798	5013	0	38	0	67	142	77	2677	1864	0	22	0	14	0	197	0	8	0	0	0	0
216	ROTTAL-INN	BY	133192	114668	2178	1547	112490	113121	28048	26777	0	0	78454	79718	4050	4918	0	44	0	86	173	82	1765	1237	0	16	0	2	0	233	0	8	0	0	0	0
217	STRAUBING	BY	147793	123158	2560	1856	120598	121302	30634	31805	0	0	81030	82700	5921	4896	0	42	0	209	267	146	2746	1309	0	16	0	4	0	168	0	7	0	0	0	0
218	AMBERG	BY	175890	156734	2489	1698	154245	155036	45846	45581	0	0	99390	98679	6511	8341	0	90	0	91	258	150	2240	1634	0	29	0	13	0	402	0	26	0	0	0	0
219	REGENSBURG	BY	191276	167633	2724	1914	164909	165719	51124	50298	0	0	104309	103450	6071	9477	0	79	0	98	323	183	2981	1813	0	22	101	41	0	235	0	23	0	0	0	0
220	SCHWANDORF	BY	188002	162294	3892	2937	158402	159357	42867	46422	0	0	103969	104874	8081	5893	0	87	0	238	507	177	2978	1437	0	18	0	8	0	181	0	22	0	0	0	0
221	WEIDEN	BY	161841	146472	2514	1957	143958	144515	51558	50358	0	0	86354	86201	4075	6289	0	43	0	63	176	103	1795	1179	0	15	0	4	0	248	0	12	0	0	0	0
222	BAMBERG	BY	185939	165592	2209	1615	163383	163977	45423	46668	0	0	109032	105002	5985	9767	0	91	0	73	321	164	2622	1812	0	25	0	17	0	332	0	26	0	0	0	0
223	BAYREUTH	BY	126120	110792	1756	971	109036	109821	41580	41990	0	0	60646	59044	5143	7109	0	58	0	26	313	152	1354	1138	0	12	0	10	0	263	0	19	0	0	0	0
224	COBURG	BY	157459	142390	1547	1247	140843	141143	64619	63533	0	0	69214	67768	5128	8043	0	91	0	32	155	117	1727	1248	0	22	0	6	0	262	0	21	0	0	0	0
225	HOF	BY	203001	177981	2268	1840	175713	176141	84895	83673	0	0	81493	79384	6138	10069	0	72	0	32	297	204	2890	2179	0	23	0	12	0	472	0	21	0	0	0	0
226	KULMBACH	BY	128140	115415	2038	1204	113377	114211	40471	40094	0	0	68428	67586	3053	5098	0	53	0	33	158	80	1267	996	0	13	0	4	0	240	0	14	0	0	0	0
227	ANSBACH	BY	143204	125015	1788	1396	123227	123619	37790	36965	0	0	75487	73711	7158	10427	0	44	0	55	264	132	2528	1894	0	22	0	2	0	347	0	20	0	0	0	0
228	ERLANGEN	BY	224808	200325	2775	1715	197550	198610	81400	77545	0	0	94290	94091	17283	22795	0	123	0	74	419	227	4158	3079	0	29	0	27	0	574	0	46	0	0	0	0
229	FUERTH	BY	222942	193851	2403	1816	191448	192035	76377	75800	0	0	98855	95286	12063	16858	0	96	0	45	558	328	3595	2777	0	38	0	16	0	748	0	43	0	0	0	0
230	NUERNBERG-NORD	BY	176978	152363	1548	1091	150815	151272	68024	65042	0	0	67674	65387	10449	16493	0	83	0	48	645	505	3806	2920	75	48	37	30	0	664	105	52	0	0	0	0
231	NUERNBERG-SUED	BY	174687	150928	1642	1119	149286	149809	75143	72140	0	0	61285	60429	8887	13614	0	70	0	48	888	424	2903	2242	0	17	51	32	0	734	129	59	0	0	0	0
232	ROTH	BY	162095	143720	2556	1626	141164	142094	46847	48577	0	0	85291	80007	6175	10833	0	62	0	47	314	182	2537	1959	0	25	0	6	0	360	0	36	0	0	0	0
233	ASCHAFFENBURG	BY	152174	135054	2116	1687	132938	133367	47316	48087	0	0	75318	74030	7258	8495	0	49	0	40	198	99	2848	2174	0	18	0	15	0	332	0	28	0	0	0	0
234	BAD KISSINGEN	BY	192823	174155	2436	1683	171719	172472	42112	43111	0	0	118668	116809	8191	10043	0	53	0	74	197	117	2551	1902	0	18	0	7	0	310	0	28	0	0	0	0
235	MAIN-SPESSART	BY	167772	151494	2885	1689	148609	149805	49109	47713	0	0	92541	90826	6516	8672	0	72	0	49	443	156	0	2023	0	24	0	14	0	232	0	24	0	0	0	0
236	SCHWEINFURT	BY	176652	157793	2465	1598	155328	156195	51700	51423	0	0	93593	91723	6658	9974	0	78	0	65	244	127	3074	2188	0	20	59	18	0	533	0	46	0	0	0	0
237	WUERZBURG	BY	188292	168054	2946	1519	165108	166535	57286	57802	0	0	91924	90966	11664	14316	0	100	0	62	376	203	3573	2606	0	21	64	23	0	356	221	80	0	0	0	0
238	AUGSBURG-STADT	BY	176250	150123	1667	1264	148456	148859	59180	58921	0	0	75128	74884	9869	11816	0	83	0	75	332	188	3591	2214	0	20	54	27	0	600	0	31	0	302	0	0
239	AUGSBURG-LAND	BY	199537	176261	2759	1581	173502	174680	45987	46346	0	0	115207	113847	8395	11458	0	74	0	85	322	124	3591	2332	0	21	0	11	0	369	0	13	0	0	0	0
240	DONAU-RIES	BY	142680	125252	2407	1466	122845	123786	34415	33719	0	0	80736	81191	5500	6987	0	60	0	52	141	66	2053	1474	0	13	0	8	0	198	0	18	0	0	0	0
241	NEU-ULM	BY	172386	148843	2183	1553	146660	147290	44748	46373	0	0	89754	86610	9136	11468	0	59	0	68	239	119	2783	2178	0	28	0	13	0	358	0	16	0	0	0	0
242	OBERALLGAEU	BY	185082	160959	3117	1602	157842	159357	44307	45289	0	0	96097	96544	13291	14100	0	111	0	90	350	150	3797	2740	0	36	0	18	0	250	0	29	0	0	0	0
243	OSTALLGAEU	BY	222474	193590	5039	1925	188551	191665	44555	45278	0	0	129276	129368	11117	13617	0	107	0	131	346	171	3257	2253	0	26	0	10	0	672	0	32	0	0	0	0
