Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	BUERGERP	BUERGERP	C.B.V.	C.B.V.	DKP	DKP	GRUENE	GRUENE	E A P	E A P	K B W	K B W	NPD	NPD	V	V	D F P	D U	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																				
26	MITTELEMS	NI	176064	159952	1227	1091	158725	158861	61450	58499	86403	83825	0	0	7108	13874	0	0	0	0	319	180	3370	2182	0	33	75	57	0	179	0	32	0	0	0	0
27	CLOPPENBURG - VECHTA	NI	143191	130427	1506	1247	128921	129180	28570	29755	92177	89132	0	0	4892	7881	0	0	0	0	125	82	3077	2188	0	24	80	18	0	78	0	22	0	0	0	0
28	DIEPHOLZ	NI	138933	121968	1004	853	120964	121115	55684	51647	50671	48614	0	0	11710	18518	0	0	0	0	213	140	2639	1929	0	35	47	27	0	174	0	31	0	0	0	0
29	VERDEN	NI	151109	135363	1186	986	134177	134377	67877	63555	52452	49503	0	0	9674	17735	0	0	0	0	301	201	3773	3006	0	36	100	61	0	218	0	62	0	0	0	0
30	SOLTAU - ROTENBURG	NI	137735	122365	1522	936	120843	121429	54419	51219	56797	54163	0	0	9232	13481	0	0	0	0	263	142	0	2087	0	18	132	42	0	258	0	19	0	0	0	0
31	LUENEBURG - LUECHOW-DANNENBERG	NI	137004	120204	1193	951	119011	119253	51811	50346	52230	49862	0	0	8939	14613	0	0	0	0	203	159	5770	3931	0	21	58	37	0	257	0	27	0	0	0	0
32	OSNABRUECK-LAND	NI	151928	137716	1377	1159	136339	136557	59768	57097	64221	61903	0	0	8951	15068	0	0	0	0	225	134	3090	2148	43	24	41	22	0	143	0	18	0	0	0	0
33	OSNABRUECK	NI	172622	155485	1714	1074	153771	154411	75965	71422	66868	63226	0	0	10300	16895	0	0	0	0	421	198	0	2297	0	19	217	88	0	215	0	51	0	0	0	0
34	NIENBURG - SCHAUMBURG	NI	203471	182158	1556	1240	180602	180918	94514	89393	71198	69494	0	0	11393	19027	0	0	0	0	227	168	3162	2460	0	28	108	44	0	281	0	23	0	0	0	0
35	HARBURG	NI	134056	122054	959	702	121095	121352	51406	48716	53557	50952	0	0	12937	19099	0	0	0	0	227	155	2859	2158	32	20	32	18	0	206	45	28	0	0	0	0
