Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	DKP	DKP	EFP	EFP	FSU	FSU	NPD	NPD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																									
164	Stuttgart I	BW	146506	132649	1123	819	131526	131830	71842	64150	49943	49132	0	0	8261	17051	647	529	0	154	0	0	740	814	93
165	Stuttgart II	BW	129519	117373	844	607	116529	116766	59617	50811	46137	45555	0	0	9707	19177	503	452	0	134	0	0	565	637	0
166	Stuttgart III	BW	136643	123688	967	705	122721	122983	60623	51208	50965	50128	0	0	10086	20483	483	381	0	148	0	0	564	635	0
167	Ludwigsburg	BW	199629	181303	1408	1609	179895	179694	86524	76413	77765	77365	0	0	13870	23823	418	393	0	178	0	0	1318	1522	0
168	Heilbronn	BW	197011	178364	1773	1532	176591	176832	89196	77892	74304	74370	0	0	11336	22708	360	335	0	132	0	0	1164	1395	231
169	Leonberg – Vaihingen	BW	186107	169330	2482	1406	166848	167924	77134	69808	77019	75122	0	0	11214	21364	387	312	0	173	0	0	1094	1145	0
170	Nürtingen – Böblingen	BW	201696	183796	2308	1733	181488	182063	76761	68678	92211	89774	0	0	10536	21153	500	380	0	196	0	0	1480	1882	0
171	Esslingen	BW	160648	148738	1461	956	147277	147782	72272	61328	67907	67789	0	0	5955	17282	400	357	0	151	0	0	743	875	0
172	Göppingen	BW	152798	139535	1149	1153	138386	138382	62693	59850	66746	64175	0	0	7844	13079	318	261	0	98	0	0	785	919	0
173	Ulm	BW	127808	116119	1472	921	114647	115198	50809	45262	58520	58359	0	0	4297	10482	297	209	0	89	0	0	724	797	0
174	Aalen – Heidenheim	BW	193154	176486	2498	1789	173988	174697	72352	68469	92337	90586	0	0	8005	14156	444	346	0	124	0	0	850	1016	0
175	Schwäbisch Gmünd – Backnang	BW	190559	169623	2220	1621	167403	168002	68041	65255	86596	83505	0	0	11087	17341	394	338	0	119	118	0	1167	1444	0
176	Crailsheim	BW	132952	115747	1408	1158	114339	114589	39560	37681	61378	60977	0	0	11652	13698	256	207	0	120	0	0	1493	1906	0
177	Waiblingen	BW	162007	146815	1812	1258	145003	145557	65478	60966	61699	63295	0	0	9764	19893	282	291	0	141	0	0	676	971	7104
178	Karlsruhe	BW	182556	161602	1716	1382	159886	160220	80355	67048	71364	72929	0	0	6338	18240	581	457	0	184	0	0	1248	1362	0
179	Mannheim I	BW	140499	123566	1395	947	122171	122619	72468	69320	42040	42219	0	0	5714	9342	1074	803	0	65	0	0	875	870	0
180	Mannheim II	BW	159758	146830	1723	1221	145107	145609	75372	68201	61657	60760	0	0	6550	14949	647	500	0	83	0	0	881	1116	0
181	Heidelberg-Stadt	BW	151746	136619	1685	1466	134934	135153	66870	59151	59983	59549	0	0	6202	14588	593	479	0	100	0	0	1286	1286	0
182	Pforzheim – Karlsruhe-Land I	BW	182795	165648	2284	2271	163364	163377	73124	67026	79025	79539	0	0	9491	14916	654	544	0	173	0	0	1070	1179	0
183	Bruchsal – Karlsruhe-Land II	BW	168880	152973	2426	2494	150547	150479	61623	57695	81090	80253	0	0	5999	10499	393	304	0	96	0	0	1442	1632	0
184	Heidelberg-Land – Sinsheim	BW	176441	160510	2628	1942	157882	158568	66171	62972	81211	79088	0	0	8731	14643	450	303	0	115	0	0	1319	1447	0
185	Tauberbischofsheim	BW	153584	139393	2773	1621	136620	137772	46333	43232	84078	83841	0	0	4978	9294	275	224	0	90	0	0	956	1091	0
186	Konstanz	BW	175780	155902	2464	1481	153438	154421	61291	57267	79778	79565	0	0	10758	16041	627	436	0	218	160	0	824	894	0
187	Donaueschingen	BW	170079	151464	1942	1927	149522	149537	56074	54041	82738	80121	0	0	9040	13786	388	331	306	269	0	0	976	989	0
188	Waldshut	BW	126718	113104	1302	1372	111802	111732	43399	38407	62230	62106	0	0	5168	10007	360	303	0	151	0	0	645	758	0
189	Lörrach – Müllheim	BW	145273	128750	2218	1573	126532	127177	57796	53727	58919	57683	0	0	8249	14039	472	344	0	183	0	0	1096	1201	0
190	Freiburg	BW	172934	156019	1695	1644	154324	154375	70498	59749	72624	70337	0	0	10152	22952	451	391	0	215	0	0	599	731	0
191	Emmendingen – Wolfach	BW	119261	107252	2000	1534	105252	105718	40448	38292	58882	57323	0	0	4947	8997	335	300	0	122	0	0	640	684	0
192	Offenburg	BW	177704	157861	3059	2787	154802	155074	59857	58475	82465	81856	0	0	10514	12598	560	426	0	177	0	0	1406	1542	0
193	Rastatt	BW	188433	169849	2787	2340	167062	167509	61234	57759	97308	96372	0	0	6686	11453	452	375	0	177	0	0	1382	1373	0
194	Reutlingen	BW	201008	181554	2247	1460	179307	180094	77868	68168	89864	88783	0	0	9546	20872	750	526	0	217	0	0	1279	1528	0
195	Calw	BW	173902	153417	2143	1519	151274	151898	58561	55749	81901	79519	0	0	9098	14958	461	318	0	142	0	0	1253	1212	0
196	Rottweil	BW	131283	119458	1198	1389	118260	118069	42450	40288	68314	67793	0	0	6178	8729	368	257	0	147	0	0	950	855	0
197	Balingen	BW	191542	171749	2871	1666	168878	170083	55506	51023	104952	104043	0	0	6653	13166	366	333	297	278	0	0	1104	1240	0
198	Biberach	BW	156884	144387	3277	1473	141110	142914	33435	33374	101744	101666	0	0	4888	6818	369	225	0	103	0	0	674	728	0
199	Ravensburg	BW	196617	179512	2223	2076	177289	177436	55061	50434	114078	113333	0	0	6792	12255	492	319	0	191	0	0	866	904	0
908	Baden-Württemberg	BW	5960714	5376985	70981	54852	5306004	5322133	2268696	2069169	2679772	2648810	0	0	296286	544832	16807	13289	603	5453	278	0	36134	40580	7428
																									
200	Altötting	BY	149644	135450	2641	1327	132809	134123	39576	38380	0	0	87530	89635	4362	4892	266	166	0	109	0	0	1075	941	0
201	Fürstenfeldbruck	BY	196745	177858	2353	1270	175505	176588	72636	65577	0	0	94357	96243	6736	13250	358	237	0	152	170	0	1248	1129	0
202	Ingolstadt	BY	180919	162393	1971	1572	160422	160821	54393	54045	0	0	100221	99166	3342	5985	967	387	214	139	0	0	1285	1099	0
203	Miesbach	BY	179539	163617	1783	997	161834	162620	53821	56276	0	0	88757	89136	18002	15894	397	267	0	177	0	0	857	870	0
204	München-Mitte	BY	109348	93626	1027	490	92599	93136	46208	43053	0	0	38662	39199	6283	9967	491	335	144	110	0	0	474	472	337
205	München-Nord	BY	186966	163435	1869	873	161566	162562	87770	82432	0	0	62992	62787	8511	15670	818	574	247	184	0	0	924	915	304
206	München-Ost	BY	176554	155424	1972	772	153452	154652	78127	74354	0	0	62433	62680	10786	16161	650	508	492	184	127	0	837	765	0
207	München-Süd	BY	198898	177442	1735	803	175707	176639	88335	84384	0	0	72104	70739	12944	19815	737	602	521	243	123	0	943	856	0
208	München-West	BY	160304	143159	1715	761	141444	142398	69041	65752	0	0	61138	60614	9510	14735	458	417	399	192	0	0	898	688	0
209	München-Land	BY	214957	194830	2483	1730	192347	193100	77226	70293	0	0	105438	105633	8094	15641	401	286	0	171	0	0	1188	1076	0
210	Rosenheim	BY	183071	165465	2777	1363	162688	164102	59885	56820	0	0	94259	95556	6885	10183	530	341	0	193	0	0	1129	1009	0
211	Traunstein	BY	159282	144421	2274	1152	142147	143269	45445	43511	0	0	90413	90628	4789	7763	373	230	0	126	0	0	1127	1011	0
212	Weilheim	BY	154821	140446	1349	1160	139097	139286	45956	44547	0	0	86652	86320	5422	7283	325	234	0	117	0	0	742	785	0
213	Deggendorf	BY	151501	127730	3048	2195	124682	125535	40611	40311	0	0	80999	81104	1852	3125	369	209	0	72	0	0	851	714	0
214	Landshut	BY	140898	126292	3300	1441	122992	124851	42608	40764	0	0	75208	77948	3368	4807	414	202	0	89	0	0	1394	1041	0
215	Passau	BY	154252	134231	2355	1916	131876	132315	41823	39058	0	0	87521	89102	1433	3072	192	140	0	64	0	0	907	879	0
216	Straubing	BY	143665	126476	2177	1905	124299	124571	40147	38008	0	0	80378	81529	2243	3893	364	241	0	83	0	0	1167	817	0
217	Pfarrkirchen	BY	130494	116846	1708	1300	115138	115546	29905	29094	0	0	82284	82301	1857	3145	189	128	129	87	0	0	774	791	0
218	Amberg – Neumarkt	BY	179981	163171	2271	1754	160900	161417	49726	50319	0	0	104859	103201	4127	6090	353	236	0	68	0	0	1835	1503	0
219	Burglengenfeld	BY	173433	154137	3585	2526	150552	151611	47721	49402	0	0	97394	97119	2847	3690	352	266	0	74	0	0	1110	1060	1128
220	Regensburg	BY	162223	144727	2594	1728	142133	142999	50795	51132	0	0	86479	84432	2863	5642	489	278	0	126	0	0	1507	1389	0
221	Tirschenreuth	BY	152237	140209	1744	1669	138465	138540	56544	52742	0	0	77613	79486	2949	5010	259	199	0	68	0	0	1100	1035	0
222	Bamberg	BY	166928	151580	1804	1655	149776	149925	47028	48803	0	0	97690	94162	3822	5698	283	205	0	78	0	0	953	979	0
223	Bayreuth	BY	162835	146305	2511	1430	143794	144875	69815	66751	0	0	68092	68498	4064	7915	427	281	0	71	0	0	1396	1359	0
224	Coburg	BY	149655	138161	1511	1330	136650	136831	72883	67025	0	0	59683	61561	3088	7180	182	189	0	71	0	0	814	805	0
225	Kulmbach	BY	163509	148304	2359	1517	145945	146787	58254	56142	0	0	82236	82741	3607	6275	354	233	0	59	0	0	1494	1337	0
226	Hof	BY	157767	141149	1544	1567	139605	139582	72661	70887	0	0	62583	59849	3148	7464	426	413	0	80	0	0	787	889	0
227	Ansbach	BY	169931	151833	2108	1528	149725	150305	61810	56966	0	0	77560	78610	8225	12496	400	304	0	118	0	0	1730	1811	0
228	Erlangen	BY	190547	173285	2096	1447	171189	171838	88846	78665	0	0	73793	74867	6566	16314	409	373	0	105	0	0	1575	1514	0
229	Fürth	BY	167285	149359	1698	1246	147661	148113	70032	68378	0	0	69273	66720	6184	10824	648	444	0	97	0	0	1524	1650	0
230	Nürnberg-Nord	BY	176203	156952	1713	971	155239	155981	80517	76439	0	0	62608	61869	9147	15287	1134	774	296	166	0	0	1537	1446	0
231	Nürnberg-Süd	BY	191839	172106	2080	983	170026	171123	98642	93734	0	0	61154	60906	7404	13997	1040	717	0	138	0	0	1786	1631	0
232	Weißenburg	BY	169816	152863	2935	1714	149928	151149	43660	45380	0	0	97458	96128	7457	8244	373	272	0	79	0	0	980	1046	0
233	Aschaffenburg	BY	170825	156585	2421	1871	154164	154714	63673	61710	0	0	84265	83642	4968	8081	350	242	0	108	0	0	908	931	0
234	Bad Kissingen	BY	158646	144825	3014	1492	141811	143333	38947	39759	0	0	95177	94945	6588	7514	250	189	0	90	0	0	849	836	0
235	Karlstadt	BY	167637	153888	2830	1734	151058	152154	46123	47040	0	0	97576	96859	6094	7026	364	253	0	97	0	0	901	879	0
236	Schweinfurt	BY	157970	144257	2202	1397	142055	142860	53502	52406	0	0	82632	80961	4283	7765	342	273	0	118	0	0	1296	1337	0
237	Würzburg	BY	168178	154171	2372	1223	151799	152948	63637	60851	0	0	80116	80414	6647	10428	485	337	0	112	0	0	914	806	0
238	Augsburg	BY	183123	162716	1388	1247	161328	161469	78373	75724	0	0	75328	74148	5654	9768	464	397	179	164	0	0	1330	1268	0
239	Augsburg-Land	BY	156223	141042	1975	1362	139067	139680	46171	45447	0	0	87394	86085	3907	6668	334	221	0	100	0	0	1261	1159	0
240	Donauwörth	BY	162129	145334	2335	1627	142999	143707	44103	44064	0	0	93591	92477	4108	5893	362	280	0	113	0	0	835	880	0
241	Neu-Ulm	BY	164119	148450	2209	1479	146241	146971	53601	51826	0	0	86474	85587	4721	8237	407	199	0	94	0	0	1038	1028	0
242	Kaufbeuren	BY	181250	163553	3070	1446	160483	162107	44490	45516	0	0	105433	106144	7363	8248	561	230	0	141	0	0	2636	1828	0
243	Kempten	BY	198999	178113	2690	1456	175423	176657	57183	59369	0	0	102818	103452	13769	12519	543	298	0	143	0	0	1110	876	0
909	Bayern	BY	7375146	6626216	97596	62426	6528620	6563790	2572250	2483136	0	0	3620625	3615183	260019	399554	19890	13607	2621	5170	420	0	51026	47140	1769
																									
244	Saarbrücken-Stadt	SL	153919	139377	1828	1667	137549	137710	75581	68224	52333	52101	0	0	7178	14816	1255	1157	0	142	0	0	1202	1270	0
245	Saarbrücken-Land	SL	158215	147428	2235	2114	145193	145314	75440	71051	61671	61730	0	0	5647	9976	1220	1140	0	110	0	0	1215	1307	0
246	Saarlouis	SL	163155	152277	4084	2335	148193	149942	68606	67381	72065	72125	0	0	5595	8495	948	746	0	121	0	0	979	1074	0
247	Ottweiler	SL	163465	153909	2898	2574	151011	151335	71291	70444	72787	71016	0	0	4812	7744	1249	1053	0	102	0	0	872	976	0
248	St. Ingbert	SL	158851	147919	1994	2308	145925	145611	76479	72701	61431	59983	0	0	6079	10731	993	1062	0	112	0	0	943	1022	0
910	Saarland	SL	797605	740910	13039	10998	727871	729912	367397	349801	320287	316955	0	0	29311	51762	5665	5158	0	587	0	0	5211	5649	0
																									
999	Bundesgebiet ohne Berlin	BUND	41446302	37761589	457810	301839	37303779	37459750	18228239	17175169	13304813	13190837	3620625	3615183	1790513	3129982	146258	113891	7581	24057	1864	3166	194389	207465	9497
