Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	DKP	DKP	EFP	EFP	FSU	FSU	NPD	NPD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																									
33	Osnabrück	NI	201791	185490	1558	1279	183932	184211	89630	84560	85957	84302	0	0	7286	14317	382	301	0	83	0	0	677	648	0
34	Nienburg	NI	177438	158885	1259	1178	157626	157707	70865	68415	71713	71783	0	0	13889	16245	225	191	0	47	0	0	934	1026	0
35	Schaumburg	NI	206017	191650	1518	1365	190132	190285	108031	98499	73718	74574	0	0	7305	16065	415	335	0	94	0	0	663	718	0
36	Hannover I	NI	172523	157049	1423	962	155626	156087	90972	84188	53487	53743	0	0	9890	16983	667	486	0	74	0	0	610	613	0
37	Hannover II	NI	163188	148904	1420	1064	147484	147840	88182	82151	49826	49114	0	0	8390	15507	601	486	0	77	0	0	485	505	0
38	Hannover III	NI	221388	206634	2291	1206	204343	205428	113822	104754	78121	77486	0	0	11074	21954	579	427	0	98	0	0	747	709	0
39	Celle	NI	206289	189199	1696	1168	187503	188031	89283	83856	87681	86520	0	0	8639	15785	481	402	208	184	0	0	1211	1284	0
40	Gifhorn	NI	183948	169206	1897	1395	167309	167811	84303	80958	75749	74425	0	0	6146	11270	394	309	0	71	0	0	717	778	0
41	Hameln – Springe	NI	151321	141467	1221	980	140246	140487	75106	70069	57861	57359	0	0	6289	12046	304	268	0	58	0	0	686	687	0
42	Holzminden	NI	151456	142907	1179	1077	141728	141830	81555	77094	53419	53368	0	0	5953	10508	301	267	0	61	0	0	500	532	0
43	Hildesheim	NI	153979	143478	1586	842	141892	142636	77093	72791	59029	58779	0	0	4871	10163	300	276	0	76	0	0	599	551	0
44	Salzgitter	NI	153314	141471	1275	990	140196	140481	82699	78801	52463	52309	0	0	4138	8473	328	284	0	41	0	0	568	573	0
45	Braunschweig	NI	169972	154416	1750	827	152666	153589	89506	82152	55155	54528	0	0	7025	15880	546	482	0	80	0	0	434	467	0
46	Helmstedt – Wolfsburg	NI	212696	196135	2276	1424	193859	194711	102692	95063	82618	82390	0	0	7238	15901	408	397	0	70	0	0	903	890	0
47	Goslar – Wolfenbüttel	NI	151759	140222	1343	852	138879	139370	77292	70953	56754	56730	0	0	4106	10896	320	257	0	56	0	0	407	478	0
48	Northeim	NI	167378	154314	1762	1038	152552	153276	86807	82432	59021	58286	0	0	5733	11441	342	246	0	75	0	0	649	796	0
49	Göttingen	NI	169595	158226	1332	1216	156894	157010	82415	72777	67154	66564	0	0	6479	16548	315	381	0	79	0	0	531	661	0
903	Niedersachsen	NI	5126515	4684898	46809	32424	4638089	4652474	2389346	2235911	2007358	1988720	0	0	207187	393282	11689	9467	358	2187	83	0	22068	22907	0
													0	0											
50	Bremen-Ost	HB	196346	181560	1680	1241	179880	180319	102803	94987	60277	59003	0	0	14839	24397	1248	1090	0	125	0	0	713	717	0
51	Bremen-West	HB	160466	145433	1521	1121	143912	144312	95796	91278	36304	36490	0	0	9595	14424	1481	1307	0	94	0	0	736	719	0
52	Bremerhaven – Bremen-Nord	HB	184116	165438	1660	1184	163778	164254	102591	97763	48837	48978	0	0	10352	15607	1134	938	0	99	0	0	864	869	0
