Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	DIE LINKE	DIE LINKE	Offensive D	Offensive D	REP	REP	NPD	NPD	Die Tierschutzpartei	Die Tierschutzpartei	GRAUE	GRAUE	PBC	PBC	DIE FRAUEN	DIE FRAUEN	FAMILIE	FAMILIE	BüSo	BüSo	BP	BP	ZENTRUM	ZENTRUM	Deutschland	Deutschland	AGFG	AGFG	APPD	APPD	50Plus	50Plus	MLPD	MLPD	Die PARTEI	Die PARTEI	PSG	PSG	Pro DM	Pro DM	CM	CM	DSU	DSU	HP	HP	HUMANWIRTSCHAFTS- PARTEI	HUMANWIRTSCHAFTS- PARTEI	STATT Partei	STATT Partei	UNABHÄNGIGE	UNABHÄNGIGE	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																								
175	Gießen	6	225883	174567	4174	4090	170393	170477	73793	62080	64468	54529			8976	17023	12205	21076	8081	9887				1357	2870	2269		1327		565								128														65				171																
176	Fulda	6	238580	188829	4624	7209	184205	181620	54765	55453	72048	78943			5238	11041	5653	19172	4989	8815				2524	1967	2778		1503		875								202														88				226															39545	
177	Hochtaunus	6	181959	148635	2886	2596	145749	146039	51838	43215	65756	54583			7409	14373	13207	22741	5614	6655				1091	1925	1370		1091		655								107														42				116																
178	Wetterau	6	242940	191145	4468	4524	186677	186621	80828	64729	78156	64594			7251	17051	7788	23215	7439	9267				1221	4176	3695		1566		797								172														83				231															1039	
179	Rheingau-Taunus - Limburg	6	220619	175769	4154	3505	171615	172264	62690	54870	81513	68569			8924	15110	9347	21553	5502	7013				1060	2256	1737		1319		661								167														45				160															1383	
180	Wiesbaden	6	186409	140838	2616	2417	138222	138421	60916	45173	56861	44485			6395	18431	6005	18441	5473	7127				1439	1919	1283		933		716							653	270														36				87																
181	Hanau	6	239412	188752	4642	4456	184110	184296	79621	63392	77996	64688			6938	16816	7767	21477	8420	10063				2139	3368	2378		1995		910								200														61				177																
182	Main-Taunus	6	193679	161332	2967	2581	158365	158751	50418	43337	80848	63644			11988	15828	8411	26019	4806	5736				958	1894	1198		1061		710								114														35				111																
183	Frankfurt am Main I	6	183183	135863	3059	2502	132804	133361	52850	41413	49510	39377			12650	20739	7603	17205	7783	9357				1044	2408	1636		1328		938								121														108				95																
184	Frankfurt am Main II	6	203726	157455	3192	2607	154263	154848	52063	46265	57539	45133			28925	27117	6591	21432	7188	10029				913	1957	1395		1287		979								111														82				105																
185	Groß-Gerau	6	169776	135836	3240	3007	132596	132829	62419	52132	48321	40054			8100	14261	4957	14182	5736	6824				1440	2475	1760		1155		650	588							109														91				171																
186	Offenbach	6	220625	170268	3953	3379	166315	166889	66517	53436	72653	60127			9325	18135	7990	20946	7193	8578				1275	2637	1848		1364		844								128														65				143																
