Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	DIE LINKE	DIE LINKE	Offensive D	Offensive D	REP	REP	NPD	NPD	Die Tierschutzpartei	Die Tierschutzpartei	GRAUE	GRAUE	PBC	PBC	DIE FRAUEN	DIE FRAUEN	FAMILIE	FAMILIE	BüSo	BüSo	BP	BP	ZENTRUM	ZENTRUM	Deutschland	Deutschland	AGFG	AGFG	APPD	APPD	50Plus	50Plus	MLPD	MLPD	Die PARTEI	Die PARTEI	PSG	PSG	Pro DM	Pro DM	CM	CM	DSU	DSU	HP	HP	HUMANWIRTSCHAFTS- PARTEI	HUMANWIRTSCHAFTS- PARTEI	STATT Partei	STATT Partei	UNABHÄNGIGE	UNABHÄNGIGE	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																								
246	Nürnberg-Süd	9	183616	137634	2346	1997	135288	135637	52523	47925			59510	54367	7411	10144	5433	10285	5320	6595				1031	2968	2358				595	820	569		303		672		74	1303	594												125																				
247	Roth	9	223294	183237	3627	2623	179610	180614	60277	57883			91633	81783	9557	13359	7968	14254	5511	6333				1213	3227	2528				488	1437	871		444		935		72		375												76																				
248	Aschaffenburg	9	182224	144283	3187	2587	141096	141696	37309	37783			73957	66568	16105	11050	6897	14883	4227	4952				2174	2601	1607				435		198		413		1052		92		337												152																				
249	Bad Kissingen	9	220582	175290	3438	2742	171852	172548	41885	37654			98772	91645	10539	9646	7778	15888	7465	8422				2701	4238	3245				441	1175	603		549		1194		86		378												96																				
250	Main-Spessart	9	197707	158422	3172	2585	155250	155837	44689	41828			88171	78161	9202	10339	6103	13297		4906			3390	2718	1821	1680				436	941	478		466		1010		124		310												84																	933			
251	Schweinfurt	9	198245	156430	2979	2448	153451	153982	42937	39889			82989	73981	7797	10252	6483	13320	9848	8178				3290	3397	2037				455		462		500		1044		83		363												128																				
252	Würzburg	9	222087	178409	2626	2138	175783	176271	56719	49232			82915	75419	15157	19701	8636	16938	5736	6821			4444	4176	935	928				614	1241	519		427		982		96		348												70																				
253	Augsburg-Stadt	9	203162	149458	2615	2330	146843	147128	41290	41149			72284	65285	17462	15457	7393	13427	5280	6052				1437	2257	1617				490		353		358		682	877	250		455												116																				
254	Augsburg-Land	9	236590	191577	3051	2161	188526	189416	41804	41717			112956	100308	13159	14067	10866	19169	5007	5537				2374	3468	2351				617		416		491		1190		144		947												88																			1266	
255	Donau-Ries	9	187610	147222	2609	1718	144613	145504	32778	32077			87740	82845	8154	7463	8950	12104	3883	3960				2170	3108	2038				380		311		427		958		80		623												68																				
256	Neu-Ulm	9	232818	179115	3211	2288	175904	176827	43541	41464			99959	91317	11833	11374	10813	17932	5453	5680				1879	4305	3256				610		618		548		1258		137		634												120																				
257	Oberallgäu	9	217158	169643	2240	1713	167403	167930	34349	35163			103030	88875	14162	13712	8943	18144	4707	5030				1747	2212	1404				609		477		463		1425		103		705												73																				
258	Ostallgäu	9	239599	186381	4414	2598	181967	183783	34467	34651			110880	103806	12241	12225	12640	18841	5055	5185				1580	3655	2612				560		674		464		1415		145		1544												81																	2531		498	
909	Bayern	99	9222560	7181842	115273	86536	7066569	7095306	1960561	1806548			3889990	3494309	449976	559941	353503	673817	201865	244701			11985	73619	126059	95196				22380	10947	17482		17425	9287	45396	7027	5501	16047	35543											218	3448											374						5205		23525	
																																																																								
259	Stuttgart I	8	179288	145294	1642	1463	143652	143831	55393	43391	56243	46703			14870	24805	9599	19697	4255	5607				852	987	684			1099	880	583	433				443	279	165														171																			344	
260	Stuttgart II	8	179622	138583	1879	1924	136704	136659	57524	46334	54297	45045			9089	17241	5839	16250	6448	6611				1532	1616	1113			1227	1102		359				624	288	146													376	302																				
261	Böblingen	8	241166	196769	2690	2571	194079	194198	63778	56981	96605	75622			13908	20247	9621	27218	4791	5916				2068	2866	2003				894	2058	1671				1153		129													452	296																				
262	Esslingen	8	163579	133889	1794	1509	132095	132380	51793	41987	61861	50235			8742	15219	4063	15639	3739	4178				2099	1897	979				578		451				758		74														183																				
263	Nürtingen	8	201242	164944	2501	2149	162443	162795	54989	47452	77838	63260			14650	18130	8136	21741	4261	4707				3187	2569	1300				706		1007				1065		86														154																				
264	Göppingen	8	180833	142455	2923	2574	139532	139881	50859	44017	67443	53166			6956	13356	5985	17179	5278	5609				1736	3011	2238				548		728				1036		85														183																				
265	Waiblingen	8	217671	176569	2709	2333	173860	174236	68120	51024	81488	66983			7645	19440	9344	23836	4296	5593				2067	2542	1651				960		1221				1121		130													425	210																				
266	Ludwigsburg	8	203269	165170	2497	2235	162673	162935	55972	52063	75355	59291			14228	17956	7499	21054	5168	5829				1783	2346	1670			2105	1332		794				910		97														156																				
267	Neckar-Zaber	8	218571	179071	3054	2701	176017	176370	60239	56306	81743	66936			11593	16561	12581	22695	4693	5759				2345	3259	2188			1909	1246		992				1093		111														138																				
268	Heilbronn	8	237705	183367	3915	3412	179452	179955	60353	58244	90333	71134			10059	13540	7918	20941	6082	6904				2622	4157	2980				848		994				1357		118													550	273																				
269	Schwäbisch Hall - Hohenlohe	8	220164	165515	3457	3490	162058	162025	51836	48634	75371	64572			11577	14959	11513	18806	5578	5933				2271	3619	2666				608	2564	2008				1286		126														156																				
270	Backnang - Schwäbisch Gmünd	8	175509	136784	2699	2489	134085	134295	46519	41011	65471	55177			9366	12406	6129	14546	4422	4711				1905	2178	1580				641		1144				928		119														127																				
271	Aalen - Heidenheim	8	224632	174933	4322	3578	170611	171355	58375	54873	85134	71995			8794	13017	9146	16892	9162	6771				2891		1699				671		937				1351		109														149																				
272	Karlsruhe-Stadt	8	197356	150150	2609	2336	147541	147814	58201	47399	61000	48557			13478	21778	6288	17804	6333	7333				833	2241	1638				881		469				863		121														138																				
273	Karlsruhe-Land	8	205134	165906	3171	2734	162735	163172	57983	50046	78578	66466			9599	14962	8182	19680	4446	5649				1360	2415	1713				699	1532	1166				1237		109														85																				
274	Rastatt	8	207276	158399	3648	3267	154751	155132	53604	48869	76326	64460			9092	13099	8105	17081	5313	5931				1539	2311	1711				633		530				1083		107														89																				
275	Heidelberg	8	208852	170915	2478	2275	168437	168640	64692	53397	65242	56533			18704	25686	12366	21107	5064	7307				810	2369	1655				745		349				870		89														92																				
276	Mannheim	8	198518	146286	3187	2693	143099	143593	65730	53295	53513	44641			8293	15587	6579	14283	8984	9507				1590		1875				1027		391				1073		147														177																				
277	Odenwald - Tauber	8	216051	168380	4112	3594	164268	164786	49188	45318	88525	77032			8170	11157	6585	17525	5048	5848				1868	3291	2388				569		658			3461	2245		96														82																				
278	Rhein-Neckar	8	193332	155883	3061	2656	152822	153227	56346	47142	72382	60850			8876	14574	6931	18332	5300	6301				1270	2987	2168				626		652				1139		92														81																				
279	Bruchsal - Schwetzingen	8	190693	152375	3562	3200	148813	149175	51873	46173	72516	60845			6503	11271	7210	17619	4776	6075				1764	3012	2177				689		443			2923	1897		97														125																				
280	Pforzheim	8	218955	169442	3439	3076	166003	166366	57135	51706	77861	65153			8992	14023	12296	21025	6439	6676				1922	3280	2083				842		1416				1271		105														144																				
281	Calw	8	198594	153953	2633	2578	151320	151375	45838	40263	74513	65367			8023	12163	11449	19478	4813	4942				2192	3117	2229				661	3567	2646				1204		107														123																				
282	Freiburg	8	205189	165010	2556	2151	162454	162859	73278	50480	55922	48254			17809	37082	6180	14845	6964	8009				763	1427	1068				803		502				809		87														157	874																			
283	Lörrach - Müllheim	8	220779	169552	3411	2806	166141	166746	72553	58577	66109	57872			10474	20989	8070	16674	5116	6372				1630	2300	1491				735	1519	1128				1052		102														124																				
284	Emmendingen - Lahr	8	209138	160982	3793	3521	157189	157461	57250	51187	70646	59587			14050	18349	7380	16140	5419	6213				1223	2444	1708				756		757				1348		123														70																				
285	Offenburg	8	201410	151908	3447	3365	148461	148543	46271	43430	74953	61181			10415	14479	7552	16864	5834	6398				1472	2487	1896				593	949	701				1362		94														73																				
286	Rottweil - Tuttlingen	8	199140	153257	3804	3125	149453	150132	39405	39596	78062	67326			9064	10539	13768	19357		4693				1655	3681	2297				763		1113			5473	2540		161														92																				
287	Schwarzwald-Baar	8	167645	129388	3293	2900	126095	126488	38925	35077	64716	53146			9314	11103	7819	16300		4512				1041	3639	2127				717	1682	1170				1038		99														158																				
288	Konstanz	8	193465	150629	3053	2472	147576	148157	46713	44123	64745	55279			13065	17958	15504	20274	5420	5665				840	2129	1561				720		541				944		129														123																				
289	Waldshut	8	176676	136437	3453	2322	132984	134115	49759	39923	62042	55509			9556	14624	7959	14549		4325				1456	2235	1122				597	1433	815				1012		99														84																				
290	Reutlingen	8	195834	156407	3343	2644	153064	153763	49715	45514	75189	59038			11926	16374	8227	21090	5023	5428				1862	2500	1653				652		802				1020		85													484	245																				
291	Tübingen	8	182904	148011	2661	2386	145350	145625	55513	42318	62391	51392			14219	23612	5446	16382	4759	6209				1864	2147	1390				505		761				938		114														140																			875	
292	Ulm	8	214908	171930	3682	3287	168248	168643	55352	48274	82007	70893			12635	17803	8591	19059	4826	5495				1660	2770	2117				758		846				1384		153														201																			2067	
293	Biberach	8	234130	185041	3836	3673	181205	181368	37112	40503	94968	90358			25445	16115	13058	20373	4259	4926				2929	3488	2096				803		732				2218		212														103																			2875	
294	Ravensburg - Bodensee	8	241595	190892	2927	2683	187965	188209	54825	51389	93285	78961			20304	21791	9988	22937	5396	6182				1544	2430	1657				873	1737	1093				1535		117														130																				
295	Zollernalb - Sigmaringen	8	208368	159441	3942	3298	155499	156143	40184	38518	86282	74266			9091	11096	8706	18563	4583	4981				2531	3100	2073				769		1000			3553	1981		120														245																				
908	Baden-Württemberg	99	7529193	5923917	115183	101470	5808734	5822447	2013195	1754834	2720955	2283085			428574	623091	321612	693835	182288	219105				64976	92847	66644			6340	28430	17624	33420			15410	45188	567	4260													2287	5579	874																		6161	
																																																																								
296	Saarbrücken	10	209832	161396	3305	3302	158091	158094	53035	51231	47057	41846			5576	12517	5266	12502	41428	33021					2434	2823				1323					3072	2614															223	217																				
297	Saarlouis	10	216527	173032	4695	4550	168337	168482	67981	55839	60495	53774			4915	9014	5867	12789	22956	30142					2802	2872				995					3321	2874																183																				
298	St. Wendel	10	187024	153996	5179	4710	148817	149286	56256	50048	55358	50000			4085	6925	5482	10127	20838	25286					2498	2502				951					4300	3307																140																				
299	Homburg	10	205095	161665	4161	4009	157504	157656	63167	54083	51579	45447			4400	9033	5413	11770	24287	28640					3186	3262				1068					5246	4207																146																			226	
910	Saarland	99	818478	650089	17340	16571	632749	633518	240439	211201	214489	191067			18976	37489	22028	47188	109509	117089					10920	11459				4337					15939	13002															223	686																			226	
																																																																								
999	Bundesgebiet		61870711	48044134	850072	756146	47194062	47287988	18129100	16194665	15390950	13136740	3889990	3494309	2538913	3838326	2208531	4648144	3764168	4118194	5401	3338	38678	266101	857777	748568	7341	110603	6340	198601	57027	108605	1327	27497	76064	191842	40984	35649	16047	35543	1297	4010	1473	9643	570	21350	3018	4233		10536	16480	45238	6923	10379		15605		10269	1011		1655		2029		639		496		11703		118130	
