Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	DIE LINKE	DIE LINKE	GRÜNE	GRÜNE	CSU	CSU	PIRATEN	PIRATEN	NPD	NPD	Tierschutzpartei	Tierschutzpartei	REP	REP	ÖDP	ÖDP	FAMILIE	FAMILIE	Bündnis 21/RRP	Bündnis 21/RRP	RENTNER	RENTNER	BP	BP	PBC	PBC	BüSo	BüSo	DIE VIOLETTEN	DIE VIOLETTEN	MLPD	MLPD	Volksabstimmung	Volksabstimmung	PSG	PSG	AfD	AfD	BIG	BIG	pro Deutschland	pro Deutschland	DIE RECHTE	DIE RECHTE	DIE FRAUEN	DIE FRAUEN	FREIE WÄHLER	FREIE WÄHLER	Nichtwähler	Nichtwähler	PARTEI DER VERNUNFT	PARTEI DER VERNUNFT	Die PARTEI	Die PARTEI	B	B	BGD	BGD	DKP	DKP	NEIN!	NEIN!	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																														
913	Mecklenburg-Vorpommern	99	1350705	881718	15974	13975	865744	867743	384607	369048	165660	154431	11891	18968	204479	186871	33232	37716			19783	16563	29218	23735				663																	1036	1166						48885				1693					11713	8004															4125	
																																																																														
151	Nordsachsen	14	168695	112071	2610	1908	109461	110163	49906	49473	22316	16970	2276	2912	23843	22696	3399	3144			2149	2141	5572	4272																		137				104						6762				394						1158																
152	Leipzig I	14	210456	138427	2028	1633	136399	136794	54566	50481	29511	25286	2307	4028	31923	29122	7683	9466			4043	4362	4489	3246																	1877	408				203						8394				489						1309																
153	Leipzig II	14	219865	153935	2075	1748	151860	152187	52077	49553	35515	28778	2237	4583	37750	34302	13732	17075			3914	5897	3096	2207																	1192	349				221						7702				383						1137					2347											
154	Leipzig-Land	14	220400	151537	2797	2332	148740	149205	76273	68348	23542	22681	2890	4292	31865	29716	4905	4899			3199	2905	6066	4513																		172				137						9562				495						1485																
155	Meißen	14	207261	145679	2706	2490	142973	143189	76666	64622	18090	18024	3461	5253	25279	26735	4817	5721			3600	3252	6463	5588																	1618	494				136						10195			2979	1282						1887																
156	Bautzen I	14	223726	155255	3252	3242	152003	152013	74794	69335	17268	18502	3948	4723	32452	30290	3709	4249			3035	3109	7270	6271																		202				146						10811				905					4517	3470															5010	
157	Görlitz	14	223614	152944	3261	2983	149683	149961	74204	66106	22741	18839	2442	4185	29550	29380	5045	5044			3878	3259	8323	6360																	2069	685				172						12331				1023						2577									1431							
158	Sächsische Schweiz - Osterzgebirge	14	207752	147427	2656	2452	144771	144975	72644	66673	15442	15865	2628	4655	27571	24848	4244	5158			2779	2980	9625	7370																	1456	522				112						11417				670					8382	4705																
159	Dresden I	14	233382	173167	2802	2031	170365	171136	72537	68192	25321	26440	3305	5243	42599	32505	10429	13517			5217	6086	5196	3888																	1180	457				179						11814				402					4316	2413															265	
160	Dresden II - Bautzen II	14	235691	173489	3091	2296	170398	171193	71227	66092	25150	23943	3471	5405	32588	31059	16650	16304			7841	7508	5849	4590																	852	400			554	273						11930				439					6216	3250																
161	Mittelsachsen	14	210677	145578	2592	2204	142986	143374	74209	64971	22079	19070	3203	4933	29079	29525	4583	4703			3131	3042	6702	5305																		207				139						8997				634						1848																
162	Chemnitz	14	201249	135876	1701	1348	134175	134528	55909	52380	28101	23558	2724	3865	31992	31014	6475	7168			2808	3298	4661	3135																		170				184						8138				537						1081					1505											
163	Chemnitzer Umland - Erzgebirgskreis II	14	191550	134560	3115	2125	131445	132435	65157	59939	20517	19178	3006	3594	28783	26434	4874	4282			2903	2522	6205	4307																		158				121						9636				504						1760																
164	Erzgebirgskreis I	14	232499	161718	3800	2968	157918	158750	79318	73098	19143	20114	10246	5828	32472	30741	5051	3964			3263	3008	8425	6398																		183				133						12119				613						2551																
165	Zwickau	14	217679	148305	2723	2251	145582	146054	64857	64872	23033	21686	3996	3924	35847	31061	4334	4653			2744	2589	5918	4664																	1030	384				175						8878				478					3823	2690																
166	Vogtlandkreis	14	201934	138790	2656	2095	136134	136695	65743	60466	28172	21885	3533	3836	26707	27617	3540	4569			2746	2603	5693	4322																		148				129						9095				488						1537																
914	Sachsen	99	3406430	2368758	43865	36106	2324893	2332652	1080087	994601	375941	340819	55673	71259	500300	467045	103470	113916			57250	58561	99553	76436																	11274	5076			554	2564						157781			2979	9736					27254	34858					3852				1431						5275	
																																																																														
66	Altmark	15	172378	107895	1857	1678	106038	106217	44686	44655	18616	20196	1489	2278	32164	26180	2998	3542			2541	1997	2613	2227						147																141						3826				306					931	722																
67	Börde - Jerichower Land	15	228139	141814	2976	2488	138838	139326	61890	60207	32118	27279	3686	3995	29759	30235	3611	4281			4224	2556		2903						232																170						5380				458					2854	1630															696	
68	Harz	15	224917	132539	2595	2340	129944	130199	59779	56619	24875	24407	1852	2961	29860	29875	4928	4716			2556	2255	3304	2651	1679					293																136						4924				433					1111	929																
69	Magdeburg	15	244267	154404	2836	2378	151568	152026	55046	56982	38153	31763	2090	3687	38231	36473	6073	8490			4153	3654	2786	2272	2758					348															403	280						6355				466					1875	1256																
70	Dessau - Wittenberg	15	185954	120805	1836	1758	118969	119047	53048	50633	20545	20354	1489	2892	26015	27136	5196	4703			2053	2160	2814	2799						145																120					5575	6050				327					2234	1728																
71	Anhalt	15	236732	140667	2714	2498	137953	138169	56514	57357	21244	23224	2778	3556	39715	35425	2884	3572			1720	2200	3450	3516						164															389	283					6314	6635				389					2945	1848																
72	Halle	15	219667	143332	2185	2042	141147	141290	51206	53265	32957	25259	2958	4418	36006	34449	5286	10185			2898	3599	1987	2134						297															449	317					4768	5879				341					1307	1147															1325	
73	Burgenland - Saalekreis	15	201043	123809	2170	1962	121639	121847	54544	52194	18791	19850	1879	3374	31300	28933	4760	3732			2488	2097	4854	3920						192																151						5234				475					2581	1695															442	
74	Mansfeld	15	217783	132983	2572	2289	130411	130694	54705	53869	23560	22399	2458	3837	35982	33613	3193	3637			3123	2235	4277	3478						160																200						5378				485					2232	1403															881	
915	Sachsen-Anhalt	99	1930880	1198248	21741	19433	1176507	1178815	491418	485781	230859	214731	20679	30998	299032	282319	38929	46858			25756	22753	26085	25900	4437					1978															1241	1798					16657	49661				3680					18070	12358															3344	
																																																																														
189	Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I	16	196621	134013	2008	1858	132005	132155	65784	59234	21826	20182	1825	3661	26091	26322	4129	5293			2702	2366	4371	3767				199	2671	1646																103						6995									2606	2387																
190	Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II	16	192663	129904	2312	1989	127592	127915	55220	51442	23564	21731	1927	3123	30220	28787	4129	5121			3450	2682	5969	5144				254		616																199						6307									3113	2509																
191	Kyffhäuserkreis - Sömmerda - Weimarer Land I	16	191261	127906	2487	2283	125419	125623	54350	49099	21469	19365	2253	3672	33239	30821	3948	4734			4551	3071	5609	4645				302		655																146						7199										1914																
192	Gotha - Ilm-Kreis	16	205859	141461	2388	2369	139073	139092	51861	53196	34726	23815	1879	3280	28015	30758	4117	6414			3656	3566	4689	4416				343		734																182					8063	10309									2067	2079																
193	Erfurt - Weimar - Weimarer Land II	16	224121	156367	2689	2261	153678	154106	56992	53123	36694	27159	1781	4015	35917	35421	9151	13125			5670	4849	4774	3554				267		1005																248						9328									2699	2012																
194	Gera - Jena - Saale-Holzland-Kreis	16	238320	168091	2570	2512	165521	165579	59731	57690	30310	26279	2755	4653	44657	42367	7863	11435			3958	4669	4225	4365				300	1189	1093																241					9126	10988									1356	1499			351													
195	Greiz - Altenburger Land	16	170746	115990	2289	2117	113701	113873	51013	47580	15873	16213	1791	3032	27627	26173	3211	3842			3207	2462	4187	3876				282		591																122					6792	8523										1177																
196	Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis	16	218597	147040	3177	2384	143863	144656	59153	54859	28521	23002	3279	3552	37908	35819	5674	5442				3231	7440	5292				343		895															835	349						9807										2065															1053	
197	Suhl - Schmalkalden-Meiningen - Hildburghausen	16	196071	130631	2099	1937	128532	128694	53979	51060	23519	20968	1792	3113	35147	32147	3704	5105			3586	2603	4772	4048				303		665																154						6557									2033	1971																
916	Thüringen	99	1834259	1251403	22019	19710	1229384	1231693	508083	477283	236502	198714	19282	32101	298821	288615	45926	60511			30780	29499	46036	39107				2593	3860	7900															835	1744					23981	76013									13874	17613			351												1053	
																																																																														
999	Bundesgebiet		61946900	44309925	684883	583069	43625042	43726856	16233642	14921877	12843458	11252215	1028645	2083533	3585178	3755699	3180299	3694057	3544079	3243569	963623	959177	635135	560828	4437	140366	27299	91193	128209	127088	4478	7449	5324	8578	920	25134	28430	57395	2081	18542	17988	12814	2516	8211	12904	24219	1748	28654		4564	810915	2056985	2680	17743	4815	73854		2245		12148	431640	423977		11349	3861	24719	39388	78674	624		1431		1699		290		77306	
