Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	PDS	PDS	Deutschland	Deutschland	APPD	APPD	APD	APD	BP	BP	BüSo	BüSo	BFB	BFB	CHANCE 2000	CHANCE 2000	CM	CM	DPD	DPD	DVU	GRAUE	GRAUE	REP	REP	FAMILIE	FAMILIE	DIE FRAUEN	DIE FRAUEN	HP	HP	Pro DM	MLPD	MLPD	Tierschutz	Tierschutz	NPD	NPD	NATURGESETZ	NATURGESETZ	FORUM	FORUM	ödp	ödp	PBC	PBC	AB 2000	AB 2000	Nichtwähler	PASS	PASS	PSG	DKP	DSU	ZENTRUM	DMP	FP Deutschl.	FSU	STATT Partei	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																																																														
55	Heinsberg	905	175607	147902	2910	2449	144992	145453	58308	57707	71352	64138	0	0	8134	7555	3895	9375	0	1112	0	104	0	162	0	0	0	0	0	16	0	72	0	64	0	69	0	0	1046	604	420	2174	1587	0	428	0	35	0	0	630	0	8	0	383	0	108	525	180	0	0	0	56	0	86	0	0	91	0	0	21	0	0	0	0	0	0	0	0
56	Düren	905	192156	162257	2238	1785	160019	160472	75330	72777	69471	62386	0	0	5827	8118	4901	10193	1415	1644	0	85	0	106	0	0	0	0	0	23	0	75	0	87	0	58	0	0	967	699	451	1637	1320	739	457	0	87	0	0	629	0	7	0	455	0	139	0	59	0	0	0	68	0	140	0	0	126	0	0	15	0	0	0	0	0	0	0	0
57	Erftkreis I	905	231086	196653	2180	1986	194473	194667	103116	93908	74753	66679	0	0	7597	11224	4507	14056	1512	1861	0	83	0	107	0	0	0	0	0	20	0	110	0	71	0	62	0	0	1714	985	831	2003	1631	0	285	0	88	0	0	768	0	14	0	539	0	218	0	65	0	0	0	64	0	106	0	0	134	0	0	29	0	0	0	0	0	0	0	0
58	Euskirchen - Erftkreis II	905	232638	194989	3082	2496	191907	192493	83010	77655	89726	77737	0	0	8233	11646	6807	16622	0	1770	0	79	0	132	0	0	0	0	666	152	0	148	0	118	0	84	0	0	1316	866	572	2599	1904	0	326	0	137	0	0	820	0	14	0	526	0	161	0	72	0	0	0	112	0	150	0	0	210	0	0	30	0	0	0	0	0	0	0	0
59	Köln I	905	157425	128592	1534	1046	127058	127546	63506	55969	39341	34367	0	0	16196	20385	3644	9288	1830	2419	0	53	0	137	0	0	0	0	0	14	0	65	0	195	0	50	0	0	1347	895	635	1646	1024	0	163	0	97	0	0	491	0	15	0	325	0	113	0	55	0	0	0	33	0	99	0	0	193	0	0	14	0	0	0	0	0	0	0	0
60	Köln II	905	161360	136887	1261	903	135626	135984	60324	50440	56456	46574	0	0	10094	17285	5337	15790	1054	1834	0	45	0	65	0	0	0	0	0	9	430	133	0	121	0	44	0	0	847	689	513	1242	789	0	134	0	78	0	0	470	0	11	0	338	0	94	0	41	0	0	0	64	0	93	0	0	154	0	0	18	0	0	0	0	0	0	0	0
61	Köln III	905	183649	146967	2259	1515	144708	145452	75397	69460	45296	40593	0	0	14184	17205	3848	9183	1799	2426	0	68	0	122	0	0	0	0	0	15	0	111	0	134	0	82	0	0	1572	1096	760	2224	1654	0	218	0	115	230	0	568	0	11	0	358	634	378	0	65	0	0	0	71	0	83	0	0	169	0	0	31	0	0	0	0	0	0	0	0
62	Köln IV	905	159690	126873	2084	1358	124789	125515	67927	62151	40275	35635	0	0	7561	11695	3345	8020	1623	1951	0	78	0	85	0	0	0	0	0	12	0	81	0	73	0	60	0	0	1604	828	648	1919	1434	0	182	0	74	131	0	596	242	82	0	297	578	362	0	55	0	0	250	85	0	118	0	0	111	0	0	26	0	0	0	0	0	0	0	110
63	Bonn	905	217218	185582	2403	1950	183179	183632	74845	64933	78490	67096	0	0	13692	21625	11945	21213	0	2821	0	70	0	190	0	0	0	0	213	82	747	424	0	96	0	63	0	0	973	891	627	1820	1278	0	268	0	88	0	0	585	0	14	0	456	0	135	0	75	0	0	0	158	294	201	0	0	155	0	0	6	0	0	0	0	0	0	0	242
64	Rhein-Sieg-Kreis I	905	212536	180492	2046	1864	178446	178628	79542	72838	79323	68987	0	0	9146	12533	5134	15765	1514	2088	652	300	0	137	0	0	0	0	0	33	0	119	0	64	0	56	0	0	1212	856	623	1427	1276	0	293	0	40	0	0	709	0	13	0	592	540	348	0	81	0	0	0	110	312	280	0	0	122	0	0	9	0	0	0	0	0	0	0	0
65	Rhein-Sieg-Kreis II	905	197226	171494	2085	1817	169409	169677	70508	59251	82591	70735	0	0	6245	12946	6156	19677	1080	1689	390	181	0	131	0	0	0	0	0	37	0	255	0	74	0	59	0	0	852	546	463	1257	1098	0	266	0	68	0	0	612	0	10	0	466	349	235	0	63	0	0	287	162	0	176	0	0	157	0	0	14	0	0	0	0	0	0	0	0
66	Oberbergischer Kreis	905	205296	173614	2418	1898	171196	171716	76924	70643	76565	68410	0	0	7857	10295	6147	13487	0	1579	0	118	0	123	0	0	0	0	0	31	0	118	0	60	0	108	0	0	1965	949	602	2370	1475	0	380	0	54	0	0	849	0	11	0	514	0	143	0	73	0	0	384	191	0	375	0	0	104	0	0	8	0	0	0	0	0	0	0	0
67	Rheinisch-Bergischer Kreis I	905	172175	149081	1418	1148	147663	147933	61723	55879	68191	56056	0	0	8051	12261	5946	16621	1157	1551	0	60	0	142	0	0	0	0	0	30	0	101	0	82	0	61	0	0	1024	839	649	1756	1312	0	259	0	58	0	0	696	0	6	0	406	0	125	0	69	0	0	0	102	0	239	0	0	130	0	0	14	0	0	0	0	0	0	0	0
68	Leverkusen - Rheinisch-Bergischer Kreis II	905	151209	127212	1665	1249	125547	125963	62163	58907	48666	41989	0	0	6894	8623	4119	10196	1381	1535	0	105	0	100	0	0	0	0	0	65	0	118	0	62	0	54	0	0	788	695	455	1629	1425	0	271	0	52	0	0	440	0	31	0	350	0	101	0	60	0	0	0	48	0	88	0	0	86	0	0	14	0	0	0	0	0	0	0	0
69	Wuppertal I	905	137633	114310	1328	1091	112982	113219	59999	51892	38162	33268	0	0	6054	10470	4518	10212	1468	2041	0	66	0	104	0	0	0	0	0	23	0	83	0	114	0	55	0	0	1353	458	286	1858	1465	0	224	0	68	0	0	640	0	30	0	341	0	154	0	42	0	0	0	40	0	161	0	0	79	0	0	8	0	0	0	0	0	0	0	465
70	Wuppertal II	905	126917	103485	1352	1060	102133	102425	56423	50424	33654	29184	0	0	4538	7541	3557	8088	1505	1663	0	66	0	99	0	0	0	0	0	16	0	69	0	83	0	47	0	0	1394	504	321	1952	1561	0	252	0	58	0	0	663	0	17	0	381	0	128	0	43	0	0	0	42	0	202	0	0	81	0	0	2	0	0	0	0	0	0	0	0
71	Solingen - Remscheid	905	201795	165422	2022	1690	163400	163732	81392	73890	65288	53150	0	0	6292	10239	5646	15500	0	2352	0	123	0	119	0	0	0	0	0	50	0	197	0	111	0	66	0	0	2554	902	615	3110	2056	0	404	0	94	0	0	976	220	48	0	514	0	136	0	56	0	0	550	202	0	165	0	0	100	0	0	15	0	0	0	0	0	0	0	0
72	Mettmann I	905	201821	171283	2008	1495	169275	169788	77785	73292	73295	60112	0	0	8024	10666	5235	16735	1720	2130	0	61	0	137	0	0	0	0	0	36	0	148	0	111	0	74	0	0	1469	1018	767	2198	1719	0	364	0	126	0	0	756	0	16	0	404	0	221	0	52	0	0	0	99	0	134	0	0	144	0	0	15	0	0	0	0	0	0	0	0
73	Mettmann II	905	170641	145835	1733	1358	144102	144477	67456	66782	63036	48367	0	0	5526	8466	3938	13128	1570	1766	0	64	0	109	0	0	0	0	0	29	0	115	0	98	0	83	0	0	1492	707	484	1869	1488	0	263	0	103	0	0	668	0	24	0	346	0	190	0	50	0	0	0	60	0	150	0	0	145	0	0	7	0	0	0	0	0	0	0	0
74	Düsseldorf I	905	217709	179073	1740	1480	177333	177593	79224	72031	75245	61282	0	0	9908	15405	6092	19263	1970	2815	0	85	0	160	0	0	0	0	184	75	0	169	0	149	0	60	0	0	1468	1465	889	2259	1495	0	267	0	105	0	0	794	95	36	0	454	0	143	467	161	0	0	0	73	0	72	0	0	125	0	0	17	0	0	0	0	0	0	0	424
75	Düsseldorf II	905	196292	158294	1864	1547	156430	156747	78636	73042	54365	48985	0	0	9418	13057	4192	11501	2046	2828	0	84	0	156	0	0	0	0	250	81	0	134	0	145	0	62	0	0	1779	1251	950	2609	1691	0	314	0	119	0	0	762	0	30	0	456	0	195	0	80	0	0	0	72	0	95	0	0	111	0	0	18	0	0	0	0	0	0	0	3663
76	Neuss I	905	151921	126778	1471	1271	125307	125507	55550	51922	57558	49948	0	0	4766	7109	3307	10074	1209	1383	0	88	0	106	0	0	0	0	0	18	0	87	0	63	0	66	0	0	1036	0	467	1703	1354	0	332	0	51	0	0	672	0	6	0	338	0	117	0	63	0	0	0	74	0	36	0	0	87	0	0	10	0	0	1214	0	0	0	0	0
77	Neuss II	905	169627	145862	1537	1255	144325	144607	60157	55808	69420	58748	0	0	6368	8055	5434	15426	1180	1350	0	73	0	107	0	0	0	0	0	21	0	126	0	75	0	48	0	0	1041	0	483	1524	1096	0	395	0	48	0	0	821	0	9	0	384	0	137	0	73	0	0	0	49	0	71	0	0	145	0	0	18	0	0	242	0	0	0	0	0
78	Mönchengladbach	905	196587	154300	2204	1773	152096	152527	72516	64839	62536	56992	0	0	7438	9888	6112	12760	0	1700	0	88	0	113	0	0	0	0	0	31	0	84	0	91	0	55	0	0	1315	931	597	1984	1418	0	375	0	96	0	0	933	0	17	0	511	0	137	579	177	0	0	0	90	0	87	0	0	115	0	0	18	0	0	0	0	0	0	0	0
79	Krefeld	905	168482	135952	1727	1396	134225	134556	61315	61262	60056	47900	0	0	6181	8664	2552	10235	1131	1523	0	39	0	112	0	0	0	0	0	15	0	65	0	66	0	50	0	0	967	1137	904	1543	1116	0	232	0	39	0	0	630	0	30	0	255	0	156	310	87	0	0	0	36	0	76	0	0	85	0	0	12	0	0	0	0	0	0	0	0
80	Viersen	905	216060	180195	2157	1798	178038	178397	79136	73392	79390	69216	0	0	8892	11138	6567	16809	1503	1702	0	92	0	166	0	0	0	0	0	25	0	91	0	86	0	63	0	0	1374	0	556	1801	1156	0	453	0	63	0	0	934	0	5	0	547	0	102	749	188	0	0	0	51	0	78	0	0	97	0	0	13	0	0	0	0	0	0	0	0
81	Kleve	905	211060	176895	2601	1918	174294	174977	75176	70338	82477	76209	0	0	6945	9083	6200	13165	1278	1367	0	52	0	114	0	0	0	0	0	18	0	70	0	112	0	74	0	0	907	645	481	1348	953	0	296	0	76	0	0	685	0	8	0	323	0	142	0	46	0	0	0	205	225	117	0	0	113	0	0	23	0	0	0	0	0	0	0	0
82	Wesel I	905	181353	153691	1502	1206	152189	152485	87981	79923	51021	46195	0	0	6832	9613	4068	10179	0	1552	0	122	0	160	0	0	0	0	0	18	0	93	0	84	0	29	0	0	1139	526	369	1761	1269	0	286	0	67	0	0	683	0	12	0	338	0	123	0	52	0	0	0	38	0	53	0	0	76	0	0	12	0	0	0	0	0	0	0	0
83	Wesel II	905	164512	139300	1825	1343	137475	137957	79089	75669	44124	39314	0	0	7723	8361	3832	7815	0	1488	0	143	0	119	0	0	0	0	0	29	0	186	0	66	0	40	0	0	1146	828	543	1879	1380	0	256	0	51	0	0	600	0	34	0	313	0	173	0	40	0	0	0	36	0	68	0	0	76	0	0	11	0	0	0	0	0	0	0	0
84	Duisburg I	905	194873	162409	1837	1632	160572	160777	97996	92480	43241	38474	0	0	8793	11365	3010	7817	2144	2773	0	102	0	150	0	0	0	0	241	52	0	85	0	106	221	92	0	0	2046	935	665	3545	2345	0	267	0	81	0	0	791	446	163	0	414	0	193	0	52	0	0	0	51	0	73	0	0	85	0	0	55	0	0	0	0	0	0	0	0
85	Duisburg II	905	172116	135719	1851	1878	133868	133841	88901	84149	31037	27971	0	0	4637	6493	2182	4770	1952	2237	0	102	0	106	0	0	0	0	166	39	0	79	0	78	0	58	0	0	2740	777	520	4059	2520	0	255	0	50	0	0	722	157	81	0	369	0	230	0	55	0	0	0	19	0	47	0	0	79	0	0	72	0	0	0	0	0	0	0	0
86	Oberhausen	905	164266	134167	2136	1388	132031	132779	86232	82400	32489	30520	0	0	7235	7736	2726	4902	0	1666	0	69	0	122	0	0	0	0	0	10	0	58	0	106	0	45	0	0	1377	766	450	2305	1505	0	202	0	65	0	0	675	278	53	0	384	0	204	0	39	0	0	0	79	0	40	0	0	62	0	0	10	0	0	0	0	0	0	0	0
87	Mülheim	905	134026	114455	1795	1337	112660	113118	64761	62570	34925	30404	0	0	6618	6877	4210	8141	0	1338	0	40	0	77	0	0	0	0	0	13	0	128	0	79	0	33	0	0	766	705	428	1441	933	0	154	0	52	0	0	444	0	36	0	235	0	135	0	34	0	0	0	45	0	89	0	0	61	0	0	6	0	0	0	0	0	0	0	0
88	Essen I	905	147450	120255	1503	1220	118752	119035	70112	68067	33661	29587	0	0	7805	8724	2255	5624	1735	1877	0	39	0	89	0	0	0	0	0	11	0	49	0	66	0	50	0	0	1212	897	563	2079	1288	0	207	0	86	0	0	588	208	89	0	445	0	140	0	43	0	0	0	31	0	96	0	0	48	0	0	16	0	0	0	0	0	0	0	0
89	Essen II	905	134116	105723	1221	1196	104502	104527	68231	64935	25399	23234	0	0	4615	5566	1622	3715	1422	1695	0	58	0	76	0	0	0	0	0	19	0	38	0	64	0	41	0	0	1509	588	429	2487	1706	0	182	0	45	0	0	549	138	53	0	320	0	140	0	29	0	0	0	20	0	43	0	0	54	0	0	7	0	0	0	0	0	0	0	0
90	Essen III	905	179408	151924	1336	1119	150588	150805	75146	70044	56983	47278	0	0	9990	13390	3912	12606	1773	2249	0	36	0	104	0	0	0	0	0	17	0	83	0	104	0	56	0	0	1307	931	553	1853	1154	0	198	0	69	0	0	682	0	23	0	404	0	133	0	44	0	0	0	73	0	98	0	0	85	0	0	15	0	0	0	0	0	0	0	0
91	Recklinghausen I	905	178336	149256	1663	1453	147593	147803	86852	84219	44409	39431	0	0	7866	8773	3045	7267	1830	1932	0	98	0	116	0	0	0	0	0	12	0	70	0	66	0	55	0	0	1875	664	401	2253	1482	0	268	0	52	0	0	880	0	28	0	330	0	190	0	43	0	0	0	50	0	71	0	0	82	0	0	12	0	0	0	0	0	0	0	674
92	Recklinghausen II- Borken I	905	230501	196428	2056	1767	194372	194661	105225	102560	69279	61252	0	0	9438	10467	3915	10265	2183	2217	0	108	0	146	0	0	0	0	0	34	0	74	0	85	0	78	0	0	2179	783	500	2995	1877	0	411	0	53	0	0	1283	0	15	0	467	0	190	0	73	0	0	554	150	0	88	0	0	71	0	0	18	0	0	0	0	0	0	0	0
93	Gelsenkirchen I	905	136007	108093	1835	1266	106258	106827	69479	67509	24834	22617	0	0	4816	5299	1653	3549	1566	1781	0	50	0	94	0	0	0	0	0	11	0	48	0	50	0	44	0	0	1671	522	323	3001	1986	0	213	0	28	0	0	655	387	215	0	367	0	163	0	29	0	0	0	20	0	68	0	0	30	0	0	7	0	0	0	0	0	0	0	0
94	Gelsenkirchen II - Recklinghausen III	905	130783	108979	1621	1171	107358	107808	67594	65763	28340	25865	0	0	4666	5222	2081	4269	1426	1426	0	50	0	70	0	0	0	0	0	21	0	50	0	51	0	48	0	0	1179	539	374	2555	1882	0	200	0	35	0	0	580	157	63	0	334	0	138	0	31	0	0	0	25	0	85	0	0	40	0	0	7	0	0	0	0	0	0	0	0
95	Bottrop - Recklinghausen IV	905	136471	116158	1379	1042	114779	115116	72500	69222	32148	29423	0	0	4096	5737	1785	4585	1579	1521	0	61	0	85	0	0	0	0	0	11	0	27	0	32	0	37	0	0	1073	0	215	2019	1608	0	178	0	46	0	0	521	0	17	0	264	0	97	0	25	0	0	652	221	0	39	0	0	59	0	0	12	0	0	0	0	0	0	0	0
96	Borken II	905	227754	193089	1845	1754	191244	191335	78949	74400	95998	86734	0	0	9057	11421	4139	13010	909	1148	0	58	0	134	0	0	0	0	0	9	0	40	0	74	0	124	0	0	743	507	307	1254	965	0	352	0	47	0	0	927	0	6	0	341	0	125	0	57	0	0	431	157	0	73	0	0	73	0	0	10	0	0	0	0	0	0	0	0
97	Coesfeld - Steinfurt I	905	234217	203700	1923	1722	201777	201978	83908	77481	98949	87428	0	0	8933	13930	5833	16249	0	1517	0	78	0	138	0	0	0	0	0	15	0	68	0	92	246	139	0	0	923	567	352	1600	1065	0	447	0	74	0	0	972	0	10	0	384	0	195	0	58	0	0	433	206	0	57	0	0	81	0	0	19	0	0	0	1308	0	0	0	0
98	Steinfurt II	905	233877	199869	2375	2051	197494	197818	99261	92186	82342	72552	0	0	7983	11999	5421	14135	0	1536	0	70	0	209	0	0	0	0	0	15	0	92	0	53	0	73	0	0	924	643	326	1844	1312	0	360	0	69	0	0	1013	0	9	0	322	0	234	0	65	0	0	0	77	0	100	0	0	64	0	0	23	0	0	0	0	0	0	0	0
99	Münster	905	200200	173696	1286	1136	172410	172560	72145	62741	76231	60657	0	0	14474	23488	5405	19249	1680	2537	0	55	0	122	0	0	0	0	0	10	0	83	0	109	0	73	0	0	640	417	366	849	650	0	174	318	74	0	0	716	0	9	0	244	0	109	214	89	0	0	355	239	0	35	0	0	78	0	0	13	0	0	0	0	0	0	0	322
100	Warendorf	905	200813	174366	2538	2165	171828	172201	72126	71426	80610	70015	0	0	7541	9570	7727	14476	1368	1565	0	75	0	102	0	0	0	0	0	17	0	57	0	50	250	157	0	0	1193	0	275	1719	1297	0	327	487	152	0	0	688	0	14	0	361	0	109	0	50	0	0	0	94	0	35	0	0	90	0	0	6	0	0	0	0	0	0	0	0
101	Gütersloh	905	236193	201054	2871	2372	198183	198682	86138	81191	91250	79325	0	0	9175	12940	5888	15806	1601	1912	0	141	0	160	0	0	0	0	0	28	0	250	0	86	273	179	0	0	1646	795	561	2495	1844	0	464	0	68	0	0	934	0	5	0	420	0	234	0	61	0	0	568	207	0	106	0	0	98	0	0	16	0	0	0	0	0	0	0	0
102	Bielefeld	905	243952	208194	2578	2303	205616	205891	103139	92339	76022	64801	0	0	14535	21777	5294	14874	2654	3749	0	94	0	175	0	0	0	0	0	21	0	384	0	122	0	114	0	0	2045	903	618	2599	1764	0	389	0	93	0	0	1047	0	21	0	445	0	272	0	89	0	0	470	168	0	338	0	0	136	0	0	16	0	0	0	0	0	0	0	0
103	Herford - Minden-Lübbecke I	905	199876	170158	3309	2466	166849	167692	88523	81897	64274	56945	0	0	6043	9302	4588	10782	0	1773	0	129	0	120	0	0	0	0	0	21	0	176	0	109	0	65	0	0	1734	611	356	2434	1647	0	318	0	54	0	0	1029	0	18	0	382	0	196	0	60	0	0	376	123	0	333	0	0	107	0	0	16	0	0	0	0	0	0	0	0
104	Minden-Lübbecke II	905	235847	197322	2984	2508	194338	194814	102735	94294	73007	65639	0	0	7199	11006	6419	14086	0	1862	0	140	0	166	0	0	0	0	0	28	617	324	0	80	0	90	0	0	1739	658	405	2697	1789	0	288	0	60	0	0	1094	0	12	0	393	0	210	0	53	0	0	288	173	718	769	0	0	98	0	0	16	0	0	0	0	0	0	0	0
105	Lippe I	905	173949	148686	2064	1862	146622	146824	76572	72447	54021	47138	0	0	5586	8334	5790	11407	1320	1511	0	82	0	101	0	0	0	0	0	25	930	475	0	56	0	127	0	0	1493	0	262	2052	1183	0	254	0	66	0	0	714	0	3	0	283	0	166	0	52	0	0	351	149	0	413	0	0	77	0	0	6	0	0	0	0	0	0	0	0
106	Höxter - Lippe II	905	216425	184849	2637	2407	182212	182442	77591	74376	85954	76157	0	0	7080	9713	5121	13364	1533	1646	0	114	0	136	0	0	0	0	0	27	585	333	0	69	0	121	0	0	1697	457	315	2320	1610	670	481	0	53	0	0	959	0	7	0	326	0	208	290	91	0	0	611	326	0	216	0	0	80	0	0	17	0	0	0	0	0	0	0	0
107	Paderborn	905	205311	172520	2610	2069	169910	170451	57482	55505	91530	84916	0	0	9849	9296	6061	12403	0	1371	0	102	0	139	0	0	0	0	0	16	831	396	0	74	0	155	0	0	1189	0	317	2588	2063	884	558	0	41	0	0	769	0	13	0	334	0	152	345	123	0	0	340	175	0	238	0	0	96	0	0	10	0	0	0	0	0	0	0	0
108	Hagen	905	150667	122771	1456	1274	121315	121497	67854	63406	39798	35641	0	0	4343	6668	3238	7498	1377	1508	0	56	0	87	0	0	0	0	0	9	1350	400	0	44	0	55	0	0	1333	0	282	3266	2567	0	276	0	39	0	0	727	89	48	0	398	0	163	0	59	0	0	0	57	0	105	0	0	55	0	0	16	0	0	0	0	0	0	0	0
109	Ennepe-Ruhr-Kreis I	905	188051	162063	1898	1497	160165	160566	91414	85000	52021	44741	0	0	8624	10822	4268	11310	0	1717	0	79	0	98	0	0	0	0	0	15	0	106	0	85	0	75	0	0	1505	935	436	2903	2088	0	320	0	58	0	0	877	0	33	0	529	0	190	0	78	0	0	0	51	0	251	0	0	81	0	0	21	0	0	0	0	0	0	0	0
110	Bochum I	905	185163	156208	1686	1388	154522	154820	93768	90477	43017	36943	0	0	9985	11977	2741	6981	2083	2221	0	50	0	165	0	0	0	0	0	27	0	87	0	125	0	70	0	0	1295	0	457	2658	1789	0	275	0	71	0	0	802	270	47	0	463	0	225	0	58	0	0	0	60	0	64	0	0	74	0	0	17	0	0	0	0	0	0	0	0
111	Bochum II - Ennepe-Ruhr-Kreis II	905	179427	151834	1781	1430	150053	150404	89934	86682	41325	35132	0	0	9966	12465	3345	7927	1872	2183	0	72	0	154	0	0	0	0	0	16	0	62	0	110	0	71	0	0	1187	0	383	2527	1723	0	261	0	66	0	0	804	154	76	0	475	0	171	0	53	0	0	367	107	0	103	0	0	91	0	0	30	175	0	0	0	0	0	0	388
112	Herne - Bochum III	905	135335	111831	1257	1081	110574	110750	72475	69830	27068	23845	0	0	4639	5846	1558	3904	1787	1727	0	66	0	78	0	0	0	0	0	11	0	37	0	59	0	40	0	0	933	0	242	2901	2472	0	223	0	34	0	0	678	146	59	0	287	0	195	0	42	0	0	0	24	0	60	0	0	49	0	0	9	0	0	0	0	0	0	0	0
113	Dortmund I	905	133665	108114	1459	1154	106655	106960	60417	58461	27991	24808	0	0	9136	11056	2142	5024	3467	2272	0	54	0	126	0	0	0	0	0	13	0	58	0	95	0	38	0	0	1543	678	457	2216	1428	0	136	0	40	0	0	597	239	95	0	248	0	154	369	112	0	0	0	48	0	36	0	0	55	0	0	6	0	0	0	0	0	0	0	0
114	Dortmund II	905	131460	108985	1507	1229	107478	107756	68283	66787	27762	24662	0	0	4657	5337	1721	4083	1468	1549	0	58	0	68	0	0	0	0	121	50	0	39	0	43	0	40	0	0	1430	555	374	2626	1809	0	174	0	38	0	0	645	0	18	0	205	0	164	285	88	0	0	0	26	0	21	0	0	40	0	0	8	0	0	0	0	0	0	0	0
115	Dortmund III	905	164873	140204	1614	1206	138590	138998	79782	75335	41095	36207	0	0	8121	10866	4208	9113	2043	1967	0	63	0	98	0	0	0	0	0	24	0	66	0	69	0	46	0	0	1429	739	507	2195	1408	0	151	0	50	0	0	808	0	39	0	284	0	179	407	106	0	0	0	43	0	57	0	0	72	0	0	11	0	0	0	0	0	0	0	0
116	Unna I	905	202058	174429	1990	1953	172439	172476	102301	98169	49639	43962	0	0	10787	11140	4441	10065	1751	2067	0	102	0	116	0	0	0	0	0	33	0	107	0	77	0	93	0	0	1703	0	437	2921	2082	0	348	0	35	0	0	1020	0	24	0	401	0	175	599	144	0	0	0	49	0	54	0	0	58	0	0	15	0	0	0	0	0	0	0	0
117	Hamm - Unna II	905	239662	200044	2965	2399	197079	197645	109256	105669	71235	62601	0	0	6565	9150	4494	9678	2335	2303	0	197	0	136	0	0	0	0	0	52	0	80	0	73	0	76	0	0	2348	0	396	2747	2111	0	434	0	71	0	0	1254	0	9	0	447	0	218	0	80	0	0	0	49	0	102	0	0	95	0	0	16	0	0	0	0	0	0	447	0
118	Soest	905	222469	188036	2199	2205	185837	185831	84473	80147	82515	71474	0	0	8067	10380	6231	14519	0	1759	0	95	0	153	0	0	0	0	0	23	0	77	0	109	551	276	0	0	1835	859	517	2583	1572	0	456	0	100	0	0	1309	0	6	0	413	0	175	558	157	0	0	0	93	0	75	0	0	98	0	0	13	0	0	0	0	0	0	0	0
119	Hochsauerlandkreis	905	210499	179981	2563	2127	177418	177854	73938	70051	91164	80110	0	0	5395	7303	4139	11934	0	1260	0	78	0	204	0	0	0	0	0	11	0	121	0	90	0	139	0	0	1746	0	320	2782	2031	0	417	0	89	0	0	946	0	12	0	445	0	218	0	60	0	0	0	82	0	61	0	0	109	0	0	17	0	0	0	0	0	0	0	0
120	Siegen-Wittgenstein I	905	170264	143525	2300	1581	141225	141944	65580	65090	61406	50991	0	0	5310	7362	3660	9430	0	1611	0	121	0	115	0	0	0	0	0	45	818	448	0	65	552	277	0	0	1107	382	240	2865	2728	0	214	0	52	0	0	720	0	7	0	267	0	156	0	33	0	0	417	239	0	534	0	0	75	0	0	17	0	0	0	0	0	0	0	235
121	Olpe - Siegen-Wittgenstein II	905	149616	127070	1799	1366	125271	125704	51778	50782	62496	56183	0	0	4788	5295	3105	7665	0	964	0	109	0	113	0	0	0	0	0	23	724	435	0	43	0	81	0	0	735	308	218	1576	1291	0	271	0	50	0	0	578	0	3	0	213	0	136	302	90	0	0	194	93	0	239	0	0	86	0	0	8	0	0	0	0	0	0	0	0
122	Märkischer Kreis I	905	163569	136159	1577	1498	134582	134661	66793	60097	55600	48741	0	0	4115	6755	2912	9116	0	1472	0	111	0	112	0	0	0	0	0	17	0	170	0	59	0	106	0	0	1675	774	412	4388	3350	0	414	0	50	0	0	968	0	8	0	419	0	243	0	71	0	0	0	76	0	122	0	0	90	0	0	7	0	0	0	0	0	0	0	0
123	Märkischer Kreis II	905	161639	133313	1581	1465	131732	131848	68457	62709	49006	41842	0	0	5269	6804	3931	10617	0	1685	0	99	0	91	0	0	0	0	0	19	0	99	0	42	0	112	0	0	1637	712	397	3880	2743	0	397	0	57	0	0	1216	0	13	0	474	0	199	0	76	0	0	0	57	0	371	0	0	78	0	0	14	0	0	0	0	0	0	0	477
905	Nordrhein-Westfalen		13086397	10984476	139981	114941	10844495	10869535	5447132	5097425	4210718	3669024	0	0	546021	745911	310354	789745	81199	131550	1042	6196	0	8719	0	0	0	0	1841	1941	7032	9626	0	6028	2093	5544	0	0	98732	43292	34169	158578	113608	2293	21079	805	4829	361	0	54322	3226	2052	0	27320	2101	12316	6309	5099	0	0	7878	6644	1549	9715	0	0	6827	0	0	1114	175	0	1456	1308	0	0	447	7285
																																																																														
