Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	PDS	PDS	Deutschland	Deutschland	APPD	APPD	APD	APD	BP	BP	BüSo	BüSo	BFB	BFB	CHANCE 2000	CHANCE 2000	CM	CM	DPD	DPD	DVU	GRAUE	GRAUE	REP	REP	FAMILIE	FAMILIE	DIE FRAUEN	DIE FRAUEN	HP	HP	Pro DM	MLPD	MLPD	Tierschutz	Tierschutz	NPD	NPD	NATURGESETZ	NATURGESETZ	FORUM	FORUM	ödp	ödp	PBC	PBC	AB 2000	AB 2000	Nichtwähler	PASS	PASS	PSG	DKP	DSU	ZENTRUM	DMP	FP Deutschl.	FSU	STATT Partei	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																																																														
901	Schleswig-Holstein		2135992	1760598	26431	23843	1734167	1736755	849657	788907	725239	620516	0	0	68250	112287	48644	131611	17199	25470	0	0	0	0	0	0	0	0	0	0	2699	3616	0	0	0	0	0	0	21913	4483	4977	9786	6728	0	0	0	1805	0	0	14368	0	0	0	0	1500	2870	334	0	0	0	760	1687	308	0	0	0	0	0	0	0	323	0	0	0	0	492	2356	2137
																																																																														
12	Hamburg-Mitte	902	153136	118045	1913	1507	116132	116538	59100	55667	31776	28057	0	0	14749	16690	3188	5980	3215	3838	0	0	0	429	0	0	0	0	0	0	0	255	0	216	0	0	0	0	2635	1296	791	2252	717	0	0	0	0	0	0	461	0	0	0	426	0	147	556	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Hamburg-Altona	902	166818	136883	1838	1463	135045	135420	64928	55668	49433	41292	0	0	12457	18714	3428	10161	0	3790	0	0	960	306	0	0	0	0	0	0	626	506	0	180	0	0	0	0	2297	989	640	1958	713	0	0	0	0	0	0	397	266	0	0	467	0	122	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Hamburg-Eimsbüttel	902	179558	148514	1851	1306	146663	147208	73363	64538	49045	41972	0	0	14785	20781	4584	10326	0	3884	0	0	0	256	0	0	0	0	0	0	630	420	0	155	0	0	0	0	2254	1265	771	1916	681	0	0	0	0	0	0	443	0	0	0	427	0	104	501	196	0	0	0	0	0	0	0	0	0	0	0	0	574	0	0	0	0	0	0	0
15	Hamburg-Nord	902	199940	169596	2109	1637	167487	167959	78938	69380	66031	54785	0	0	13618	20194	4700	14342	0	3400	0	0	0	231	0	0	0	0	133	0	845	547	0	127	0	0	0	0	2240	1356	721	1866	645	0	0	0	0	0	0	527	0	0	0	533	0	113	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Hamburg-Wandsbek	902	190476	156234	2092	1721	154142	154513	80126	74904	53890	47596	0	0	8806	11761	4116	9601	2294	2950	0	0	0	147	0	0	0	0	0	0	0	408	0	84	0	0	0	0	3650	1360	954	2283	874	0	0	0	0	0	0	557	0	0	0	507	613	265	551	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0
17	Hamburg-Bergedorf	902	184360	144793	2576	1995	142217	142798	76066	70525	49401	44372	0	0	7011	9291	3257	7376	0	2741	0	0	0	126	0	0	0	0	0	0	932	507	0	77	0	0	0	0	4418	1426	859	3477	1078	0	0	0	0	0	0	524	0	0	0	501	0	141	647	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Hamburg-Harburg	902	139533	110579	1979	1654	108600	108925	58109	54594	38897	33682	0	0	4297	7227	1797	5049	1548	2000	0	0	0	134	0	0	0	0	119	0	0	277	0	98	0	0	0	0	3107	838	687	2194	854	0	0	0	0	0	0	419	0	0	801	540	0	160	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
902	Hamburg		1213821	984644	14358	11283	970286	973361	490630	445276	338473	291756	0	0	75723	104658	25070	62835	7057	22603	0	0	960	1629	0	0	0	0	252	0	3033	2920	0	937	0	0	0	0	20601	8530	5423	15946	5562	0	0	0	0	0	0	3328	266	0	801	3401	613	1052	2255	1380	0	0	0	0	0	0	0	0	0	0	0	0	574	0	0	0	0	103	0	0
																																																																														
19	Aurich - Emden	903	181038	148851	2464	1700	146387	147151	87300	90594	42544	37992	0	0	9211	7140	3369	6475	1519	1391	0	0	0	202	0	0	0	0	0	0	0	70	0	0	0	28	0	0	637	477	236	1559	946	0	0	0	0	0	0	663	0	0	0	327	0	142	0	39	0	0	0	32	408	218	0	0	0	0	0	19	0	0	0	0	0	0	0	0
20	Unterems	903	215841	179170	2002	1597	177168	177573	77671	82866	87586	72016	0	0	5810	6425	4434	10558	1667	1300	0	0	0	225	0	0	0	0	0	0	0	71	0	0	0	82	0	0	1047	0	201	0	817	0	0	0	0	0	0	914	0	0	0	361	0	226	0	63	0	0	0	36	0	347	0	0	0	0	0	18	0	0	0	0	0	0	0	0
21	Friesland - Wilhelmshaven	903	155280	125803	1711	1046	124092	124757	66143	66793	43760	39939	0	0	5257	5321	3443	7013	1211	1157	0	0	0	148	0	0	0	0	0	0	0	71	0	0	0	13	0	0	545	0	182	3089	2158	0	0	0	0	0	0	761	0	0	0	358	0	87	0	89	0	0	0	35	0	74	0	0	0	0	0	13	0	0	0	0	0	0	0	1189
22	Oldenburg - Ammerland	903	235060	193954	2020	1490	191934	192464	98924	96418	66170	55860	0	0	15252	16972	7114	14917	2814	2875	0	0	0	240	0	0	0	0	0	0	0	165	0	0	0	67	0	0	1156	1039	548	0	834	0	0	0	0	0	0	1166	0	0	0	567	0	311	0	148	0	0	0	67	0	128	0	0	0	0	0	25	0	0	0	0	0	0	0	621
23	Delmenhorst - Wesermarsch - Oldenburg-Land	903	218870	180383	2113	1366	178270	179017	97991	96754	58783	52823	0	0	8226	9299	8153	12913	1890	1779	0	0	0	137	0	0	0	0	0	0	0	78	0	0	0	40	0	0	1280	1047	573	2180	1163	0	0	0	0	0	0	1257	0	0	0	421	0	251	0	111	0	0	0	50	0	73	0	0	0	0	0	15	0	0	0	0	0	0	0	0
