Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	CSU	CSU	SPD	SPD	FDP	FDP	GRÜNE	GRÜNE	PDS	PDS	DSU	DSU	B90/Gr	B90/Gr	BP	BP	DDD	DDD	BSA	BSA	LIGA	LIGA	CM	CM	ÖKO-Union	ÖKO-Union	DIE GRAUEN	DIE GRAUEN	Mündige	Mündige	REP	REP	Frauen	Frauen	KPD	KPD	NPD	NPD	ÖDP	ÖDP	Patrioten	Patrioten	SpAD	SpAD	VAA	VAA	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																																										
262	Wismar – Gadebusch – Grevesmühlen – Doberan – Bützow	MV	171148	122975	2558	1858	120417	121117	54479	49851	0	0	40115	37287	10718	11770	0	0	14322	13302	0	233	0	6119	0	0	0	0	0	0	0	0	0	0	0	0	0	748	0	0	0	1260	0	0	0	0	783	324	0	181	0	0	0	42	0	0	0	0
263	Schwerin – Hagenow	MV	171700	125331	2688	1689	122643	123642	45692	44123	0	0	41180	35255	15416	13418	0	0	19348	18454	0	225	0	9378	0	0	0	0	0	0	0	0	0	0	0	0	0	791	0	0	0	1353	0	0	0	0	1007	402	0	198	0	0	0	45	0	0	0	0
264	Güstrow – Sternberg – Lübz – Parchim – Ludwigslust	MV	167485	122394	8228	2313	114166	120081	53958	51330	0	0	45021	32661	13955	12007	0	0	0	13967	0	417	0	6676	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	1683	0	0	0	0	1232	400	0	203	0	0	0	43	0	0	0	0
265	Rostock	MV	188038	129934	2244	1355	127690	128579	40572	38804	0	0	43899	36740	15011	13416	0	0	27049	24626	0	307	0	11765	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	0	0	1243	0	0	0	0	1159	465	0	208	0	0	0	35	0	0	0	0
266	Rostock-Land – Ribnitz-Damgarten – Teterow – Malchin	MV	126335	90179	2472	1726	87707	88453	41061	40183	0	0	23597	21657	10886	9036	0	0	11361	10542	0	344	0	4264	0	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	0	1293	0	0	0	0	802	351	0	125	0	0	0	32	0	0	0	0
267	Stralsund – Rügen – Grimmen	MV	160519	109420	3074	2429	106346	106991	51551	50297	0	0	30159	26480	8161	7395	0	0	15735	14993	0	289	0	4841	0	0	0	0	0	0	0	0	0	0	0	0	0	1063	0	0	0	1100	0	0	0	0	740	333	0	159	0	0	0	41	0	0	0	0
268	Greifswald – Wolgast – Demmin	MV	141706	99118	2836	2098	96282	97020	50606	49506	0	0	22376	19390	9359	7318	0	0	13941	13356	0	533	0	4289	0	0	0	0	0	0	0	0	0	0	0	0	0	774	0	0	0	1459	0	0	0	0	0	206	0	147	0	0	0	42	0	0	0	0
269	Neubrandenburg – Altentreptow – Waren – Röbel	MV	151628	108611	2647	1966	105964	106645	45276	42062	0	0	28567	27156	8673	9095	0	0	22501	17846	0	309	0	6485	0	0	0	0	0	0	0	0	0	0	0	0	0	820	0	0	0	2324	0	0	0	0	947	289	0	215	0	0	0	44	0	0	0	0
270	Neustrelitz – Strasburg – Pasewalk – Ueckermünde – Anklam	MV	153777	107081	3009	2488	104072	104593	45060	44784	0	0	28936	28089	7962	7774	0	0	14620	14820	0	346	6703	4975	0	0	0	0	0	0	0	0	0	0	0	0	0	783	0	0	0	2431	0	0	0	0	791	394	0	136	0	0	0	61	0	0	0	0
912	Mecklenburg-Vorpommern	MV	1432336	1015043	29756	17922	985287	997121	428255	410940	0	0	303850	264715	100141	91229	0	0	138877	141906	0	3003	6703	58792	0	0	0	0	0	0	0	0	0	0	0	0	0	7269	0	0	0	14146	0	0	0	0	7461	3164	0	1572	0	0	0	385	0	0	0	0
																																																										
271	Neuruppin – Kyritz – Wittstock – Pritzwalk – Perleberg	BB	168369	123599	2142	1782	121457	121817	50700	50216	0	0	40966	39837	10653	12528	0	0	9496	9313	1175	523	8467	6502	0	0	0	0	0	0	0	137	0	0	0	0	0	711	0	39	0	1648	0	0	0	0	0	194	0	169	0	0	0	0	0	0	0	0
272	Prenzlau – Angermünde – Schwedt – Templin – Gransee	BB	153538	105782	2127	1899	103655	103883	35304	35299	0	0	39114	37976	7827	8509	0	0	11572	11736	806	409	9032	6684	0	0	0	0	0	0	0	82	0	0	0	0	0	690	0	21	0	2114	0	0	0	0	0	201	0	162	0	0	0	0	0	0	0	0
273	Oranienburg – Nauen	BB	151482	114814	1904	1457	112910	113357	42104	41776	0	0	42194	39177	9724	11556	0	0	11303	10391	0	357	7585	6823	0	0	0	0	0	0	0	122	0	0	0	0	0	875	0	33	0	1892	0	0	0	0	0	161	0	194	0	0	0	0	0	0	0	0
274	Eberswalde – Bernau – Bad Freienwalde	BB	140254	100570	1902	1579	98668	98991	35376	34835	0	0	33813	33222	8055	8797	0	0	12430	11474	1096	575	7898	6774	0	0	0	0	0	0	0	121	0	0	0	0	0	847	0	43	0	1950	0	0	0	0	0	177	0	176	0	0	0	0	0	0	0	0
