Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	CSU	CSU	SPD	SPD	FDP	FDP	GRÜNE	GRÜNE	PDS	PDS	DSU	DSU	B90/Gr	B90/Gr	BP	BP	DDD	DDD	BSA	BSA	LIGA	LIGA	CM	CM	ÖKO-Union	ÖKO-Union	DIE GRAUEN	DIE GRAUEN	Mündige	Mündige	REP	REP	Frauen	Frauen	KPD	KPD	NPD	NPD	ÖDP	ÖDP	Patrioten	Patrioten	SpAD	SpAD	VAA	VAA	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																																										
312	Döbeln – Grimma – Oschatz	SN	153917	114281	2639	2079	111642	112202	60996	57304	0	0	22563	23169	10937	12679	0	0	9588	9017	0	1111	7558	5998	0	0	0	0	0	39	0	119	0	0	0	0	0	816	0	0	0	1332	0	0	0	47	0	306	0	141	0	12	0	24	0	88	0	0
313	Meißen – Riesa – Großenhain	SN	187455	139039	3189	2492	135850	136547	70704	70191	0	0	24695	24575	13666	14574	0	0	12723	12109	3771	2305	10291	7799	0	0	0	0	0	42	0	382	0	0	0	0	0	2345	0	0	0	1274	0	0	0	45	0	493	0	224	0	18	0	30	0	141	0	0
314	Hoyerswerda – Kamenz – Weißwasser	SN	165450	118844	2920	1930	115924	116914	57823	55981	0	0	25034	24926	10289	10664	0	0	13832	13302	0	1437	8450	6071	0	0	0	0	0	33	0	330	0	0	0	0	0	1153	0	0	0	2214	0	0	0	74	0	382	0	176	0	12	0	29	0	130	0	496
315	Görlitz – Zittau – Niesky	SN	169062	123563	2389	2001	121174	121562	64823	67208	0	0	18020	18133	8401	10292	0	0	12108	11208	4710	2502	9700	6884	0	0	0	0	0	20	1102	579	0	0	0	0	0	2136	0	0	2310	1871	0	0	0	45	0	395	0	140	0	15	0	11	0	123	0	0
316	Bautzen – Löbau	SN	161163	123571	2856	1995	120715	121576	72658	70727	0	0	15646	16676	9682	10260	0	0	10716	10462	0	1745	12013	6701	0	0	0	0	0	34	0	623	0	0	0	0	0	2004	0	0	0	1336	0	0	0	57	0	563	0	197	0	13	0	22	0	156	0	0
317	Pirna – Sebnitz – Bischofswerda	SN	168974	132313	3003	2273	129310	130040	74226	74468	0	0	18705	18694	10887	12296	0	0	11665	10835	4655	2723	9172	6118	0	0	0	0	0	39	0	407	0	0	0	0	0	2068	0	0	0	1280	0	0	0	66	0	674	0	177	0	17	0	34	0	144	0	0
318	Dresden I	SN	178238	137073	2117	1521	134956	135552	65946	63077	0	0	17849	18049	13338	17422	0	0	17750	17304	0	1561	15556	13459	0	0	0	0	0	16	0	387	0	0	0	0	3456	2467	0	0	0	803	0	0	0	49	1061	617	0	225	0	16	0	13	0	87	0	0
319	Dresden II	SN	200871	148839	2484	2051	146355	146788	68004	69113	0	0	19418	20648	19734	15990	0	0	20874	20589	0	1889	13074	13071	0	0	0	0	0	25	0	446	0	0	0	0	4112	3081	0	0	0	876	0	0	0	58	1139	614	0	217	0	20	0	29	0	122	0	0
320	Dresden-Land – Freital – Dippoldiswalde	SN	171501	136938	2844	2370	134094	134568	77378	76847	0	0	18625	18794	11008	14029	0	0	10344	9954	5041	2737	8419	7342	0	0	0	0	0	26	872	596	0	0	0	0	2407	1957	0	0	0	1364	0	0	0	46	0	530	0	189	0	20	0	23	0	114	0	0
321	Freiberg – Brand-Erbisdorf – Flöha – Marienberg	SN	172214	137877	3522	2709	134355	135168	75977	74102	0	0	21188	21875	13083	16202	0	0	10947	9511	3353	2142	9807	6803	0	0	0	0	0	34	0	676	0	0	0	0	0	861	0	0	0	1804	0	0	0	66	0	519	0	405	0	15	0	36	0	117	0	0
322	Glauchau – Rochlitz – Hohenstein-Ernstthal – Hainichen	SN	183074	145756	3316	2454	142440	143302	71341	73068	0	0	27380	27699	17698	20434	0	0	9580	9019	5303	2719	11138	6197	0	0	0	0	0	31	0	588	0	0	0	0	0	872	0	0	0	1798	0	0	0	76	0	466	0	189	0	13	0	28	0	105	0	0
323	Chemnitz I	SN	149141	110442	2015	1537	108427	108905	46729	45187	0	0	20433	21241	15179	17175	0	0	14029	13424	2439	1308	9288	6989	0	0	0	0	174	70	0	400	0	0	0	0	0	845	0	0	0	1655	0	0	0	68	0	304	0	155	0	7	0	15	0	62	0	156
324	Chemnitz II – Chemnitz-Land	SN	157401	122796	2629	1900	120167	120896	54412	54889	0	0	23293	23113	16970	18734	0	0	13346	12384	3617	1721	8223	6212	0	0	0	0	0	30	0	513	0	0	0	0	0	772	0	0	0	1788	0	0	0	66	0	383	0	154	0	9	0	21	0	107	0	306
325	Annaberg – Stollberg – Zschopau	SN	163146	132844	3472	2572	129372	130272	70896	70339	0	0	20071	20945	13712	17206	0	0	8502	8055	7110	4008	7278	5016	0	0	0	0	0	32	1803	1088	0	0	0	0	0	664	0	0	0	2196	0	0	0	59	0	353	0	177	0	11	0	22	0	101	0	0
326	Aue – Schwarzenberg – Klingenthal	SN	158531	125155	2930	2230	122225	122925	68606	65883	0	0	20528	20811	12277	15539	0	0	8737	8460	4943	3357	7134	4761	0	0	0	0	0	29	0	668	0	0	0	0	0	641	0	0	0	2170	0	0	0	54	0	319	0	145	0	10	0	17	0	61	0	0
327	Zwickau – Werdau	SN	207179	159723	3567	2697	156156	157026	81508	78630	0	0	29084	30885	17807	22326	0	0	12027	11120	4046	2420	10833	7353	0	0	0	0	0	21	0	635	0	0	0	0	0	795	0	0	0	1897	0	0	0	67	851	563	0	211	0	15	0	18	0	70	0	0
328	Reichenbach – Plauen – Auerbach – Oelsnitz	SN	201229	159068	3162	2356	155906	156712	75956	76047	0	0	28264	28088	18950	24381	0	0	10951	10222	12375	6210	8020	6523	0	0	0	0	0	16	1390	968	0	0	0	0	0	822	0	0	0	2716	0	0	0	50	0	304	0	263	0	16	0	17	0	69	0	0
916	Sachsen	SN	3707677	2825162	60631	44492	2764531	2780670	1396508	1376055	0	0	504416	505176	293262	345471	0	0	253066	251217	70381	48365	220497	163192	0	0	0	0	174	665	5167	10082	0	0	0	0	9975	28898	0	0	2310	33605	0	0	0	1220	5464	9514	0	4208	0	281	0	493	311	2228	0	3000
																																																										
999	Bundesgebiet	Bund	60436560	46995915	720990	540143	46274925	46455772	17707574	17055116	3423904	3302980	16279980	15545366	3595135	5123233	2037885	1788200	1049245	1129578	131747	89008	552027	559207	10836	31315	474	1009	214	826	8667	39640	9824	36446	1106	4661	218412	385910	72	492	767652	987269	1433	12077	0	1630	190105	145776	243469	205206	746	4687	124	1610	704	4530	266	43324
