Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	CSU	CSU	GRÜNE	GRÜNE	PDS	PDS	REP	REP	APD	APD	BP	BP	BüSo	BüSo	BSA	BSA	LIGA	LIGA	CM	CM	ZENTRUM	ZENTRUM	GRAUE	GRAUE	NATURGESETZ	NATURGESETZ	MLPD	MLPD	Tierschutz	Tierschutz	ödp	ödp	PBC	PBC	PASS	PASS	STATT Partei	STATT Partei	BGD	DKP	DSU	DVP	DEMOKRATEN	FBU	FSU	KPD	LD	UAP	Einzelbewerber
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
294	Zeitz - Hohenmölsen - Naumburg - Nebra	ST	137721	96490	1390	1329	95100	95161	41445	40396	29461	29617	3921	4277	0	0	3594	3097	14315	15157	1251	1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	651	0	0	0	29	0	0	0	112	0	0	0	649	0	0	0	0	132	0	0	0	0	0	0	0	0
295	Eisleben - Sangerhausen - Hettstedt	ST	148965	105935	1695	1411	104240	104524	45473	44974	34585	32808	4210	4377	0	0	2621	2425	17351	17446	0	995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	32	0	0	0	81	0	0	0	876	0	0	0	0	0	0	0	0	0	0	0	0	0
914	Sachsen-Anhalt	ST	2156706	1518973	19573	17590	1499400	1501383	596278	582294	512425	502193	52794	60968	0	0	56920	53551	264007	270212	12861	14641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3008	7090	0	0	0	389	0	0	0	1405	0	0	0	8640	0	0	0	0	823	0	0	0	0	0	0	0	284
																																																															
296	Nordhausen - Worbis - Heiligenstadt	TH	165332	128717	3589	2819	125128	125898	64372	62546	32275	34668	4245	4338	0	0	4428	4379	18309	16992	0	1367	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	449	0	0	0	24	0	0	1499	812	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0
297	Eisenach - Mühlhausen	TH	148971	112934	3132	2535	109802	110399	46892	45647	38422	37640	2939	3727	0	0	4873	4894	15206	16042	1470	1379	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	465	0	0	0	50	0	0	0	168	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0
298	Sömmerda - Artern - Sondershausen - Langensalza	TH	160555	117386	3715	3190	113671	114196	49543	49142	37906	35780	3659	4440	0	0	6083	4546	16480	17970	0	1394	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	417	0	0	0	31	0	0	0	131	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0
299	Gotha - Arnstadt	TH	152397	114318	3144	3107	111174	111211	47864	45897	39822	36606	3234	4247	0	0	6039	5828	14215	16057	0	1300	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	562	0	0	0	41	0	0	0	163	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0
300	Erfurt	TH	154677	112570	2657	2203	109913	110367	40305	36539	37577	33242	0	3626	0	0	7586	7606	24285	26885	0	955	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	696	0	0	0	36	0	0	0	333	0	0	0	0	0	384	0	0	0	0	0	0	0	160	0	0	0
301	Weimar - Apolda - Erfurt-Land	TH	149934	112563	2918	2736	109645	109827	50379	46933	33752	31591	4006	5292	0	0	6997	6660	14511	16460	0	1417	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	719	0	0	0	37	0	0	0	211	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0
302	Jena - Rudolstadt - Stadtroda	TH	175703	133588	2967	2703	130621	130885	47214	46726	41060	39675	8591	7567	0	0	8239	8842	23314	24484	2203	2155	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	648	0	0	0	29	0	0	0	228	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0
303	Gera-Stadt - Eisenberg - Gera-Land I	TH	147854	107191	2788	2266	104403	104925	41599	38562	27788	28793	0	4235	0	0	5593	5170	25733	25012	1498	1431	0	0	0	0	0	56	0	0	0	0	0	0	0	0	1167	931	0	0	0	47	0	0	0	188	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	1025
304	Altenburg - Schmölln - Greiz - Gera-Land II	TH	147095	107153	3160	3169	103993	103984	47226	44362	33311	32652	2941	3989	0	0	4996	4525	15519	15762	0	1630	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	451	0	0	0	34	0	0	0	139	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0
305	Saalfeld - Pößneck - Schleiz - Lobenstein - Zeulenroda	TH	149695	111511	3086	2021	108425	109490	46959	46205	34957	32403	8518	5305	0	0	0	5035	15623	17136	2368	2204	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	502	0	0	0	42	0	0	0	230	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0
306	Meiningen - Bad Salzungen - Hildburghausen - Sonneberg	TH	204796	155784	5330	4309	150454	151475	62411	62989	50677	46508	5557	6717	0	0	5937	6540	22777	24891	2325	2438	0	0	0	0	0	109	0	0	0	0	0	0	0	0	770	663	0	0	0	57	0	0	0	209	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0
307	Suhl - Schmalkalden - Ilmenau - Neuhaus	TH	198577	150422	4388	4089	146034	146333	65555	60892	42232	42382	4459	5801	0	0	6440	6400	27348	27395	0	2083	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	567	0	0	0	42	0	0	0	278	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0
915	Thüringen	TH	1955586	1464137	40874	35147	1423263	1428990	610319	586440	449779	431940	48149	59284	0	0	67211	70425	233320	245086	9864	19753	0	0	0	0	0	812	0	0	0	0	0	0	0	0	1937	7070	0	0	0	470	0	0	1499	3090	0	0	0	0	0	4620	0	0	0	0	0	0	0	160	0	0	1025
																																																															
308	Delitzsch - Eilenburg - Torgau - Wurzen	SN	153945	105532	1870	1219	103662	104313	51134	47663	30058	28585	3616	4069	0	0	0	4554	18854	17234	0	1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	30	0	0	0	161	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
309	Leipzig I	SN	191248	128863	6040	1258	122823	127605	53264	45505	0	40039	6819	4621	0	0	26114	8044	36626	26758	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	916	0	0	0	43	0	0	0	262	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	Leipzig II	SN	189140	128164	1333	1047	126831	127117	45807	44214	38500	38933	3850	4903	0	0	8754	8903	27232	27684	0	1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	126	53	0	0	0	275	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2562
311	Leipzig-Land - Borna - Geithain	SN	188643	132909	1618	1209	131291	131700	65112	61143	37103	38270	3071	5117	0	0	7261	5851	18744	18872	0	1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	41	0	0	0	208	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	Döbeln - Grimma - Oschatz	SN	149178	104712	1871	1335	102841	103377	57340	51081	26461	26016	3403	3959	0	0	0	4313	15637	15979	0	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	28	0	0	0	161	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
313	Meißen - Riesa - Großenhain	SN	180541	127742	2179	1464	125563	126278	66900	64528	26030	26934	6139	4805	0	0	6316	5934	20178	20838	0	1980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	19	0	0	0	243	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	Hoyerswerda - Kamenz - Weißwasser	SN	160410	112612	1698	1047	110914	111565	56710	52903	25234	26142	3823	3438	0	0	0	3656	25147	23027	0	1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	40	0	0	0	180	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	Görlitz - Zittau - Niesky	SN	161006	115443	2044	1177	113399	114266	64574	61629	26078	22719	3690	3469	0	0	0	4652	19057	18395	0	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0	0	0	29	0	0	0	195	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	Bautzen - Löbau	SN	156849	115801	2025	1271	113776	114530	68605	64885	21829	20686	3795	3920	0	0	0	4542	18112	17198	0	2072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	37	0	0	0	206	0	377	0	0	0	0	0	0	1435	0	0	0	0	0	0	0	0
317	Pirna - Sebnitz - Bischofswerda	SN	165418	121296	2170	1384	119126	119912	71266	67917	22249	21768	0	4347	0	0	6917	4975	18694	17909	0	1851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648	0	0	0	32	0	0	0	223	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	Dresden I	SN	176006	133196	1447	998	131749	132198	62801	60204	23949	23700	3531	5571	0	0	11237	10765	26674	28592	1549	1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2008	1229	0	0	0	48	0	0	0	299	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
319	Dresden II	SN	194236	140156	1704	1344	138452	138812	64874	62773	25074	24774	3353	5233	0	0	9850	10200	30540	32177	1633	1610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2214	1365	0	0	0	52	0	0	0	329	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914
320	Dresden-Land - Freital - Dippoldiswalde	SN	171069	127224	2279	1231	124945	125993	76139	70834	24365	22358	5622	5203	0	0	0	6644	18819	17495	0	2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716	0	0	0	41	0	0	0	264	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321	Freiberg - Brand-Erbisdorf - Flöha - Marienberg	SN	168044	126413	1977	1459	124436	124954	70397	66586	27676	28255	3795	4787	0	0	6003	4839	16565	16911	0	2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	54	0	0	0	446	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	Glauchau - Rochlitz - Hohenstein-Ernstthal - Hainichen	SN	176608	129260	2105	1372	127155	127888	65978	62510	39448	35766	4616	5078	0	0	0	5055	17113	16761	0	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	35	0	0	0	186	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
323	Chemnitz I	SN	140359	102975	1046	778	101929	102197	43968	41479	27818	28330	2595	4008	0	0	5879	5361	20390	20901	0	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	0	0	0	26	0	0	0	176	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1279
324	Chemnitz II - Chemnitz-Land	SN	154639	115610	1416	1085	114194	114525	52960	50453	33696	31903	3982	4764	0	0	5280	4791	18276	20011	0	1316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	0	0	43	0	0	0	210	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
325	Annaberg - Stollberg - Zschopau	SN	158515	119535	1986	1272	117549	118263	63908	61411	35216	30170	4445	4430	0	0	0	4112	13980	14601	0	1986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	42	0	0	0	191	0	869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	Aue - Schwarzenberg - Klingenthal	SN	152323	111710	1978	1147	109732	110563	60662	56129	28913	28374	3571	3589	0	0	0	3658	16586	15654	0	1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	40	0	0	0	150	0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
327	Zwickau - Werdau	SN	199213	142008	1815	1362	140193	140646	69383	66729	36181	37848	5103	5534	0	0	7204	5623	21720	21581	0	2101	0	0	0	0	602	0	0	0	0	0	0	0	0	0	0	506	0	0	0	53	0	0	0	177	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	Reichenbach - Plauen - Auerbach - Oelsnitz	SN	204572	146802	1658	1353	145144	145449	70405	68737	41492	40050	7120	7649	0	0	6609	6122	18912	19114	0	2192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	33	0	0	0	257	0	784	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0
916	Sachsen	SN	3591962	2587963	42259	25812	2545704	2562151	1302187	1229313	597370	621620	85939	98494	0	0	107424	122594	437856	427692	3182	35483	0	0	0	0	602	0	0	0	0	0	0	0	0	0	4222	13501	0	0	126	819	0	0	0	4799	0	7836	0	0	0	0	0	0	1435	606	0	0	0	0	0	0	4755
																																																															
999	Bundesgebiet	Bund	60452009	47737999	788643	632825	46949356	47105174	17473325	16089960	17966813	17140354	1558185	3258407	3657627	3427196	3037902	3424315	1920420	2066176	787757	875239	1654	21533	3324	42491	8032	8103	0	1285	3788	5195	3559	19887	1489	3757	178450	238642	59087	73193	4932	10038	0	71643	200138	183715	26864	65651	489	15040	7927	63354	107	693	2395	606	104	8193	467	426	221	302	34080
