Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	CSU	CSU	GRÜNE	GRÜNE	PDS	PDS	REP	REP	APD	APD	BP	BP	BüSo	BüSo	BSA	BSA	LIGA	LIGA	CM	CM	ZENTRUM	ZENTRUM	GRAUE	GRAUE	NATURGESETZ	NATURGESETZ	MLPD	MLPD	Tierschutz	Tierschutz	ödp	ödp	PBC	PBC	PASS	PASS	STATT Partei	STATT Partei	BGD	DKP	DSU	DVP	DEMOKRATEN	FBU	FSU	KPD	LD	UAP	Einzelbewerber
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
255	Berlin-Kreuzberg - Schöneberg	BE	190150	145562	1732	1720	143830	143842	42111	39556	46310	50017	4587	7563	0	0	40295	33122	4351	7690	2396	2570	0	0	0	0	0	29	0	23	0	0	0	0	0	0	1984	1697	646	493	0	55	0	0	306	239	0	0	0	445	0	343	0	0	0	0	0	0	0	0	0	0	844
256	Berlin-Tempelhof	BE	147224	120629	1529	1376	119100	119253	61002	54499	41408	39359	3355	8764	0	0	7597	9389	1572	1959	2016	2158	0	0	0	0	0	39	0	11	0	0	0	0	0	0	2150	1788	0	324	0	19	0	0	0	236	0	0	0	292	0	416	0	0	0	0	0	0	0	0	0	0	0
257	Berlin-Neukölln	BE	216446	166959	2353	2254	164606	164705	69409	64895	64784	60406	3877	8435	0	0	14960	16953	3551	4544	4185	4470	0	0	0	0	0	67	0	23	0	0	0	0	0	0	3654	3030	0	517	186	97	0	0	0	248	0	0	0	494	0	526	0	0	0	0	0	0	0	0	0	0	0
258	Berlin-Friedrichshain - Lichtenberg	BE	209185	160867	1345	1387	159522	159480	25861	29128	48932	49991	1695	2823	0	0	6807	11199	70824	60308	2421	2553	0	0	0	0	0	69	0	19	0	0	0	0	0	0	2313	1918	0	307	0	37	0	0	403	248	0	0	0	633	0	247	0	0	0	0	0	0	0	266	0	0	0
259	Berlin-Köpenick - Treptow	BE	172684	137954	1232	1120	136722	136834	28071	29049	49216	49545	1923	2864	0	0	7693	7804	45350	42315	2222	2220	0	0	0	0	0	76	0	28	0	0	0	0	0	0	2113	1647	0	304	134	73	0	0	0	150	0	0	0	579	0	180	0	0	0	0	0	0	0	0	0	0	0
260	Berlin-Hellersdorf - Marzahn	BE	203646	154684	1255	1285	153429	153399	26394	29779	41044	49595	1468	2682	0	0	4768	6879	75000	57835	2883	3111	0	0	0	0	0	113	0	30	0	0	0	0	0	0	1872	1679	0	357	0	58	0	0	0	122	0	0	0	880	0	279	0	0	0	0	0	0	0	0	0	0	0
261	Berlin-Hohenschönhausen - Pankow - Weißensee	BE	210242	163417	1615	1404	161802	162013	31887	34123	51794	54220	2527	3357	0	0	10413	9690	59503	54023	2825	2773	0	0	0	0	0	95	0	23	0	0	0	0	0	0	2853	2024	0	400	0	36	0	0	0	136	0	0	0	811	0	302	0	0	0	0	0	0	0	0	0	0	0
911	Berlin	BE	2505857	1970458	21779	20386	1948679	1950072	641035	612217	686747	663081	46247	100649	0	0	174265	199208	326446	289517	32698	36645	0	0	0	0	0	793	0	272	0	0	0	0	0	0	32565	27097	1360	5047	320	518	0	0	4476	4114	0	0	489	6400	0	4514	0	0	137	0	0	0	0	266	0	0	1628
																																																															
262	Wismar - Gadebusch - Grevesmühlen - Doberan - Bützow	MV	168491	120638	3113	2630	117525	118008	44088	42816	43295	40429	2933	4037	0	0	0	3803	24923	24477	1203	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	695	0	277	0	46	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263	Schwerin - Hagenow	MV	165934	123222	2740	2437	120482	120785	39478	38493	42439	39624	4164	4591	0	0	0	5007	31760	30922	968	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	1134	478	0	27	0	0	539	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
264	Güstrow - Sternberg - Lübz - Parchim - Ludwigslust	MV	158792	116372	2838	2761	113534	113611	44497	42222	35951	36771	2942	4749	0	0	4155	4159	24861	23550	1128	1315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	323	0	30	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
265	Rostock	MV	178485	132287	1857	1758	130430	130529	34859	36049	43270	43228	3205	3371	0	0	5702	6569	42557	39079	0	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	648	0	291	0	43	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
