Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GRÜNE	GRÜNE	BWK	BWK	C.B.V.	C.B.V.	DKP	DKP	E A P	E A P	KPD	KPD	NPD	NPD	OE D P	OE D P	U S D	U S D	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																			
26	MITTELEMS	NI	183678	167324	1390	1039	165934	166285	56077	51175	99589	95431	0	0	3217	11180	6650	8087	0	8	0	0	401	206	0	39	0	0	0	159	0	0	0	0	0
27	CLOPPENBURG – VECHTA	NI	150652	137766	1262	1005	136504	136761	24966	25357	102098	97984	0	0	2712	7137	6532	6087	0	8	0	0	196	68	0	30	0	0	0	90	0	0	0	0	0
28	DIEPHOLZ	NI	142909	126976	925	820	126051	126156	51535	47389	63171	58249	0	0	5553	12817	5619	7345	0	5	0	0	173	114	0	38	0	0	0	199	0	0	0	0	0
29	VERDEN	NI	156584	141310	997	872	140313	140438	63887	58153	65421	61193	0	0	3155	9578	7259	11003	0	8	0	0	238	154	0	43	0	0	353	306	0	0	0	0	0
30	SOLTAU – ROTENBURG	NI	141402	126029	997	874	125032	125155	47778	45227	67342	63123	0	0	3495	9206	5668	6981	0	15	0	0	202	121	0	37	0	0	547	445	0	0	0	0	0
31	LUENEBURG – LUECHOW-DANNENBERG	NI	141247	123827	899	804	122928	123023	48171	45971	60178	56163	0	0	4832	9348	9089	10970	0	29	0	0	218	141	0	33	0	0	440	368	0	0	0	0	0
32	OSNABRUECK-LAND	NI	156121	141523	1171	928	140352	140595	53771	50931	76456	70499	0	0	4124	11600	5833	7253	0	2	0	0	168	98	0	46	0	0	0	166	0	0	0	0	0
33	OSNABRUECK	NI	175126	157708	1140	1033	156568	156675	65740	61503	79916	73857	0	0	3737	11429	6567	9360	0	25	0	0	237	163	0	30	0	0	371	308	0	0	0	0	0
34	NIENBURG – SCHAUMBURG	NI	207098	185575	1408	1260	184167	184315	84282	80399	88717	82144	0	0	3796	12038	6715	9134	0	13	0	0	195	131	0	45	0	0	462	411	0	0	0	0	0
35	HARBURG	NI	140229	127763	934	690	126829	127073	47214	44836	69209	61597	0	0	3664	12120	6254	8094	0	7	0	0	158	116	0	44	0	0	330	259	0	0	0	0	0
36	STADT HANNOVER I	NI	188977	167038	1727	1110	165311	165928	77610	75731	71283	65469	0	0	5294	11785	10327	12123	75	32	0	0	546	376	176	90	0	0	0	322	0	0	0	0	0
37	STADT HANNOVER II	NI	193305	171020	1643	1132	169377	169888	83200	78006	71039	65046	0	0	4997	12430	9316	13444	0	40	0	0	666	514	159	91	0	0	0	317	0	0	0	0	0
38	HANNOVER-LAND I	NI	216710	195829	1991	1386	193838	194443	86370	81244	95018	87437	0	0	5316	14600	6817	10551	0	19	0	0	317	206	0	45	0	0	0	341	0	0	0	0	0
39	CELLE – UELZEN	NI	202764	181387	1431	1164	179956	180223	70991	66737	95851	89881	0	0	5202	13234	7057	9632	0	12	0	0	236	168	0	45	0	0	619	514	0	0	0	0	0
40	GIFHORN – PEINE	NI	187827	170646	1331	1122	169315	169524	72757	70574	85789	80934	0	0	4014	9941	6086	7474	0	26	0	0	246	171	0	47	0	0	423	357	0	0	0	0	0
41	HAMELN – HOLZMINDEN	NI	195828	178555	1651	1361	176904	177194	84124	80999	81087	75485	0	0	5085	12199	6315	8029	0	10	0	0	200	135	93	52	0	0	0	285	0	0	0	0	0
42	HANNOVER-LAND II	NI	197985	181242	1904	1295	179338	179947	82707	78927	83625	77386	0	0	4972	12978	7759	10108	0	10	0	0	275	202	0	49	0	0	0	287	0	0	0	0	0
43	HILDESHEIM	NI	214155	195292	1520	1295	193772	193997	93868	89035	88460	83796	0	0	3722	11216	6944	9313	0	39	0	0	289	194	82	64	0	0	407	340	0	0	0	0	0
44	SALZGITTER – WOLFENBUETTEL	NI	178315	161257	1187	1062	160070	160195	76729	74249	74957	71498	0	0	2581	7530	5156	6299	0	10	0	0	234	193	0	29	0	0	413	387	0	0	0	0	0
45	BRAUNSCHWEIG	NI	199674	175291	1575	1056	173716	174235	79733	76338	81157	75743	0	0	3989	11057	8066	10417	76	41	0	0	367	291	0	48	0	0	0	300	0	0	0	0	328
46	HELMSTEDT – WOLFSBURG	NI	172240	153361	1429	1140	151932	152221	62979	60730	79552	75899	0	0	2844	7737	5826	7154	0	12	0	0	196	158	0	30	0	0	535	501	0	0	0	0	0
47	GOSLAR	NI	151865	136520	1236	1092	135284	135428	62553	59952	65528	61623	0	0	2787	8303	3833	5038	0	20	0	0	224	160	0	31	0	0	359	301	0	0	0	0	0
48	NORTHEIM – OSTERODE	NI	170430	155700	1329	1212	154371	154488	75189	72854	69829	64523	0	0	3563	9950	5193	6619	0	18	0	0	195	144	0	33	0	0	402	347	0	0	0	0	0
49	GOETTINGEN	NI	181978	163488	1244	939	162244	162549	71861	66624	76106	70475	0	0	4678	11682	9184	13108	0	24	0	0	415	329	0	21	0	0	0	286	0	0	0	0	0
903	NIEDERSACHSEN	NI	5480450	4909061	42883	34225	4866178	4874836	2111536	2015731	2384706	2223988	0	0	130937	338416	220143	278597	151	541	0	0	9948	6361	510	1338	0	0	7919	9864	0	0	0	0	328
																																			
50	BREMEN-OST	HB	200553	179896	1477	1217	178419	178679	85368	76963	72236	64859	0	0	6114	15282	13570	20314	0	0	0	0	988	717	143	108	0	67	0	369	0	0	0	0	0
51	BREMEN-WEST	HB	142929	125881	1875	1733	124006	124148	70742	66159	41137	38896	0	0	2785	6351	8149	11411	0	0	0	0	1060	830	133	106	0	86	0	309	0	0	0	0	0
52	BREMERHAVEN – BREMEN-NORD	HB	179778	156345	1722	1488	154623	154857	82952	79813	55908	52848	0	0	3842	8243	10703	12851	0	0	0	0	568	435	127	110	0	45	523	512	0	0	0	0	0
904	BREMEN	HB	523260	462122	5074	4438	457048	457684	239062	222935	169281	156603	0	0	12741	29876	32422	44576	0	0	0	0	2616	1982	403	324	0	198	523	1190	0	0	0	0	0
																																			
53	AACHEN	NW	160545	142255	1254	1045	141001	141210	62996	53591	70772	66239	0	0	2530	10378	4043	10351	0	0	0	0	166	160	0	27	0	23	251	235	0	0	243	206	0
54	KREIS AACHEN	NW	214362	194786	2013	1789	192773	192997	87519	84481	95536	91525	0	0	3877	8923	5274	7288	0	0	0	0	360	212	0	55	0	46	0	299	0	0	207	168	0
55	HEINSBERG	NW	155894	141792	1674	1413	140118	140379	44590	43276	87977	83800	0	0	2532	7606	4741	5253	0	0	0	0	278	132	0	36	0	30	0	179	0	0	0	67	0
56	DUEREN	NW	176380	159491	1589	1433	157902	158058	62067	59532	86274	82307	0	0	5083	9808	4199	5909	0	0	0	0	279	173	0	54	0	33	0	186	0	0	0	56	0
57	ERFTKREIS I	NW	208550	189130	1758	1401	187372	187729	90572	84194	88348	83701	0	0	3264	11330	4857	7903	0	0	0	0	331	220	0	45	0	28	0	251	0	0	0	57	0
58	EUSKIRCHEN – ERFTKREIS II	NW	207591	188630	2153	1685	186477	186945	66957	64347	103228	99572	0	0	9689	14759	6289	7740	0	0	0	0	314	193	0	55	0	40	0	191	0	0	0	48	0
59	KOELN I	NW	151879	129698	1024	814	128674	128884	62864	57599	54385	51034	0	0	3884	8285	6917	11250	0	0	0	0	510	335	114	76	0	28	0	245	0	0	0	32	0
60	KOELN II	NW	155705	137935	874	659	137061	137276	57988	51673	68787	60650	0	0	4400	14395	5459	10008	0	0	0	0	355	267	72	48	0	18	0	194	0	0	0	23	0
61	KOELN III	NW	186607	159401	1490	1143	157911	158258	79780	75557	66876	62393	0	0	3512	8969	7114	10461	0	0	0	0	464	351	165	92	0	52	0	336	0	0	0	47	0
62	KOELN IV	NW	174752	150000	1452	1005	148548	148995	77380	75297	60152	55879	0	0	3087	8105	7309	8946	0	0	0	0	496	320	124	85	0	50	0	272	0	0	0	41	0
63	BONN	NW	205667	185150	1707	1084	183443	184066	63538	57833	101154	90713	0	0	8650	21709	9505	13210	0	0	0	0	596	299	0	49	0	15	0	199	0	0	0	39	0
64	RHEIN-SIEG-KREIS I	NW	175045	158371	1445	1069	156926	157302	61478	57074	85954	80380	0	0	4223	11967	5020	7396	0	0	0	0	251	160	0	29	0	31	0	217	0	0	0	48	0
65	RHEIN-SIEG-KREIS II	NW	168952	153759	1380	1031	152379	152728	47050	43809	92991	84594	0	0	6029	16002	6072	7940	0	0	0	0	237	121	0	40	0	17	0	152	0	0	0	53	0
66	OBERBERGISCHER KREIS	NW	180732	162530	1244	1150	161286	161380	63418	60144	88787	81151	0	0	3623	11887	5180	7711	0	0	0	0	278	153	0	35	0	21	0	246	0	0	0	32	0
67	RHEINISCH-BERGISCHER KREIS I	NW	155109	140891	1100	799	139791	140092	51136	47756	78125	70388	0	0	4285	13290	5955	8164	0	0	0	0	290	188	0	31	0	19	0	204	0	0	0	52	0
68	LEVERKUSEN – RHEINISCH-BERGISCHER KREIS II	NW	148680	134020	1170	801	132850	133219	63578	59284	59687	56803	0	0	3473	9463	5823	7141	0	0	0	0	289	192	0	34	0	36	0	228	0	0	0	38	0
69	WUPPERTAL I	NW	146754	129841	982	729	128859	129112	59003	55027	57218	52641	0	0	6202	12104	5896	8584	0	0	0	0	540	407	0	25	0	18	0	268	0	0	0	38	0
70	WUPPERTAL II	NW	139638	123032	1052	807	121980	122225	59897	55363	52853	49050	0	0	3809	10080	4947	7001	0	0	0	0	474	366	0	26	0	20	0	280	0	0	0	39	0
71	SOLINGEN – REMSCHEID	NW	211420	185306	1646	1181	183660	184125	83786	78563	86622	80429	0	0	5711	14870	5970	8998	0	0	0	0	968	706	0	41	0	59	0	407	0	0	0	52	603
72	METTMANN I	NW	183700	165713	1203	987	164510	164726	73473	66205	80743	74484	0	0	3849	13715	6060	9575	0	0	0	0	385	271	0	41	0	32	0	352	0	0	0	51	0
73	METTMANN II	NW	167872	150673	1107	921	149566	149752	66238	63864	74133	66112	0	0	3108	11404	5538	7600	0	0	0	0	549	353	0	58	0	23	0	284	0	0	0	54	0
74	DUESSELDORF I	NW	232673	204830	1448	1123	203382	203707	86033	80895	101139	89791	0	0	7042	19067	8222	12783	0	0	0	0	788	615	158	94	0	47	0	349	0	0	0	66	0
75	DUESSELDORF II	NW	204505	178780	1452	1186	177328	177594	86119	81768	78674	73236	0	0	4459	11068	7201	10396	0	0	0	0	722	611	153	89	0	52	0	318	0	0	0	56	0
76	NEUSS I	NW	142545	127313	1070	806	126243	126507	51066	47245	68002	64352	0	0	2928	8313	3955	6034	0	0	0	0	292	205	0	38	0	25	0	253	0	0	0	42	0
77	NEUSS II	NW	152367	138142	1175	847	136967	137295	50749	47184	77497	71496	0	0	3942	11724	4533	6426	0	0	0	0	246	167	0	30	0	23	0	212	0	0	0	33	0
78	MOENCHENGLADBACH	NW	192339	163986	1536	1154	162450	162832	60436	58769	88485	84413	0	0	6423	11343	6579	7634	0	0	0	0	527	299	0	53	0	32	0	234	0	0	0	55	0
79	KREFELD	NW	171562	148901	1314	921	147587	147980	64246	61479	74571	67150	0	0	3258	11211	5123	7520	0	0	0	0	389	273	0	32	0	41	0	243	0	0	0	31	0
80	VIERSEN	NW	194226	171913	1633	1313	170280	170600	62329	59712	96294	90302	0	0	4513	12190	6498	7806	0	0	0	0	349	220	0	43	0	23	297	259	0	0	0	45	0
81	KLEVE	NW	185807	167029	1736	1388	165293	165641	54965	52752	99579	95463	0	0	3888	9699	6611	7334	0	0	0	0	250	153	0	30	0	18	0	156	0	0	0	36	0
82	WESEL I	NW	160492	144418	1031	954	143387	143464	71469	66236	62968	60776	0	0	3916	9259	4699	6750	0	0	0	0	335	209	0	41	0	18	0	148	0	0	0	27	0
83	WESEL II	NW	153458	138825	1028	953	137797	137872	78104	72484	52871	51641	0	0	2627	6960	3821	6221	0	0	0	0	270	183	104	82	0	32	0	240	0	0	0	29	0
84	DUISBURG I	NW	211874	187763	1573	1237	186190	186526	105522	102639	69405	66008	0	0	3005	7742	7387	9044	0	0	0	0	672	530	199	89	0	57	0	373	0	0	0	44	0
85	DUISBURG II	NW	193718	167180	1403	1073	165777	166107	103874	101833	53686	52024	0	0	2089	4785	5464	6639	0	0	0	0	525	375	139	67	0	61	0	281	0	0	0	42	0
86	OBERHAUSEN	NW	174322	153389	1749	978	151640	152411	87253	85719	56118	54466	0	0	2001	5151	5711	6437	0	0	0	0	557	302	0	26	0	36	0	227	0	0	0	47	0
87	MUELHEIM	NW	142901	127748	968	677	126780	127071	68543	65483	50103	46218	0	0	2529	8340	5171	6431	0	0	0	0	434	297	0	36	0	18	0	206	0	0	0	42	0
88	ESSEN I	NW	165523	145381	1134	827	144247	144554	80933	78217	55100	52923	0	0	2078	5706	5469	6979	0	0	0	0	552	394	115	79	0	46	0	174	0	0	0	36	0
89	ESSEN II	NW	144872	125050	1031	772	124019	124278	78652	76558	39598	38552	0	0	1288	3506	3804	4951	0	0	0	0	584	398	93	55	0	38	0	190	0	0	0	30	0
90	ESSEN III	NW	195966	174803	1252	919	173551	173884	79625	75840	80151	73074	0	0	4580	13512	7713	10642	0	0	0	0	602	468	95	57	0	37	0	224	0	0	0	30	785
91	RECKLINGHAUSEN I	NW	176762	158058	1447	1053	156611	157005	84403	82537	62391	60300	0	0	2200	6050	7139	7457	0	0	0	0	478	282	0	43	0	40	0	251	0	0	0	45	0
92	RECKLINGHAUSEN II	NW	191891	172691	1429	1049	171262	171642	86591	82911	73846	72157	0	0	3021	7574	7286	8277	0	0	0	0	518	288	0	46	0	58	0	274	0	0	0	57	0
93	GELSENKIRCHEN I	NW	140761	122539	1191	794	121348	121745	73032	72511	41010	39564	0	0	1463	3406	5065	5426	0	0	0	0	778	476	0	32	0	53	0	244	0	0	0	33	0
94	GELSENKIRCHEN II – RECKLINGHAUSEN III	NW	139487	123797	1127	767	122670	123030	71565	70297	43978	42124	0	0	1581	4206	4964	5679	0	0	0	0	582	357	0	37	0	36	0	270	0	0	0	24	0
95	BOTTROP – RECKLINGHAUSEN IV	NW	150386	135339	911	779	134428	134560	77170	75252	49446	48566	0	0	1634	4230	4186	5272	0	0	0	0	1739	928	0	21	0	47	253	228	0	0	0	16	0
96	BORKEN	NW	213065	195501	1664	1331	193837	194170	54086	50149	130357	125216	0	0	3124	10719	5956	7653	0	0	0	0	314	176	0	24	0	23	0	169	0	0	0	41	0
97	COESFELD – STEINFURT I	NW	193376	178847	1616	1211	177231	177636	49993	47840	116103	108980	0	0	3356	11288	7516	9196	0	0	0	0	263	122	0	32	0	9	0	129	0	0	0	40	0
98	STEINFURT II	NW	203909	186006	1658	1298	184348	184708	73946	69480	98910	93001	0	0	4233	12091	6718	9638	0	0	0	0	321	197	0	27	0	24	220	214	0	0	0	36	0
99	MUENSTER	NW	181664	163902	1364	861	162538	163041	58672	54286	84200	77006	0	0	6393	15607	12535	15455	0	0	0	0	738	421	0	39	0	27	0	168	0	0	0	32	0
100	WARENDORF	NW	178543	163479	1468	1240	162011	162239	55400	53411	94656	89354	0	0	4974	10392	5970	8358	0	0	0	0	753	377	0	28	0	36	258	256	0	0	0	27	0
101	GUETERSLOH	NW	205877	187334	1741	1361	185593	185973	63094	59067	109678	101770	0	0	5084	14093	7194	10473	0	0	0	0	277	184	0	35	0	24	0	259	0	0	0	68	266
102	BIELEFELD	NW	230505	208060	2212	1944	205848	206116	90827	85635	96021	88049	0	0	6136	15923	11809	15499	0	0	0	0	602	391	0	44	0	62	453	447	0	0	0	66	0
103	HERFORD	NW	178715	162617	1995	1701	160622	160916	74561	71987	75063	68728	0	0	4268	11140	5966	8375	0	0	0	0	244	148	0	37	0	25	520	431	0	0	0	45	0
104	MINDEN-LUEBBECKE	NW	222722	199711	2328	1952	197383	197759	94400	88304	89591	83833	0	0	6512	15581	6468	9310	0	0	0	0	412	282	0	46	0	45	0	303	0	0	0	55	0
105	LIPPE I	NW	158155	143842	1406	1360	142436	142482	65332	61861	65930	60020	0	0	4893	11979	5613	7999	0	0	0	0	305	180	0	35	0	26	363	339	0	0	0	43	0
106	HOEXTER – LIPPE II	NW	196983	179080	1721	1388	177359	177692	60377	57430	104069	97182	0	0	5281	13503	7376	9047	0	0	0	0	256	142	0	45	0	28	0	261	0	0	0	54	0
107	PADERBORN	NW	161047	145641	1179	809	144462	144832	35124	33384	99735	95721	0	0	3928	8680	5490	6629	0	0	0	0	185	119	0	46	0	20	0	171	0	0	0	62	0
108	HAGEN	NW	164243	145678	1321	980	144357	144698	70236	69366	63532	58827	0	0	3353	7936	6259	7663	0	0	0	0	464	306	0	22	0	42	513	487	0	0	0	49	0
109	ENNEPE-RUHR-KREIS I	NW	183895	167775	1222	1089	166553	166686	83972	81042	70554	64651	0	0	3978	11037	6827	8909	0	0	0	0	805	529	0	37	0	45	417	390	0	0	0	46	0
110	BOCHUM I	NW	198972	176795	1201	1049	175594	175746	99641	96518	64858	61998	0	0	2616	6811	7550	9538	0	0	0	0	539	388	0	46	0	48	390	352	0	0	0	47	0
111	BOCHUM II – ENNEPE-RUHR-KREIS II	NW	193548	174201	1481	1220	172720	172981	101041	97388	59294	56014	0	0	3062	7956	8782	10761	0	0	0	0	541	374	0	45	0	44	0	346	0	0	0	53	0
112	HERNE	NW	137519	121559	903	789	120656	120770	73565	71651	40743	39494	0	0	1189	3463	4365	5407	0	0	0	0	391	290	0	29	0	30	403	373	0	0	0	33	0
113	DORTMUND I	NW	151742	132103	1181	902	130922	131201	71889	69703	48616	46462	0	0	2478	5368	7119	8648	0	0	0	0	683	498	137	87	0	66	0	344	0	0	0	25	0
114	DORTMUND II	NW	139076	124149	1081	834	123068	123315	74882	73257	41643	39670	0	0	1357	3868	4599	5795	0	0	0	0	453	345	134	98	0	39	0	212	0	0	0	31	0
115	DORTMUND III	NW	167909	151600	1275	991	150325	150609	83254	80227	55773	52017	0	0	3090	8192	7543	9350	0	0	0	0	532	383	133	80	0	54	0	271	0	0	0	35	0
116	UNNA I	NW	186196	170066	1460	1320	168606	168746	92703	89382	64718	61443	0	0	3766	8679	6522	8401	0	0	0	0	401	279	0	53	0	31	496	445	0	0	0	33	0
117	HAMM – UNNA II	NW	230321	207452	1912	1447	205540	206005	99109	99330	94938	87797	0	0	2798	9364	7790	8585	0	0	0	0	430	322	0	43	0	37	475	477	0	0	0	50	0
118	SOEST	NW	192992	174616	1473	1267	173143	173349	63615	61134	97428	90631	0	0	4374	12309	6970	8605	0	0	0	0	301	173	0	36	0	52	455	380	0	0	0	29	0
119	HOCHSAUERLANDKREIS	NW	195879	179759	1445	1264	178314	178495	55682	53121	112241	106960	0	0	4618	10730	5533	7246	0	0	0	0	240	144	0	40	0	21	0	196	0	0	0	37	0
