Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GRÜNE	GRÜNE	BWK	BWK	C.B.V.	C.B.V.	DKP	DKP	E A P	E A P	KPD	KPD	NPD	NPD	OE D P	OE D P	U S D	U S D	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																			
120	SIEGEN I	NW	165402	149014	1298	1082	147716	147932	63513	61257	74673	68814	0	0	4140	10321	5025	6854	0	0	0	0	365	224	0	44	0	24	0	325	0	0	0	69	0
121	OLPE – SIEGEN II	NW	136351	125630	1005	861	124625	124769	42208	40576	76165	72121	0	0	2443	7206	3545	4495	0	0	0	0	264	135	0	14	0	21	0	163	0	0	0	38	0
122	MAERKISCHER KREIS I	NW	154788	138343	1123	965	137220	137378	53055	51573	75240	69783	0	0	2535	8526	5758	6828	0	0	0	0	189	117	0	24	0	28	443	460	0	0	0	39	0
123	MAERKISCHER KREIS II	NW	158939	141335	1216	1005	140119	140330	65319	61071	65922	62829	0	0	3778	9559	4349	6066	0	0	0	0	292	210	0	32	0	33	459	487	0	0	0	43	0
905	NORDRHEIN-WESTFALEN	NW	12576604	11254374	98904	78037	11155470	11176337	5017483	4782220	5386165	5046812	0	0	273042	716412	435916	581350	0	0	0	0	32159	21065	1935	3270	0	2441	6666	19434	0	0	450	3333	1654
																																			
124	WALDECK	HE	150650	138234	1535	1155	136699	137079	66501	63461	60747	55617	0	0	4373	11388	4483	6080	0	0	0	0	197	162	0	36	0	0	398	335	0	0	0	0	0
125	KASSEL	HE	176859	159747	1456	1266	158291	158481	81401	76957	64055	58395	0	0	4984	11512	7200	10864	0	0	0	0	517	434	134	92	0	0	0	227	0	0	0	0	0
126	WERRA-MEISSNER	HE	158898	147291	1655	1134	145636	146157	78626	76246	58121	53756	0	0	3500	9036	5109	6687	0	0	0	0	280	202	0	55	0	0	0	175	0	0	0	0	0
127	SCHWALM-EDER	HE	144590	133062	1167	1062	131895	132000	63491	61704	59118	54039	0	0	3973	9803	5060	6009	0	0	0	0	253	168	0	64	0	0	0	213	0	0	0	0	0
128	HERSFELD	HE	159952	148662	2373	1442	146289	147220	68723	66332	69342	65561	0	0	3128	8591	4823	6210	0	0	0	0	273	189	0	37	0	0	0	300	0	0	0	0	0
129	MARBURG	HE	163887	148014	1568	1228	146446	146786	66185	62533	69664	64116	0	0	2266	9158	7269	9950	0	0	0	0	1062	711	0	46	0	0	0	272	0	0	0	0	0
130	LAHN-DILL	HE	196632	173198	1409	1246	171789	171952	79866	75941	81228	75765	0	0	4060	11518	5749	7877	0	0	0	0	320	264	0	68	0	0	566	519	0	0	0	0	0
131	GIESSEN	HE	190180	172720	1924	1578	170796	171142	76062	72017	81044	74133	0	0	5050	13784	7588	10303	0	0	0	0	476	386	115	100	0	0	461	419	0	0	0	0	0
132	FULDA	HE	213990	195344	2947	1840	192397	193504	61702	59865	118833	113154	0	0	5264	12739	6151	7040	0	0	0	0	447	342	0	68	0	0	0	296	0	0	0	0	0
133	HOCHTAUNUS	HE	219595	200814	1975	1483	198839	199331	76263	70759	106420	93906	0	0	6869	22033	8281	11766	0	0	0	0	330	247	124	108	0	0	552	512	0	0	0	0	0
134	WETTERAU	HE	188381	170691	1616	1406	169075	169285	74791	71339	82444	75375	0	0	4391	13126	6392	8492	0	0	0	0	281	201	0	62	0	0	776	690	0	0	0	0	0
135	RHEINGAU-TAUNUS – LIMBURG	HE	191522	173000	1926	1607	171074	171393	65895	62268	93363	86575	0	0	4574	13271	6589	8630	0	0	0	0	226	173	0	69	0	0	427	407	0	0	0	0	0
136	WIESBADEN	HE	196255	168648	1906	1383	166742	167265	76021	69914	77619	71197	0	0	4917	14297	7610	10989	0	0	0	0	360	265	215	167	0	0	0	436	0	0	0	0	0
137	HANAU	HE	216257	194591	1653	1545	192938	193046	85130	79756	94982	87541	0	0	4335	13746	7641	10906	0	0	0	0	637	548	213	165	0	0	0	384	0	0	0	0	0
138	FRANKFURT AM MAIN I – MAIN-TAUNUS	HE	172805	153556	1274	1250	152282	152306	65510	61891	74369	67539	0	0	4678	12149	6621	9705	0	0	0	0	409	345	114	106	0	0	581	571	0	0	0	0	0
139	FRANKFURT AM MAIN II	HE	157390	136473	1343	1059	135130	135414	56317	51625	64956	57580	0	0	4204	12138	8898	13079	0	0	0	0	608	496	147	103	0	0	0	393	0	0	0	0	0
140	FRANKFURT AM MAIN III	HE	156904	136066	1441	1215	134625	134851	59221	54234	61630	56150	0	0	3734	10269	9315	13129	0	0	0	0	557	426	168	123	0	0	0	520	0	0	0	0	0
141	GROSS-GERAU	HE	207018	189403	1927	1610	187476	187793	83516	78584	86283	79806	0	0	4674	13166	11545	15031	0	0	0	0	634	435	154	145	0	0	670	626	0	0	0	0	0
142	OFFENBACH	HE	206293	185030	2253	1563	182777	183467	79263	73812	88783	81255	0	0	4716	14926	9308	12495	0	0	0	0	510	420	197	140	0	0	0	419	0	0	0	0	0
143	DARMSTADT	HE	198841	178702	2732	1635	175970	177067	81157	76181	76504	71075	0	0	6208	14232	11212	14630	0	0	0	0	666	425	223	153	0	0	0	371	0	0	0	0	0
144	ODENWALD	HE	224716	205931	2800	2266	203131	203665	88527	83087	100439	94690	0	0	4621	13632	8228	11105	0	0	0	0	630	506	164	155	0	0	522	490	0	0	0	0	0
145	BERGSTRASSE	HE	180376	163895	1785	1590	162110	162305	69149	64943	82802	77416	0	0	3535	11273	5871	7921	0	0	0	0	298	264	0	62	0	0	455	426	0	0	0	0	0
906	HESSEN	HE	4071991	3673072	40665	31563	3632407	3641509	1603317	1513449	1752746	1614641	0	0	98054	275787	160943	218898	0	0	0	0	9971	7609	1968	2124	0	0	5408	9001	0	0	0	0	0
																																			
146	NEUWIED	RP	216359	197337	3443	3124	193894	194213	78315	74770	104041	98094	0	0	5641	12775	5591	7989	0	0	0	0	306	218	0	113	0	0	0	254	0	0	0	0	0
147	AHRWEILER	RP	169063	153547	3463	1811	150084	151736	47727	46730	94296	89804	0	0	3474	9246	4372	5574	0	0	0	0	215	155	0	77	0	0	0	150	0	0	0	0	0
148	KOBLENZ	RP	181255	163074	3634	2357	159440	160717	61869	58469	87445	83015	0	0	4610	11499	5257	7264	0	0	0	0	259	176	0	84	0	0	0	210	0	0	0	0	0
149	COCHEM	RP	135158	123234	3989	1774	119245	121460	35836	34584	73258	71717	0	0	6032	9771	3939	5016	0	0	0	0	180	127	0	68	0	0	0	177	0	0	0	0	0
150	KREUZNACH	RP	183921	165038	4096	2830	160942	162208	75431	72497	72195	67886	0	0	6813	13908	5575	7078	0	0	0	0	425	315	0	71	0	0	503	453	0	0	0	0	0
151	BITBURG	RP	156416	141053	3460	3125	137593	137928	33679	33402	96130	90517	0	0	3271	8289	4286	5278	0	0	0	0	227	141	0	96	0	0	0	205	0	0	0	0	0
152	TRIER	RP	172017	153713	3616	3072	150097	150641	54781	52310	86038	81674	0	0	3417	8858	5600	7281	0	0	0	0	261	193	0	109	0	0	0	216	0	0	0	0	0
153	MONTABAUR	RP	221877	201172	3672	3285	197500	197887	80659	77587	104502	98694	0	0	5895	12780	6142	8150	0	0	0	0	302	243	0	121	0	0	0	312	0	0	0	0	0
154	MAINZ	RP	212062	191967	3554	2686	188413	189281	80429	74656	92351	84755	0	0	6805	17188	8210	11746	0	0	0	0	459	360	159	147	0	0	0	429	0	0	0	0	0
155	WORMS	RP	165382	149818	2809	2885	147009	146933	69452	66592	66135	61041	0	0	5517	11822	4811	6481	0	0	0	0	395	303	0	75	0	0	699	619	0	0	0	0	0
156	FRANKENTHAL	RP	139920	127580	3631	2355	123949	125225	61855	56709	56168	52974	0	0	4883	8880	0	5743	0	0	0	0	447	252	0	95	0	0	596	572	0	0	0	0	0
157	LUDWIGSHAFEN	RP	158238	142202	2391	2540	139811	139662	66650	64216	64849	59198	0	0	3066	8732	4671	6654	0	0	0	0	412	380	163	141	0	0	0	341	0	0	0	0	0
158	NEUSTADT – SPEYER	RP	167314	152398	3411	2777	148987	149621	59465	56738	78906	74149	0	0	4637	10804	5544	7143	0	0	0	0	435	308	0	80	0	0	0	399	0	0	0	0	0
159	KAISERSLAUTERN	RP	211551	188176	4612	3889	183564	184287	89764	85974	80376	77709	0	0	4933	10294	7000	8827	0	0	0	0	493	391	0	135	0	0	998	957	0	0	0	0	0
160	PIRMASENS	RP	148489	133543	3301	2802	130242	130741	51505	49832	70127	66729	0	0	3866	8132	3820	5087	0	0	0	0	235	209	0	96	0	0	689	656	0	0	0	0	0
161	LANDAU	RP	177587	162414	4758	3283	157656	159131	60835	54648	87860	83930	0	0	7734	11680	0	7874	0	0	0	0	488	222	0	101	0	0	739	676	0	0	0	0	0
907	RHEINLAND-PFALZ	RP	2816609	2546266	57840	44595	2488426	2501671	1008252	959714	1314677	1241886	0	0	80594	174658	74818	113185	0	0	0	0	5539	3993	322	1609	0	0	4224	6626	0	0	0	0	0
																																			
162	STUTTGART-SUED	BW	185040	162615	1613	1152	161002	161463	63075	56109	79458	67843	0	0	8422	21797	9486	14858	0	28	0	0	426	299	135	84	0	0	0	445	0	0	0	0	0
163	STUTTGART-NORD	BW	192817	168907	1916	1267	166991	167640	73907	67235	77302	70727	0	0	7506	16886	7517	11542	47	67	0	0	519	424	193	136	0	0	0	623	0	0	0	0	0
164	BOEBLINGEN	BW	207361	186044	2171	1709	183873	184335	62368	56000	104359	93108	0	0	7397	20879	9393	13601	0	12	0	0	356	169	0	69	0	0	0	497	0	0	0	0	0
165	ESSLINGEN	BW	151502	137087	1306	1054	135781	136033	57093	45635	68858	67220	0	0	4817	13336	4737	9177	0	62	0	0	276	208	0	53	0	0	0	342	0	0	0	0	0
166	NUERTINGEN	BW	160730	143856	1633	1241	142223	142615	47592	43322	80920	72947	0	0	5624	15454	7830	10155	0	10	0	0	257	177	0	68	0	0	0	482	0	0	0	0	0
167	GOEPPINGEN	BW	163676	146167	2037	2559	144130	143608	38302	48203	68559	72513	0	0	4384	13795	4109	8131	0	20	0	0	230	191	0	125	0	0	0	630	0	0	0	0	28546
168	WAIBLINGEN	BW	188460	167089	2451	1771	164638	165318	58512	54372	89233	78976	0	0	8647	19904	7898	11343	0	20	0	0	348	183	0	78	0	0	0	442	0	0	0	0	0
169	LUDWIGSBURG	BW	181084	162165	1527	1465	160638	160700	58467	54660	89161	75540	0	0	5286	18361	6871	11266	0	12	0	0	206	152	0	77	0	0	647	632	0	0	0	0	0
170	NECKAR-ZABER	BW	157679	140844	1837	1610	139007	139234	51710	47515	74521	65459	0	0	6668	16365	5817	9098	0	16	0	0	291	153	0	70	0	0	0	558	0	0	0	0	0
171	HEILBRONN	BW	212905	187960	2354	2043	185606	185917	74229	66161	97221	88433	0	0	5997	18139	7808	12171	0	35	0	0	351	215	0	94	0	0	0	669	0	0	0	0	0
172	SCHWAEBISCH HALL	BW	175134	149976	2421	1578	147555	148398	51045	45069	86334	75868	0	0	8833	16947	0	9524	0	18	0	0	569	268	0	78	0	0	774	626	0	0	0	0	0
173	BACKNANG – SCHWAEBISCH GMUEND	BW	150117	131333	1524	1398	129809	129935	41897	39921	76896	68676	0	0	3936	12371	6768	8315	0	8	0	0	312	178	0	51	0	0	0	415	0	0	0	0	0
174	AALEN – HEIDENHEIM	BW	203318	182434	2247	1725	180187	180709	61933	58573	105406	98738	0	0	4495	12433	7870	10061	0	23	0	0	483	347	0	69	0	0	0	465	0	0	0	0	0
175	KARLSRUHE-STADT	BW	192035	165428	2064	1662	163364	163766	68255	59158	80039	75446	0	0	5951	14996	7942	13143	0	27	0	0	503	329	122	113	0	0	552	554	0	0	0	0	0
176	KARLSRUHE-LAND	BW	214561	192218	3149	2848	189069	189370	58674	56886	116039	107811	0	0	5216	13298	8083	10431	0	19	0	0	344	189	0	93	0	0	713	643	0	0	0	0	0
177	RASTATT	BW	235064	206753	3610	2938	203143	203815	60993	58915	125846	117959	0	0	6563	14941	9323	11133	0	16	0	0	418	246	0	125	0	0	0	480	0	0	0	0	0
178	HEIDELBERG	BW	171976	152977	1895	1494	151082	151483	63656	55551	73886	67501	0	0	4924	13449	7672	14152	100	38	0	0	317	228	0	56	0	0	527	508	0	0	0	0	0
179	MANNHEIM I	BW	143754	123294	1097	1085	122197	122209	59875	56432	53084	49431	0	0	2499	7394	5194	7643	83	60	0	0	848	647	0	41	0	0	614	561	0	0	0	0	0
180	MANNHEIM II	BW	154673	139790	1506	1322	138284	138468	58751	53207	68928	62585	0	0	4193	12543	6015	9265	0	22	0	0	397	271	0	66	0	0	0	509	0	0	0	0	0
181	ODENWALD – TAUBER	BW	190482	169122	3157	1984	165965	167138	49978	43569	108835	101839	0	0	6585	12488	0	8611	0	17	0	0	567	158	0	75	0	0	0	381	0	0	0	0	0
182	RHEIN-NECKAR	BW	160105	144777	2108	1703	142669	143074	52664	47290	79160	73912	0	0	4676	11940	5887	9335	0	13	0	0	282	155	0	73	0	0	0	356	0	0	0	0	0
183	PFORZHEIM	BW	192293	168757	2886	2154	165871	166603	61729	56944	89428	82499	0	0	5260	14608	9093	11686	0	12	0	0	361	223	0	97	0	0	0	534	0	0	0	0	0
184	CALW	BW	162476	141876	1808	1568	140068	140308	40670	37562	87102	78416	0	0	4723	14761	6602	8787	0	9	0	0	360	144	0	57	0	0	611	572	0	0	0	0	0
185	FREIBURG	BW	192426	169666	1899	1552	167767	168114	66249	56088	84669	77216	0	0	4347	13370	11198	20765	134	69	0	0	500	248	0	65	0	0	357	293	0	0	0	0	313
186	LOERRACH – MUELLHEIM	BW	185037	159622	2419	2077	157203	157545	58456	53590	84333	78286	0	0	5503	12504	7971	12284	0	21	0	0	357	268	0	61	0	0	583	531	0	0	0	0	0
187	EMMENDINGEN – LAHR	BW	185826	161029	3060	2491	157969	158538	54050	50755	88649	83940	0	0	5082	11322	9815	11973	0	27	0	0	373	238	0	69	0	0	0	214	0	0	0	0	0
188	OFFENBURG	BW	172500	149471	2255	2224	147216	147247	44798	41793	91865	85354	0	0	4368	10763	5951	8728	0	10	0	0	234	166	0	63	0	0	0	370	0	0	0	0	0
189	ROTTWEIL	BW	173483	154679	2132	1867	152547	152812	41626	39368	97571	92010	0	0	5901	12917	6330	7527	0	24	0	0	212	164	0	70	0	0	907	732	0	0	0	0	0
190	SCHWARZWALD-BAAR	BW	139711	122120	1625	1367	120495	120753	33454	33403	75821	68264	0	0	3573	10517	6294	7475	0	17	0	0	169	120	0	71	0	0	1184	886	0	0	0	0	0
191	KONSTANZ	BW	163968	142129	1826	1461	140303	140668	41486	39666	85097	78439	0	0	4326	11783	9016	10072	0	35	0	0	378	223	0	75	0	0	0	375	0	0	0	0	0
192	WALDSHUT	BW	126075	109490	1468	1348	108022	108142	31366	28174	67779	63387	0	0	3381	9219	5276	6858	0	11	0	0	220	167	0	67	0	0	0	259	0	0	0	0	0
193	REUTLINGEN	BW	166893	148849	2312	1470	146537	147379	45078	43358	85415	79633	0	0	9270	13958	6355	9632	0	23	0	0	419	227	0	77	0	0	0	471	0	0	0	0	0
194	TUEBINGEN	BW	140860	126631	1661	1113	124970	125518	42391	36695	71392	65697	0	0	3268	10568	7233	11976	0	17	0	0	256	161	0	54	0	0	430	350	0	0	0	0	0
195	ULM	BW	182522	163443	2141	1745	161302	161698	47092	45532	99151	92310	0	0	4974	12926	8828	9817	0	8	0	0	316	233	185	150	0	0	756	722	0	0	0	0	0
196	BIBERACH	BW	190118	170818	2280	1862	168538	168956	27971	27447	126569	120443	0	0	4015	10835	9141	9619	0	9	0	0	231	136	0	64	0	0	611	403	0	0	0	0	0
197	RAVENSBURG – BODENSEE	BW	203284	180983	2100	1600	178883	179383	44164	40462	117005	110855	0	0	7108	15259	10312	12161	0	41	0	0	294	151	0	101	0	0	0	353	0	0	0	0	0
198	ZOLLERNALB – SIGMARINGEN	BW	174850	155171	1655	1478	153516	153693	35971	32891	107154	101240	0	0	3085	11356	6582	7548	0	24	0	0	216	129	0	83	0	0	508	422	0	0	0	0	0
908	BADEN-WUERTTEMBERG	BW	6544795	5785570	77150	62985	5708420	5722585	1929527	1777511	3263045	3010521	0	0	200803	514382	262217	389863	364	900	0	0	13196	8185	635	2918	0	0	9774	18305	0	0	0	0	28859
																																			
199	ALTOETTING	BY	208787	185170	1995	1333	183175	183837	46139	43336	0	0	123109	120201	6358	11587	6851	7498	0	16	0	360	180	144	0	46	0	0	538	378	0	271	0	0	0
200	FREISING	BY	206467	181892	2332	1388	179560	180504	44310	42215	0	0	122839	118442	4954	10791	6670	7785	0	20	0	351	235	120	0	37	0	0	552	372	0	371	0	0	0
201	FUERSTENFELDBRUCK	BY	195899	174846	2497	1588	172349	173258	51214	50676	0	0	105993	99195	5946	13146	8523	9140	0	19	0	266	224	130	0	53	0	0	0	351	0	282	0	0	449
202	INGOLSTADT	BY	192130	169515	1544	1332	167971	168183	43917	43268	0	0	115488	110481	3243	8063	4312	5255	0	12	0	251	500	238	0	34	0	0	511	390	0	191	0	0	0
203	MUENCHEN-MITTE	BY	124955	102846	1105	582	101741	102264	44800	40506	0	0	44137	42071	4041	7758	8231	10963	0	26	0	183	347	258	185	70	0	0	0	267	0	162	0	0	0
204	MUENCHEN-NORD	BY	170460	143140	1555	815	141585	142325	64130	59135	0	0	64845	60816	5085	10935	6753	10245	171	47	0	222	381	269	220	84	0	0	0	372	0	200	0	0	0
205	MUENCHEN-OST	BY	182766	154927	1686	857	153241	154070	63453	58406	0	0	74819	69753	6762	13475	7567	11026	0	33	0	301	412	285	228	92	0	0	0	438	0	261	0	0	0
206	MUENCHEN-SUED	BY	178124	153227	2008	781	151219	152446	63722	58107	0	0	67059	68399	11831	14325	7922	10308	0	20	0	277	387	264	298	83	0	0	0	406	0	257	0	0	0
207	MUENCHEN-WEST	BY	159426	137461	1319	787	136142	136674	53534	50773	0	0	69010	63283	6128	12338	6578	9107	0	28	0	229	286	219	112	89	0	0	494	386	0	222	0	0	0
208	MUENCHEN-LAND	BY	170402	153716	1607	845	152109	152871	53462	47372	0	0	82729	77001	8705	17375	6504	9950	0	10	0	229	168	113	0	43	0	0	541	421	0	357	0	0	0
209	ROSENHEIM	BY	170745	149645	1606	1072	148039	148573	40219	36081	0	0	97442	95117	4489	9429	5646	6748	0	13	0	370	243	109	0	33	0	0	0	300	0	373	0	0	0
210	STARNBERG	BY	210994	187960	1438	973	186522	186987	46511	45526	0	0	118663	110921	10921	19312	9568	9869	0	8	0	332	196	124	0	49	0	0	663	436	0	410	0	0	0
211	TRAUNSTEIN	BY	177720	156803	2046	1310	154757	155493	37280	34876	0	0	106181	101686	4642	10368	6380	7263	0	13	0	329	274	152	0	40	0	0	0	442	0	324	0	0	0
212	WEILHEIM	BY	197225	174396	1888	1483	172508	172913	41128	39272	0	0	118601	113172	5633	12093	6406	7197	0	9	0	312	267	146	0	39	0	0	473	395	0	278	0	0	0
213	DEGGENDORF	BY	133348	111027	1159	885	109868	110142	23886	23270	0	0	80909	78770	1712	4112	2800	3325	0	6	0	143	135	60	0	31	0	0	426	281	0	144	0	0	0
214	LANDSHUT	BY	192532	167411	2848	1479	164563	165932	40316	40160	0	0	109083	108592	8384	9953	5608	5960	0	20	0	292	376	173	0	47	0	0	796	544	0	191	0	0	0
215	PASSAU	BY	155458	132899	1442	1238	131457	131661	33441	32250	0	0	90566	88276	2132	5477	4743	4911	0	15	0	165	115	65	0	23	0	0	460	354	0	125	0	0	0
216	ROTTAL-INN	BY	136437	117379	1364	1173	116015	116206	26286	24852	0	0	82483	81619	3254	5375	3478	3648	0	4	0	163	131	77	0	17	0	0	383	311	0	140	0	0	0
217	STRAUBING	BY	151409	126204	1616	1201	124588	125003	28838	28907	0	0	88811	85990	2249	5560	3810	3584	0	15	679	421	201	126	0	22	0	0	0	220	0	158	0	0	0
218	AMBERG	BY	181241	161406	1831	1385	159575	160021	40510	40146	0	0	108911	104337	3894	8288	5937	6220	0	14	0	227	323	164	0	30	0	0	0	419	0	176	0	0	0
219	REGENSBURG	BY	195456	169357	1898	1443	167459	167914	46593	44788	0	0	108427	105441	3585	8543	7048	7820	0	15	0	275	310	184	0	36	0	0	588	449	908	363	0	0	0
220	SCHWANDORF	BY	192615	166025	2428	2206	163597	163819	46522	42544	0	0	106770	106962	3000	6182	4530	6341	0	15	1389	786	384	188	0	27	0	0	0	270	1002	504	0	0	0
221	WEIDEN	BY	164679	148018	1901	1511	146117	146507	46354	45480	0	0	92517	89772	2365	6104	4665	4376	0	16	0	173	216	105	0	26	0	0	0	308	0	147	0	0	0
222	BAMBERG	BY	191518	169515	2035	1320	167480	168195	43579	41045	0	0	112772	110497	4476	9272	6341	6354	0	22	0	269	312	160	0	38	0	0	0	340	0	198	0	0	0
223	BAYREUTH	BY	128352	113135	1116	770	112019	112365	37348	37743	0	0	69016	64312	2072	5866	2950	3674	0	4	0	100	194	127	0	19	0	0	439	344	0	176	0	0	0
224	COBURG	BY	159242	142382	1483	1181	140899	141201	55002	55853	0	0	78787	73414	3164	7263	3305	3946	0	10	0	77	133	107	0	23	0	0	508	394	0	114	0	0	0
225	HOF	BY	202796	177955	1570	1468	176385	176487	73808	72388	0	0	95566	89695	1807	7364	4419	5889	0	13	0	185	221	175	0	34	0	0	564	535	0	209	0	0	0
226	KULMBACH	BY	130128	116486	1541	936	114945	115550	34604	34730	0	0	74898	72297	2037	4638	2733	3172	0	2	0	96	179	99	0	24	0	0	494	378	0	114	0	0	0
227	ANSBACH	BY	146396	128031	1191	1034	126840	126997	34750	32932	0	0	82162	78545	4140	8693	4135	5668	0	5	0	92	218	111	0	16	0	0	537	467	898	468	0	0	0
228	ERLANGEN	BY	226837	202088	1842	1366	200246	200722	73898	70382	0	0	105733	101247	10406	15588	8629	11962	0	11	0	193	362	246	0	44	0	0	790	699	0	350	0	0	428
229	FUERTH	BY	233856	203664	2071	1929	201593	201735	69656	68228	0	0	116995	108594	5471	13131	7799	9864	0	12	0	210	478	297	0	89	0	0	1194	985	0	325	0	0	0
230	NUERNBERG-NORD	BY	175880	150261	1233	1015	149028	149246	59851	57143	0	0	73887	68742	4227	10601	9263	11008	0	12	0	221	424	365	0	44	0	0	843	714	533	396	0	0	0
231	NUERNBERG-SUED	BY	175781	150875	1477	1063	149398	149812	67250	64660	0	0	70325	67436	3421	7552	6926	8454	0	13	0	205	449	359	0	66	0	0	1027	818	0	249	0	0	0
232	ROTH	BY	166843	148571	1607	1121	146964	147450	42633	43137	0	0	95049	88342	2927	8204	5449	6701	0	13	0	174	252	166	0	27	0	0	654	503	0	183	0	0	0
233	ASCHAFFENBURG	BY	156373	137918	1748	1434	136170	136484	43636	41988	0	0	84298	80034	2318	6921	5698	6720	0	10	0	199	220	126	0	51	0	0	0	302	0	133	0	0	0
234	BAD KISSINGEN	BY	196866	177842	1700	1332	176142	176510	38199	37811	0	0	127652	121785	4605	10161	5002	5862	0	10	0	143	166	90	0	44	0	0	518	416	0	188	0	0	0
235	MAIN-SPESSART	BY	172146	155658	1880	1401	153778	154257	43661	41995	0	0	100951	96813	2806	7822	5679	6749	0	12	0	161	217	147	0	38	0	0	464	378	0	142	0	0	0
236	SCHWEINFURT	BY	180890	161754	1825	1282	159929	160472	47296	45401	0	0	101948	97923	3943	9172	5760	6661	0	25	0	158	168	119	0	33	0	0	814	686	0	294	0	0	0
237	WUERZBURG	BY	192655	172345	1986	1282	170359	171063	55369	53474	0	0	100742	97028	5212	10363	8147	9073	0	22	0	192	274	155	0	57	0	0	615	459	0	240	0	0	0
238	AUGSBURG-STADT	BY	176917	150537	1313	1104	149224	149433	54401	52723	0	0	83033	79350	3409	8026	7232	7806	0	15	0	351	246	157	0	36	0	0	903	734	0	235	0	0	0
239	AUGSBURG-LAND	BY	208549	185281	1687	1281	183594	184000	43056	41816	0	0	128378	123101	3819	10373	7558	7496	0	30	0	322	182	106	0	26	0	0	601	444	0	286	0	0	0
240	DONAU-RIES	BY	146109	128736	1760	1279	126976	127457	31076	28962	0	0	86110	85092	5396	7858	4213	4909	0	4	0	128	181	104	0	21	0	0	0	241	0	138	0	0	0
241	NEU-ULM	BY	177476	154711	1635	1349	153076	153362	40713	40334	0	0	102087	95070	3325	9776	6017	7015	0	14	0	241	187	113	0	38	0	0	747	622	0	139	0	0	0
242	OBERALLGAEU	BY	190389	166887	2214	1183	164673	165704	39939	40212	0	0	107751	104391	7230	11594	9453	8372	0	24	0	300	300	135	0	45	0	0	0	358	0	273	0	0	0
243	OSTALLGAEU	BY	227715	200163	2464	1377	197699	198786	40432	39496	0	0	141268	136860	7044	12825	7284	8007	0	11	0	320	239	155	0	59	0	0	1432	782	0	271	0	0	0
909	BAYERN	BY	8012989	7020065	78491	55174	6941574	6964891	2096722	2014399	0	0	4318800	4140865	212568	433652	274522	323901	171	688	2068	10994	11893	7332	1043	1923	0	0	19569	20109	3341	11028	0	0	877
																																			
244	SAARBRUECKEN I	SL	158634	138098	1790	1529	136308	136569	67937	63360	58077	53201	0	0	4772	10960	4322	7936	0	0	0	0	589	533	146	135	0	0	465	444	0	0	0	0	0
245	SAARBRUECKEN II	SL	168744	153570	2261	2003	151309	151567	70675	67561	71371	67821	0	0	3866	8764	4240	6331	0	0	0	0	684	563	0	83	0	0	473	444	0	0	0	0	0
246	SAARLOUIS	SL	169869	155199	2235	2047	152964	153152	66309	62453	78255	73936	0	0	3515	9018	4441	6953	0	0	0	0	444	359	0	138	0	0	0	295	0	0	0	0	0
247	SANKT WENDEL	SL	169112	156624	2325	2084	154299	154539	67963	64441	79493	75862	0	0	2353	6804	3989	6612	0	0	0	0	501	437	0	101	0	0	0	282	0	0	0	0	0
248	HOMBURG	SL	174714	158395	2101	2034	156294	156361	74818	71621	70444	66179	0	0	3958	9388	5901	7957	0	0	0	0	667	613	0	112	0	0	506	491	0	0	0	0	0
910	SAARLAND	SL	841073	761886	10712	9697	751174	752188	347702	329436	357640	336999	0	0	18464	44934	22893	35789	0	0	0	0	2885	2505	146	569	0	0	1444	1956	0	0	0	0	0
																																			
999	BUNDESGEBIET OHNE BERLIN	Bund	44088935	39279529	434176	338841	38845353	38940687	15686033	14865807	15943460	14857680	4318800	4140865	1087918	2706942	1609855	2167431	686	2129	2068	10994	96143	64986	7491	14966	0	3431	57112	91095	3341	11028	450	3333	31996
