Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	FDP	FDP	DIE LINKE	DIE LINKE	GRÜNE	GRÜNE	CSU	CSU	NPD	NPD	REP	REP	FAMILIE	FAMILIE	Die Tierschutzpartei	Die Tierschutzpartei	PBC	PBC	MLPD	MLPD	BüSo	BüSo	BP	BP	PSG	PSG	Volksabstimmung	Volksabstimmung	ZENTRUM	ZENTRUM	ADM	ADM	CM	CM	DKP	DKP	DVU	DVU	DIE VIOLETTEN	DIE VIOLETTEN	FWD	FWD	ödp	ödp	PIRATEN	PIRATEN	RRP	RRP	RENTNER	RENTNER	Freie Union	Freie Union	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																		
212	Südpfalz	7	214215	156149	3719	3029	152430	153120	42287	34790	61994	52517	19431	26201	10926	13137	12637	15635			3230	2272		1980		1889				575		59																		134						609		3322							1925	
907	Rheinland-Pfalz	99	3103878	2233548	52988	40419	2180560	2193129	640617	520990	903528	767487	231938	364673	177323	205180	174941	211971			34514	26077	3631	18208	3140	22279				5823	210	650	304																	1729	833				2384	6334	3188	41728							4009	
																																																																		
213	Altötting	9	166775	112507	1738	1221	110769	111286	16724	14831			9508	13992	5362	5641	8477	8923	67284	57712	2045	1347		1086		789		650		99		20	1369	309		1297										143				63		251				1517		1896		720						
214	Erding - Ebersberg	9	185961	140360	2228	1157	138132	139203	24402	19106			16433	22094	6073	6265	17573	17458	67518	61088	1837	1018		1711		996		959		91		35		54		1434										114				60		289			3969	2453		2562		1416					327	
215	Freising	9	205531	149717	2123	1198	147594	148519	20791	19915			19711	21848	8247	8120	25408	18400	69229	66336	2558	1808		900		1021		988		155		31		43		1400										119				66		327				1878		3583	1650	1581						
216	Fürstenfeldbruck	9	249131	190298	2171	1570	188127	188728	35851	29734			20997	30319	7311	8969	20344	23583	91947	80517	2053	1536		895		1086		1350		157		37		74	3172	2027										141				105		417			3197	1902		3649	2462	2230					793	
217	Ingolstadt	9	252615	176318	2441	1617	173877	174701	26825	26877			14151	21566	10936	10717	14174	14283	99482	86686	3308	2588		1269		1157		999		227		34	661	120		1351										146				86		228			3874	2327		3448		592					466	
218	München-Nord	9	220785	158045	1459	1123	156586	156922	55691	31067			15766	28189	7773	10705	15307	27405	57161	48622	1531	1117		482		461		1019		96	123	70	217	95		751										85				73		306			1732	1283		4164		932					1285	
219	München-Ost	9	231017	170334	1469	1028	168865	169306	44917	32109			24022	31531	9109	10996	21722	27466	61412	55854	1286	1038		439		546		1099		106		51	221	127	1574	1079										83				74		352			2147	1283		3715	1616	1358					839	
220	München-Süd	9	211617	155666	1546	1000	154120	154666	43835	30403			17033	25600	8266	10603	20507	26219	58849	51064	1289	1073		503		493		1005		153		54	460	148		813										111				63		325			2097	1236		3624		1176					1784	
221	München-West/Mitte	9	231682	173138	1561	1086	171577	172052	47101	32308			20442	29355	9665	11587	24967	33340	63075	53814	1413	1029		498		528		1120		160		33	412	140		929										117				69		361			2623	1550		4045		1069					1879	
222	München-Land	9	233952	185115	1716	1110	183399	184005	35805	30776			24634	36208	6914	8318	24386	23433	83856	73273	1480	1099		775	1975	1099		1084		102		20		57		1016										78				86		322			2027	1467		3358	1636	1434			686			
223	Rosenheim	9	226483	161912	2087	1544	159825	160368	23041	20380			14745	23226	5967	7074	19499	18258	82305	74860	1172	1186	3455	2960		926		966		149		34	375	193	3612	2659										195				73		455			3905	2669		2503	1749	1602						
224	Starnberg	9	251039	190092	2523	1494	187569	188598	29651	24158			27350	36046	7215	7705	19809	23110	101261	83545	2283	1455		804		946		1214		143		33		73		1995										164				106		531				1765		2724		2081						
225	Traunstein	9	205115	142584	1966	1402	140618	141182	21406	17747			10142	18243	6156	7122	16188	16341	76741	68886	2063	1641		1420		727		864		245		16	608	139	2860	2163										249				71		325			2409	1927		1868	1296	1188			749			
226	Weilheim	9	249153	183832	2439	1704	181393	182128	25894	23512			19076	28911	7568	8897	21516	20871	94302	83058	1883	1501		835		1257		1128		219		28		57	3399	2740										193				91		489			4511	3277		3098	1921	1966					1323	
227	Deggendorf	9	154767	94922	1524	1049	93398	93873	15336	13611			11065	13485	6851	7536	6717	6189	49398	43628	3039	2190		1449		686		537		110		17		25		1213										112				46		187				1178		1160		514			992			
228	Landshut	9	246833	171065	2818	1584	168247	169481	25337	23634			22940	24031	9362	9554	17133	15002	84953	82466	3295	2373		1373		1152		1172		130		28		41		1397										155				80	1176	710			4051	2635		2843		705						
229	Passau	9	186068	118249	1536	1124	116713	117125	16573	17773			22069	18202	9217	9198	8767	9054	54275	52476	2600	2077		792		789		723		100		18		40		912										116				72		226			3212	2392		1618		547						
230	Rottal-Inn	9	162109	104487	2052	1227	102435	103260	17920	14151			10305	14359	4868	5742	5828	6786	54904	51702	1743	1761	1719	1388		674		599		59		20	522	124		1140										157				54		194			4626	2472		1392		486						
231	Straubing	9	173068	112708	1621	1345	111087	111363	24922	15817			8650	15232	5410	7257	4372	5925	61572	55844	2519	2085		1258		772		629		69		13		28		1232										93				47		171			3040	2831		1526		534					602	
232	Amberg	9	214616	153659	3314	1680	150345	151979	30587	25606			18922	19418	10544	10629	13833	12807	71148	68586	3818	2839		913		1284		965		234		37		62		1026										198				105		213				2083		3686	1493	1288						
233	Regensburg	9	243083	171002	1933	1455	169069	169547	35207	29375			21618	22998	10514	11453	14784	18343	75653	72120	2753	2297		1100		1037		1316		153		40		68		1078										129				101		430			4410	2772	2903	3566	1227	1171						
234	Schwandorf	9	216044	143939	2151	1957	141788	141982	34321	24828			11058	16553	9396	11310	6423	8580	72791	66951	3463	3020		1185		1225		966		159		22		49		1288										226				94		191			2830	2305		2269		761					1506	
235	Weiden	9	172011	124026	1859	2270	122167	121756	24261	24467			8664	14272	6567	9093	6031	8060	54891	54009	2994	3071		693		1132		872		108		21		33		1054										222				59		176			1563	1565		2207		642					17196	
236	Bamberg	9	177197	129049	1563	1170	127486	127879	26044	19553			13590	17523	7601	8316	11726	13512	62548	57433	1899	1759	2213	1937		1061		790		188		58		33	1562	770										138				55		244				754		3041		714					303	
237	Bayreuth	9	164344	117290	1654	974	115636	116316	23920	22018			9898	16066	6318	6865	13096	10937	58848	51124	1701	1593	1855	1520		818		690		293		20		30		414										131				50		181				595		2401		570						
238	Coburg	9	162834	115851	1784	1272	114067	114579	28882	26869			8805	13398	7475	8116	9380	8707	55174	49248	2775	2384		614		711		597		231		35		25		261										70				56		165			1234	697		2093		302					342	
239	Hof	9	180735	126096	2057	1735	124039	124361	33763	29265			9604	14036	9994	10550	9302	8678	57632	51661	3094	2458		916		999		1005		511		31		49		487										111				93		167				484		2248		612					650	
240	Kulmbach	9	173473	128501	1198	1384	127303	127117	18717	21863			4885	14520	6624	8038	5985	8731	86658	62880	3027	2682		1215		1045		827		259		25		48		546										112				59		185			1407	1091		2332		659						
241	Ansbach	9	243953	171989	2553	2119	169436	169870	37133	32847			17346	23222	9231	12176	14054	17294	80239	68128	3835	3023		1301		1520		1061		618		37		42		553										187				128		400			3658	2662	3248	3512		1159					692	
242	Erlangen	9	177261	135845	1335	1091	134510	134754	32269	28248			12736	20048	8275	8821	15036	18043	60685	48552	1596	1362		596	1946	1095		794		208		45		37		308										70				50		210			1686	1177		4096		994					281	
243	Fürth	9	249703	179941	2512	2030	177429	177911	44505	37820			15361	24978	13798	14667	17109	20314	76897	63392	3551	2714		1251		1512		1355		393		66		66		492										142				136		364				1610	4166	5035		1604			2042			
244	Nürnberg-Nord	9	189738	135154	1572	1190	133582	133964	41246	29751			10652	18528	10923	12554	15043	20934	48943	40094	2320	1835		611		620		1129		168	187	106		52		233										89				79		313				847	4268	4940		1081						
245	Nürnberg-Süd	9	184672	124786	1689	1371	123097	123415	37159	30766			10498	14592	10794	11698	10048	12210	47519	42645	3136	2548		752		776		946		209		62		44		267										85				80		262				753	2653	3220	1290	1500						
246	Roth	9	224946	171076	2256	1692	168820	169384	40464	36327			18809	23177	9610	11262	16521	19517	75280	64763	3289	2487		1474		1139		1162		359		28		42		495										120				94		361				1065	3205	3690	1642	1822						
247	Aschaffenburg	9	183872	135005	2840	2297	132165	132708	25143	23235			15185	20868	8072	8828	22717	15071	56491	53201	2716	1750		1791		1089		917		99		67		50		329										120				60		246			1841	979		2828		1180						
248	Bad Kissingen	9	219607	162052	2659	1900	159393	160152	28487	23712			13592	22188	13000	13717	14723	12475	85574	75708	3305	2504		1580		1339		804		259		33		56		495										196				70		264				1242		2807		703					712	
249	Main-Spessart	9	199081	147482	3186	2289	144296	145193	28659	25872			12858	20360	8817	9346	13649	14285	75542	63513	1620	1575	2230	1826		1205		1067	921	232		46		47		379										113				59		307				1087		2888		986						
