Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	FDP	FDP	DIE LINKE	DIE LINKE	GRÜNE	GRÜNE	CSU	CSU	NPD	NPD	REP	REP	FAMILIE	FAMILIE	Die Tierschutzpartei	Die Tierschutzpartei	PBC	PBC	MLPD	MLPD	BüSo	BüSo	BP	BP	PSG	PSG	Volksabstimmung	Volksabstimmung	ZENTRUM	ZENTRUM	ADM	ADM	CM	CM	DKP	DKP	DVU	DVU	DIE VIOLETTEN	DIE VIOLETTEN	FWD	FWD	ödp	ödp	PIRATEN	PIRATEN	RRP	RRP	RENTNER	RENTNER	Freie Union	Freie Union	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																		
258	Stuttgart I	8	184454	142504	1527	1120	140977	141384	25364	26656	48518	39482	14514	27557	6601	9439	42116	31076			1068	691		758				667		250		144	446	150						143				30						60		361				494	2350	3426								
259	Stuttgart II	8	181088	129259	1789	1539	127470	127720	33525	26675	44002	37151	13327	22059	10902	11437	21453	22916			1673	999		1365				756		263	322	253	373	128						217				43						62		336				444	1893	2616								
260	Böblingen	8	244919	185176	2730	2507	182446	182669	36550	34915	82344	61918	23717	38125	9657	11118	24138	25364			2914	2265		1273				1089		1085	328	197		68						346				49						88		356				552	2798	3861								
261	Esslingen	8	165210	125558	1711	1450	123847	124108	35396	25797	53829	41672	10819	22873	6225	7680	15511	19402			1768	1069		1601				582		275	299	148		68						239				50						40		210				351		2051								
262	Nürtingen	8	204091	154949	2431	1978	152518	152971	36910	28943	66116	51146	17768	31686	7973	8661	21104	22902			2647	1411		2651				787		701		88		94						502				100						59		275				413		2552								
263	Göppingen	8	180442	129901	2288	2045	127613	127856	33916	26524	55049	42318	13177	24408	8157	9327	14009	17018			2385	1730		1377				956		465		79		60						261				46						68		325			920	523		2371								
264	Waiblingen	8	220220	164521	2560	2140	161961	162381	44071	31431	69575	53864	19793	33634	8627	10511	15379	22834			2720	1775		1503				934		907	319	140		70						311				124						94		503			1477	881		2865								
265	Ludwigsburg	8	206805	156053	2440	1882	153613	154171	34718	31079	61328	50274	19431	30179	9800	10382	23966	23090			2436	1538		1548				943	971	608		109		64						245				59						70		360			963	628		2995								
266	Neckar-Zaber	8	224090	170674	2745	2300	167929	168374	39430	33711	70606	55618	24682	34641	9169	10852	18626	22773			2798	1941		1954				1161		905		60		85						318				68						108		353			1177	785		3041							1441	
267	Heilbronn	8	241035	168927	3239	2698	165688	166229	41484	35331	73308	57889	19924	31932	10693	12256	14594	16917			3657	2622		1853				1131		912	372	186		70						358				62						160		264			1656	1040		3246								
268	Schwäbisch Hall - Hohenlohe	8	223234	154351	3030	2561	151321	151790	32606	27907	65474	52745	19839	28688	10938	11554	18132	19829			3328	2429		1444				1070		1173		86		78						401				57						157		317				905		2950							1004	
269	Backnang - Schwäbisch Gmünd	8	176381	126601	2504	2189	124097	124412	30902	24289	55492	44068	12822	23060	8177	8840	12749	15606			2404	1578		1608				777	1240	909		92		79						276				56						83		329				533		2229							311	
270	Aalen - Heidenheim	8	224418	159936	3218	2871	156718	157065	39951	32195	70599	57878	15604	26534	11775	12351	14226	17732			2996	1867		2251				915		644		55		86						397				66						123		314				827		2830							1567	
271	Karlsruhe-Stadt	8	201833	143521	2030	1855	141491	141666	37845	29227	53872	40566	11845	24654	10034	11807	21452	26051			1534	1295		544				894		444	234	133		75						205				28						76		254				405	4359	5008							316	
272	Karlsruhe-Land	8	208654	155522	2991	2339	152531	153183	39021	31160	68951	55285	17668	29292	8569	9935	15506	18066			2310	1567		1228				1107		896		67		71						406				48						95		263				390		3307							506	
273	Rastatt	8	208664	146160	3219	2667	142941	143493	33279	27376	68652	55806	14235	25553	8935	10093	15404	16649			2436	1727		1013				1095		348		58		83						316				58						81		321				378		2538								
274	Heidelberg	8	211807	162920	2338	1932	160582	160988	47683	35337	57963	49296	19314	28419	8985	11823	24985	28349			1652	1318		686				958		288		57		62						239				40						71		285				364		3396								
275	Mannheim	8	198437	134143	2149	1785	131994	132358	39845	32627	48137	38435	11782	19900	12520	14936	16648	18052			2418	1772		987				1090		238	333	121		60						286				48						73		239				236		3258							311	
276	Odenwald - Tauber	8	215910	153296	3375	3040	149921	150256	29977	27740	75337	63120	17199	25455	9821	10357	13173	13770			2876	2015		1415				1139		502		59		98						332				51						125		274			1538	1156		2648								
277	Rhein-Neckar	8	195971	144215	2928	2277	141287	141938	35426	29356	59755	49922	17833	26191	10596	11078	14952	16723			2725	1894		979				1060		489		49		65						328				66						95		267				406		2970								
278	Bruchsal - Schwetzingen	8	194304	141401	3452	2611	137949	138790	32525	27934	64659	50031	15785	26626	9995	10723	12082	14084			2903	1825		1642				1301		385		65		70						357				48						85		254				384		2976								
279	Pforzheim	8	220877	155907	3120	2805	152787	153102	34944	30652	62224	52771	24640	30192	10353	11279	15236	17556			3172	2029		1439				1211	2218	1374		73		67						450				64						148		337				412		3048								
280	Calw	8	198923	142812	2877	2537	139935	140275	28255	24450	64808	53358	17528	28260	9136	9537	13460	14464			1915	1813	2172	1955				1023	2661	1698		72		68						325				51						70		277				464		2390								
281	Freiburg	8	210636	157681	2537	1998	155144	155683	51192	32691	44749	42224	12674	21887	9675	13793	33878	35536			890	764	1063	981				1165		581		88		49						369				56						78	1023	658				474		4289								
282	Lörrach - Müllheim	8	225703	156692	2864	2577	153828	154115	49591	33953	58282	49707	16932	26425	9268	10802	16151	23904			2106	1271		1333				1124	1498	987		57		55						508				51						77		323				422		3116								
283	Emmendingen - Lahr	8	213013	149482	3557	3458	145925	146024	35339	29740	61427	50594	14470	24135	10238	11134	22429	21332			2022	1310		986				1425		584		38		56						399				298						86		355				523		3029								
284	Offenburg	8	204619	141835	3305	3164	138530	138671	27052	24662	65336	52083	15454	24887	10129	10742	17460	18247			2069	1506		914				974		444		42		75						453				93						97		417				430		2605							1030	
285	Rottweil - Tuttlingen	8	200726	141391	3816	3024	137575	138367	22388	22550	66104	53547	24395	30249	8140	8753	11503	12924			3006	2298		1126				1022		782		45		110						502				140						131		294			2039	1498		2396								
286	Schwarzwald-Baar	8	167458	117355	2983	2618	114372	114737	21835	20374	54172	41694	15292	23812	7158	7837	13034	13344			2881	1978		553				937		694		80		61						287				166						100		254				455		2111								
287	Konstanz	8	197671	140167	2793	2480	137374	137687	29713	26047	59256	43844	20335	29372	8943	9344	17439	20482			1688	1309		533				1319		419		62		60						490				116						83		444				465		3298								
288	Waldshut	8	177784	125418	2689	2066	122729	123352	35026	23058	50967	45201	13686	22993	7100	7765	13091	16971			1667	941		1190				869		574		38		67						370				48						74		338			843	611		2244							349	
289	Reutlingen	8	198466	145837	3394	2562	142443	143275	31395	25770	60753	48400	18203	28740	8452	10060	19871	21392			2491	1820		1283				854		585	491	190		75						466				81						96		264				406		2793							787	
290	Tübingen	8	189559	143896	2199	1855	141697	142041	28501	26823	55188	43603	13680	24233	9801	11185	30560	26939			2078	1452		1122				870		525		140		63						372				42						73		318			814	633		3648							1075	
291	Ulm	8	218867	161673	3268	2566	158405	159107	35875	28426	67798	57158	18273	28708	9605	10644	21477	22889			2510	1792		1210				1087		646	309	161		97						525				77						130		392				859		4306							2558	
292	Biberach	8	162508	117289	3263	2303	114026	114986	26275	15742	48662	49688	17233	21665	6117	6636	11176	12524			2389	1401		1289				879		413		40		77						382				60						100		277			1760	1536		2277							414	
293	Bodensee	8	167789	122655	2181	1767	120474	120888	23587	20080	54169	44205	16521	24483	7077	7775	17349	16962			1771	1277		628				813		344		57		57						402				148						67		444				705		2441								
294	Ravensburg	8	181362	130128	3110	1966	127018	128162	22530	19969	56931	48146	17946	23997	7918	8428	18639	18408			2006	1250		944				883		493		74		86						480				115						76		444				1965		2404							1048	
295	Zollernalb - Sigmaringen	8	185890	130436	3243	2621	127193	127815	21695	20001	62858	49774	17220	27454	8292	8763	11802	12571			2895	2036		1527				956		600		137		65						385				86						114		297				572		2477							2431	
908	Baden-Württemberg	99	7633818	5530242	105893	88153	5424349	5442089	1285617	1051198	2307250	1874481	645560	1022958	345551	389637	694760	755648			89204	61575	3235	48693				37823	8588	24430	3007	3640	819	2872						13648				2889						3473	1023	12593			13187	24525	11400	112006							15148	
																																																																		
296	Saarbrücken	10	207292	146713	2699	2133	144014	144580	43737	34528	45748	38317	10597	17651	31946	34666	9696	12685			1967	1737				1596					323	112																										2536		752						
297	Saarlouis	10	214924	159639	4022	3446	155617	156193	51193	37749	58297	50566	11516	19643	24244	31057	8342	10194			2025	1874				2013						48																										2188		861						
298	St. Wendel	10	184896	142795	3814	3079	138981	139716	42910	35506	55727	48373	9486	15094	22965	26775	6058	7507			1835	1629				2273						42																										1853		664						
299	Homburg	10	201442	147047	3131	2669	143916	144378	44500	36681	48092	42033	10508	17039	27933	31382	6575	9164			2206	2159			4102	3030						50																										2043		797						
910	Saarland	99	808554	596194	13666	11327	582528	584867	182340	144464	207864	179289	42107	69427	107088	123880	30671	39550			8033	7399			4102	8912					323	252																										8620		3074						
																																																																		
999	Bundesgebiet		62168489	44005575	757575	634385	43248000	43371190	12079758	9990488	13856674	11828277	4076496	6316080	4791124	5155933	3977125	4643272	3191000	2830238	768442	635525	30061	193396	17848	120718	16887	230872	12052	40370	17512	29261	34894	38706	32324	48311		2957	2550	23015	369	6087	396	2889		6826	929	1894		45752	5794	31957		11243	105653	132249	46770	847870	37946	100605		56399	6121		139275	
