Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	ADF	ADF	BP	BP	EP	EP	GPD	FSU	FSU	ZENTRUM	UAP	UAP	DV	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																
57	Bergheim	NW	154076	135775	3772	2978	132003	132797	58451	57852	64066	63281	0	0	6084	7190	2871	3618	531	384	0	0	0	107	46	0	31	201	0	87	0	0
58	Köln-Land	NW	159733	141866	4080	1762	137786	140104	67226	67072	60155	59239	0	0	6675	9251	2849	3354	743	746	0	0	0	158	42	138	107	70	0	65	0	0
59	Köln I	NW	144923	115211	2421	1469	112790	113742	61018	60230	42301	40423	0	0	5305	8042	3114	3620	933	982	0	0	0	176	57	119	81	82	0	49	0	0
60	Köln II	NW	132462	109097	1580	1295	107517	107802	54760	51765	43504	42694	0	0	5930	9318	2467	2922	643	702	0	0	142	211	47	71	57	50	0	36	0	0
61	Köln III	NW	150024	125650	2816	1584	122834	124066	65467	64734	48453	47314	0	0	5035	7363	2981	3482	762	712	0	0	0	170	29	136	102	97	0	63	0	0
62	Köln IV	NW	146902	122367	2786	1521	119581	120846	66218	65536	44030	43227	0	0	5423	7443	2755	3321	869	884	0	0	286	263	29	0	38	59	0	46	0	0
63	Bonn	NW	176150	152025	2970	1864	149055	150161	51440	57370	56492	75457	0	0	6135	10609	4156	5283	641	739	0	0	0	409	68	0	30	139	0	57	296	29895
64	Siegkreis I – Bonn-Land	NW	179859	156383	2538	2664	153845	153719	59400	59201	84330	80719	0	0	5703	8110	3596	4466	651	597	0	0	0	246	76	0	40	188	0	76	165	0
65	Oberbergischer Kreis – Siegkreis II	NW	186554	161525	3866	2119	157659	159406	67942	67485	72806	73600	0	0	12064	11433	4238	5518	609	606	0	0	0	155	217	0	55	247	0	90	0	0
66	Rheinisch-Bergischer Kreis	NW	168791	149048	3432	1847	145616	147201	61523	63677	70321	68600	0	0	9944	9639	3148	4142	680	643	0	0	0	205	70	0	58	101	0	66	0	0
67	Leverkusen – Opladen	NW	175986	153772	4010	1694	149762	152078	79761	75613	58562	59382	0	0	7155	10956	3364	4370	920	1017	0	0	0	186	296	0	96	87	0	75	0	0
68	Remscheid	NW	137141	117571	2646	1356	114925	116215	52993	52794	50179	48900	0	0	6720	8296	3027	3733	1710	1828	0	0	0	112	105	296	310	75	0	62	0	0
69	Wuppertal I	NW	145222	122953	1408	1441	121545	121512	61205	59099	48529	47125	0	0	7253	9561	2944	3700	1275	1396	0	0	174	210	42	165	170	169	0	40	0	0
70	Wuppertal II	NW	147654	125829	1368	1730	124461	124099	64190	61567	48652	47020	0	0	6488	9270	3138	3849	1483	1611	0	0	251	249	38	259	263	184	0	48	0	0
71	Solingen	NW	122581	103950	1474	1879	102476	102071	50509	48214	40309	39384	0	0	7094	8813	2237	2768	2001	2251	0	0	0	153	36	326	316	74	0	62	0	0
72	Düsseldorf – Mettmann I	NW	121048	106495	1540	1226	104955	105269	50390	49785	46238	43617	0	0	4735	7132	2620	3349	818	864	0	0	0	167	60	154	129	125	0	41	0	0
