Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	ADF	ADF	BP	BP	EP	EP	GPD	FSU	FSU	ZENTRUM	UAP	UAP	DV	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																
161	Kaiserslautern	RP	177070	150373	2950	2755	147423	147618	72767	69426	54811	55156	0	0	6449	8599	12027	13130	1369	1307	0	0	0	0	0	0	0	0	0	0	0	0
162	Pirmasens	RP	132620	113297	2546	3421	110751	109876	43442	42173	52133	51627	0	0	6254	6563	8126	8748	796	765	0	0	0	0	0	0	0	0	0	0	0	0
163	Landau	RP	147690	128806	3609	3347	125197	125459	42814	42582	65145	64787	0	0	9431	9429	7302	8155	505	506	0	0	0	0	0	0	0	0	0	0	0	0
907	Rheinland-Pfalz	RP	2410176	2097308	49143	41208	2048165	2056100	843627	825379	990951	982640	0	0	108694	128650	93078	107780	11815	11651	0	0	0	0	0	0	0	0	0	0	0	0
																																
164	Stuttgart I	BW	141024	119327	1788	1673	117539	117654	60382	57885	42872	43762	0	0	8587	9578	4513	5061	1071	1002	0	0	0	242	40	0	84	0	0	0	0	114
165	Stuttgart II	BW	129033	108585	1459	1346	107126	107239	51875	49800	41830	40651	0	0	9220	11533	3282	3975	919	930	0	0	0	237	39	0	74	0	0	0	0	0
166	Stuttgart III	BW	139775	118252	1576	1285	116676	116967	58157	52618	46194	45992	0	0	8155	12723	3445	4468	725	773	0	0	0	251	46	0	96	0	0	0	0	0
167	Ludwigsburg	BW	182345	157208	2624	3153	154584	154055	63458	63552	66797	65928	0	0	17000	15038	6548	8441	781	739	0	0	0	234	50	0	73	0	0	0	0	0
168	Heilbronn	BW	183109	157221	3245	3503	153976	153718	72224	64962	61883	64121	0	0	12557	15688	6536	7976	776	665	0	0	0	205	55	0	46	0	0	0	0	0
169	Leonberg – Vaihingen	BW	170137	146522	4946	2283	141576	144239	59961	59496	66773	65966	0	0	9112	11594	5117	6253	613	580	0	0	0	241	45	0	64	0	0	0	0	0
170	Nürtingen – Böblingen	BW	179459	154891	5607	2887	149284	152004	56749	57273	76545	75114	0	0	8895	10808	6176	7701	919	805	0	0	0	208	54	0	41	0	0	0	0	0
171	Esslingen	BW	149074	129922	3807	2007	126115	127915	58080	53309	58732	60299	0	0	4619	8197	3548	4853	787	768	0	0	0	230	187	0	72	0	0	0	0	349
172	Göppingen	BW	142200	123132	2331	2215	120801	120917	45319	47480	64170	58139	0	0	7443	9500	3475	4422	394	396	0	0	0	172	768	0	40	0	0	0	0	0
173	Ulm	BW	120537	102772	3298	2524	99474	100248	37483	36401	52835	51080	0	0	4559	6896	4049	5223	548	449	0	0	0	124	37	0	38	0	0	0	0	0
174	Aalen– Heidenheim	BW	177982	154942	4705	3981	150237	150961	51468	52329	85150	83188	0	0	8226	8761	4554	5811	695	585	0	0	0	157	67	0	63	0	0	0	0	144
175	Schwäbisch Gmünd – Backnang	BW	177758	148480	4016	3608	144464	144872	48881	49572	70273	72177	0	0	18192	14318	6309	7870	415	419	0	0	394	329	102	0	85	0	0	0	0	0
176	Crailsheim	BW	122088	100556	2331	2831	98225	97725	26153	24900	53523	52510	0	0	11077	11744	7172	8131	300	263	0	0	0	107	38	0	32	0	0	0	0	0
177	Waiblingen	BW	147829	126750	3223	1954	123527	124796	58297	50854	52765	54315	0	0	8202	13463	3793	5310	470	567	0	0	0	194	52	0	41	0	0	0	0	0
178	Karlsruhe	BW	175469	143185	2571	2285	140614	140900	63744	59266	62031	62460	0	0	6768	9714	7180	8129	704	718	0	0	0	389	75	187	149	0	0	0	0	0
179	Mannheim I	BW	139409	112848	1992	1897	110856	110951	61992	56922	38322	40775	0	0	3789	5744	4861	5511	1892	1795	0	0	0	130	26	0	48	0	0	0	0	0
180	Mannheim II	BW	147590	128517	2815	2298	125702	126219	59347	56868	54863	53970	0	0	4958	7721	5439	6385	1095	1028	0	0	0	151	46	0	50	0	0	0	0	0
181	Heidelberg-Stadt	BW	142629	121702	3529	2382	118173	119320	54138	49597	51650	53103	0	0	5581	8775	5982	6832	822	748	0	0	0	153	45	0	67	0	0	0	0	0
182	Pforzheim – Karlsruhe-Land I	BW	167827	143735	4458	4099	139277	139636	54940	52996	70348	71362	0	0	8055	8050	5180	6196	754	692	0	0	0	213	60	0	67	0	0	0	0	0
183	Bruchsal – Karlsruhe-Land II	BW	150433	130998	4884	4616	126114	126382	43539	42845	69940	69768	0	0	6379	6456	5833	6664	423	349	0	0	0	151	91	0	58	0	0	0	0	0
184	Heidelberg-Land – Sinsheim	BW	160179	138718	4899	3626	133819	135092	47504	46923	70125	70307	0	0	9137	9625	6580	7496	473	441	0	0	0	166	82	0	52	0	0	0	0	0
185	Tauberbischofsheim	BW	142473	122368	5696	3048	116672	119320	31670	31203	70812	75138	0	0	7916	5930	5607	6614	255	223	0	0	0	124	43	0	45	0	0	0	0	412
186	Konstanz	BW	159686	132012	4463	2448	127549	129564	36626	43432	65165	69094	0	0	20532	10839	4130	4945	853	804	0	0	0	190	33	243	227	0	0	0	0	0
187	Donaueschingen	BW	134101	113059	3165	3592	109894	109467	33695	34322	62960	60846	0	0	8971	9358	3517	4056	403	370	0	0	348	416	37	0	62	0	0	0	0	0
188	Waldshut	BW	114382	98338	1850	2946	96488	95392	27387	28182	60377	56620	0	0	5595	6755	2485	3103	644	413	0	0	0	222	37	0	60	0	0	0	0	0
189	Lörrach – Müllheim	BW	131292	108495	3407	2593	105088	105902	41777	39350	51039	52047	0	0	7296	8336	4245	5156	731	647	0	0	0	275	38	0	53	0	0	0	0	0
190	Freiburg	BW	156859	131041	2371	2617	128670	128424	53216	51698	63465	60710	0	0	7295	10148	3659	4548	434	478	0	0	601	682	59	0	101	0	0	0	0	0
191	Emmendingen – Wolfach	BW	106841	90403	4304	3021	86099	87382	28779	28684	48256	48329	0	0	5543	6288	2929	3457	592	387	0	0	0	164	35	0	38	0	0	0	0	0
192	Offenburg	BW	161789	135465	5998	4978	129467	130487	40382	41728	73609	72739	0	0	9420	8876	5333	6292	723	492	0	0	0	242	65	0	53	0	0	0	0	0
193	Rastatt	BW	172944	146910	5286	4563	141624	142347	42803	42952	86376	85232	0	0	6364	7220	5424	6124	657	481	0	0	0	244	46	0	48	0	0	0	0	0
194	Reutlingen	BW	181558	156553	5568	2490	150985	154063	63580	57954	72332	74769	0	0	9613	13551	4747	6581	713	741	0	0	0	256	120	0	91	0	0	0	0	0
195	Calw	BW	157393	129230	4871	3186	124359	126044	42233	43400	65945	64116	0	0	11278	12325	4295	5338	608	437	0	0	0	292	39	0	97	0	0	0	0	0
196	Rottweil	BW	145255	124253	2669	3641	121584	120612	42130	41751	67356	66497	0	0	7864	7385	3530	4025	704	567	0	0	0	234	31	0	122	0	0	0	0	0
197	Balingen	BW	181279	153608	6666	3053	146942	150555	41881	40550	92615	93498	0	0	6660	9330	5191	6350	595	447	0	0	0	180	131	0	69	0	0	0	0	0
198	Biberach	BW	142011	125514	6261	2696	119253	122818	24424	24945	87101	89371	0	0	4442	4535	2859	3508	427	257	0	0	0	135	38	0	29	0	0	0	0	0
199	Ravensburg	BW	176531	154915	4473	4336	150442	150579	39197	39703	99533	98356	0	0	6133	6548	4404	5095	608	471	0	0	0	234	73	0	99	0	0	0	0	567
908	Baden-Württemberg	BW	5510280	4690427	137152	105661	4553275	4584766	1723471	1675702	2324562	2322349	0	0	305433	343350	171927	207900	24523	21927	0	0	1343	8174	2830	430	2534	0	0	0	0	1586
																																
200	Altötting	BY	137390	119051	3429	2363	115622	116688	28816	27873	0	0	75839	77619	2221	2336	4989	5654	325	247	3432	2628	0	151	147	0	33	0	0	0	0	0
201	Fürstenfeldbruck	BY	166427	142096	4784	2672	137312	139424	54062	49648	0	0	70216	74318	3791	5633	5976	6979	640	425	2627	1962	0	250	156	0	53	0	0	0	0	0
202	Ingolstadt	BY	164684	140584	2901	2898	137683	137686	42913	41826	0	0	85526	85408	2316	3026	4963	5567	1265	664	700	832	0	161	183	0	19	0	0	0	0	0
203	Miesbach	BY	146216	123675	3541	1364	120134	122311	44988	43890	0	0	59117	61029	5753	7471	5185	6465	719	533	3927	2446	0	278	134	0	65	0	0	0	0	445
204	München-Mitte	BY	122063	94719	2095	838	92624	93881	44809	43172	0	0	35837	36475	4619	6601	4206	5006	865	814	1411	1345	287	290	106	117	72	0	0	0	0	473
205	München-Nord	BY	183078	146564	3661	1410	142903	145154	73232	72808	0	0	51893	52035	6944	8956	6662	7921	1240	1148	2062	1519	470	395	269	0	103	0	0	0	0	400
206	München-Ost	BY	169418	136209	3276	1364	132933	134845	65954	66120	0	0	50596	49889	6464	8808	5691	6575	1058	1079	2286	1629	717	448	180	167	117	0	0	0	0	0
207	München-Süd	BY	194426	159231	3672	1274	155559	157957	82576	78665	0	0	54739	56687	7870	11054	6416	7533	1234	1219	2281	2028	443	416	241	0	114	0	0	0	0	0
208	München-West	BY	157697	128869	2885	1116	125984	127753	61587	60658	0	0	50451	49922	5799	8171	5129	6016	821	788	1724	1556	473	390	166	0	86	0	0	0	0	0
209	München-Land	BY	199451	170041	5539	2090	164502	167951	62648	59977	0	0	82495	85956	7371	8485	5680	7252	654	542	5654	5154	0	340	189	0	56	0	0	0	0	0
210	Rosenheim	BY	163889	138881	3171	2447	135710	136434	45441	44094	0	0	75436	75796	4189	5091	5376	6225	600	521	4668	4061	0	292	304	0	50	0	0	0	0	0
211	Traunstein	BY	146162	125001	3949	1996	121052	123005	35161	32536	0	0	71668	74767	4122	4711	7391	8287	591	353	2119	1943	0	244	112	0	52	0	0	0	0	0
212	Weilheim	BY	143369	122417	1948	2082	120469	120335	36641	37201	0	0	74699	70645	3204	4524	3771	4921	425	476	1729	2153	0	236	130	0	49	0	0	0	0	0
213	Deggendorf	BY	137727	108598	2997	3359	105601	105239	35189	28329	0	0	62113	68327	1159	1741	3363	4110	241	178	3536	2300	0	88	145	0	21	0	0	0	0	0
214	Landshut	BY	129226	111636	5781	2947	105855	108689	34395	31177	0	0	62081	68273	1749	2325	4729	5252	466	258	1362	1043	481	170	163	0	28	0	0	0	0	592
215	Passau	BY	140091	116057	2949	2956	113108	113101	30209	26121	0	0	74743	78185	1852	1750	4852	5789	177	154	1275	912	0	83	89	0	18	0	0	0	0	0
216	Straubing	BY	133458	112288	2730	2832	109558	109456	28331	26114	0	0	72985	74067	1922	1993	4059	4965	446	287	1815	1576	0	105	326	0	23	0	0	0	0	0
217	Pfarrkirchen	BY	121018	102454	3576	2733	98878	99721	21092	19753	0	0	68272	70280	1370	1706	4380	5209	165	109	3599	2197	0	80	362	0	25	0	0	0	0	0
218	Amberg – Neumarkt i.d.OPf.	BY	163918	145029	4072	3456	140957	141573	36101	36736	0	0	93930	92202	3344	4042	6046	6877	474	379	1062	1025	0	171	113	0	28	0	0	0	0	0
219	Burglengenfeld	BY	157791	136632	4934	3911	131698	132721	36426	36037	0	0	85767	86081	2413	2594	5290	6320	471	409	1331	988	0	122	138	0	32	0	0	0	0	0
220	Regensburg	BY	149608	128214	2951	2684	125263	125530	39149	38881	0	0	77117	74776	2179	3099	5470	7143	472	445	876	901	0	159	100	0	26	0	0	0	0	0
221	Tirschenreuth	BY	141118	127732	2716	3117	125016	124615	44213	41332	0	0	71463	72213	4196	4458	4732	5649	412	327	0	361	0	99	154	0	22	0	0	0	0	0
222	Bamberg	BY	156154	136204	2814	2699	133390	133505	37147	37793	0	0	86023	83651	2912	3407	5873	7123	325	298	889	874	221	198	131	0	30	0	0	0	0	0
223	Bayreuth	BY	154481	132113	2998	2303	129115	129810	57384	54555	0	0	59869	59722	3867	5237	7363	8907	632	555	0	324	0	149	323	0	38	0	0	0	0	0
224	Coburg	BY	141287	126007	2263	1892	123744	124115	60688	56764	0	0	53312	55533	3686	4732	5421	6118	428	416	0	101	209	173	259	0	19	0	0	0	0	0
225	Kulmbach	BY	152181	131831	4407	2720	127424	129111	45553	42605	0	0	70132	72659	3601	4001	6896	8461	371	379	871	676	0	102	186	0	42	0	0	0	0	0
226	Hof	BY	151706	129273	2823	2753	126450	126520	57949	58968	0	0	56130	53190	4426	4945	6607	7975	1338	989	0	184	0	112	114	0	43	0	0	0	0	0
227	Ansbach	BY	165744	141971	3384	2658	138587	139313	46471	43373	0	0	72432	72897	8409	9830	10215	11827	647	608	0	186	0	182	354	0	56	0	0	0	0	413
228	Erlangen	BY	180433	154744	3659	2431	151085	152313	68779	64957	0	0	64480	65176	6725	8990	10049	11509	1052	873	0	261	0	246	181	0	120	0	0	0	0	0
229	Fürth	BY	162305	138286	2764	2709	135522	135577	53103	54401	0	0	65848	60721	5712	7435	9563	11257	1296	1052	0	209	0	195	244	0	63	0	0	0	0	0
230	Nürnberg-Nord	BY	171037	142616	7786	2931	134830	139685	63443	64812	0	0	53054	53471	7676	8975	8434	9850	1980	1852	0	252	0	247	96	0	130	0	0	0	0	243
231	Nürnberg-Süd	BY	164497	138994	7306	2634	131688	136360	71802	69492	0	0	44763	48471	4913	6542	8101	9551	1829	1681	0	219	0	196	91	0	117	0	0	0	0	280
232	Weißenburg	BY	156601	136794	3938	2571	132856	134223	29753	30832	0	0	92471	90413	4292	4923	5838	7165	502	404	0	220	0	118	105	0	43	0	0	0	0	0
233	Aschaffenburg	BY	154427	134861	2946	2956	131915	131905	49556	47913	0	0	73762	73982	4189	4377	3907	4629	501	362	0	132	0	259	210	0	41	0	0	0	0	0
234	Bad Kissingen	BY	145035	127053	2627	2804	124426	124249	29733	30058	0	0	84905	82539	3839	4657	5343	6076	221	205	0	289	385	261	126	0	38	0	0	0	0	0
235	Karlstadt	BY	153295	135169	4631	2891	130538	132278	36165	36524	0	0	83684	85219	6077	4467	4178	5224	434	312	0	201	0	113	165	0	53	0	0	0	0	0
236	Schweinfurt	BY	146683	128675	3396	2795	125279	125880	39615	40956	0	0	74123	71300	3974	4841	6812	7665	482	408	0	245	0	192	68	273	205	0	0	0	0	0
237	Würzburg	BY	154761	136642	3413	1756	133229	134886	51099	49985	0	0	69507	71350	5660	5859	5614	6356	1349	752	0	233	0	208	104	0	39	0	0	0	0	0
238	Augsburg	BY	148996	124973	1711	1528	123262	123445	54162	53624	0	0	58667	56888	3221	4528	5313	6221	608	806	969	765	322	248	324	0	41	0	0	0	0	0
239	Augsburg-Land	BY	168462	145098	3178	2480	141920	142618	45803	44950	0	0	84965	83915	3668	4366	6070	7372	600	491	814	854	0	188	452	0	30	0	0	0	0	0
240	Donauwörth	BY	150841	129021	4017	2521	125004	126500	32599	33065	0	0	84126	83246	3919	3984	3892	4930	468	308	0	498	0	109	330	0	30	0	0	0	0	0
241	Neu-Ulm	BY	149625	129200	3061	2496	126139	126704	41339	40948	0	0	75422	74175	3232	4347	5049	5877	458	368	639	580	0	117	247	0	45	0	0	0	0	0
242	Kaufbeuren	BY	168886	144830	3346	2507	141484	142323	36633	36403	0	0	90608	90487	5752	5434	7765	8289	726	469	0	687	0	205	301	0	48	0	0	0	0	0
243	Kempten	BY	185984	157391	4567	2292	152824	155099	47489	47094	0	0	88910	91697	9359	8428	4960	5731	657	488	1282	1145	0	258	167	0	91	0	0	0	0	167
909	Bayern	BY	6851646	5837724	158592	107236	5679132	5730488	2040198	1983020	0	0	3094176	3115652	193956	232880	257619	303828	30665	25431	54940	49694	4008	9044	8485	557	2454	0	0	0	0	3013
																																
244	Saarbrücken-Stadt	SL	145118	123264	4495	2605	118769	120659	55763	52900	44073	45207	0	0	10810	12507	6774	8120	1349	1330	0	0	0	440	0	0	0	155	0	0	0	0
245	Saarbrücken-Land	SL	147162	131232	4837	3117	126395	128115	52223	50667	58796	59071	0	0	7124	8526	6535	7831	1717	1596	0	0	0	309	0	0	0	115	0	0	0	0
246	Saarlouis	SL	146980	133342	5494	5083	127848	128259	47216	46710	68231	66968	0	0	5935	6863	5322	6109	1144	1031	0	0	0	300	0	0	0	278	0	0	0	0
247	Ottweiler	SL	148435	135398	4827	4441	130571	130957	49745	48516	67513	66913	0	0	5076	6098	5856	6905	2381	2107	0	0	0	313	0	0	0	105	0	0	0	0
248	St. Ingbert	SL	146401	130646	3709	3751	126937	126895	56262	54692	55909	54827	0	0	6950	8260	6177	7139	1639	1545	0	0	0	266	0	0	0	166	0	0	0	0
910	Saarland	SL	734096	653882	23362	18997	630520	634885	261209	253485	294522	292986	0	0	35895	42254	30664	36104	8230	7609	0	0	0	1628	0	0	0	819	0	0	0	0
																																
999	Bundesgebiet ohne Berlin	BUND	38677235	33523064	809548	557040	32713516	32966024	14402374	14065716	12137148	12079535	3094176	3115652	1554651	1903422	1189375	1422010	209180	197331	54940	49694	20927	49650	45401	10192	16371	15933	1531	5309	461	38561
