Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	AUD	AUD	AVP	AVP	C.B.V.	C.B.V.	DKP	DKP	EAP	EAP	5%-BLOCK	5%-BLOCK	GIM	GIM	KPD	KPD	K B W	K B W	NPD	NPD	RFP	UAP	UAP	VL	VL	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																										
98	GELSENKIRCHEN II	NW	119183	108320	792	550	107528	107770	68131	68476	33003	32736	0	0	5091	5508	0	66	82	38	0	0	911	566	0	10	0	0	0	18	0	58	0	17	310	256	0	0	14	0	7	0
99	RECKLINGHAUSEN-LAND	NW	188045	173909	3291	3706	170618	170203	91269	89760	69482	69248	0	0	8292	9836	0	81	0	21	0	0	1141	697	0	13	0	0	0	30	0	114	0	51	434	330	0	0	12	0	10	0
100	RECKLINGHAUSEN-STADT	NW	168254	155457	2699	3112	152758	152345	85663	84255	58504	58474	0	0	7245	8597	232	104	0	13	0	0	783	482	0	12	0	0	0	18	0	62	0	33	331	271	0	0	13	0	11	0
101	BOTTROP – GLADBECK	NW	137001	125389	3468	1965	121921	123424	73179	75278	40283	40776	0	0	4308	5433	0	40	57	25	0	0	3876	1474	0	12	0	0	0	16	0	136	0	24	201	199	0	0	3	0	8	17
102	HOEXTER	NW	146290	137378	1363	753	136015	136625	37228	37239	92791	92762	0	0	5332	6098	0	40	0	9	0	0	380	186	0	15	0	0	0	11	0	30	0	30	284	188	0	0	8	0	9	0
103	BIELEFELD I	NW	178055	163003	1825	1028	161178	161975	72388	71161	74334	73189	0	0	13457	16668	0	54	0	26	0	0	613	341	0	12	0	0	0	51	0	69	0	46	386	340	0	0	6	0	12	0
104	BIELEFELD II	NW	164339	151943	1337	904	150606	151039	71566	71930	62549	62392	0	0	14866	15429	0	63	100	49	0	0	781	567	0	10	0	0	0	61	273	142	0	88	330	292	0	0	8	0	8	141
105	DETMOLD-LIPPE	NW	223833	207209	1759	1330	205450	205879	98985	97023	86485	85590	0	0	18485	21837	0	107	0	39	0	0	790	520	0	15	0	0	0	23	0	122	0	56	611	503	0	94	33	0	11	0
106	PADERBORN – WIEDENBRUECK	NW	167587	155448	1365	817	154083	154631	41386	42125	102643	101968	0	0	9283	9851	0	61	107	42	0	0	377	193	0	17	0	0	0	27	0	35	0	59	287	237	0	0	5	0	11	0
107	HERFORD	NW	181174	168187	2028	1233	166159	166954	85627	83923	68150	67923	0	0	11255	14056	0	78	102	42	0	0	593	401	0	19	0	0	0	37	0	52	0	39	432	367	0	0	6	0	11	0
108	MINDEN	NW	215802	197657	2376	1663	195281	195994	97148	94721	82643	82301	0	0	14148	17812	0	86	0	32	0	0	700	421	0	20	0	0	0	31	0	80	0	43	512	420	130	0	10	0	17	0
109	LUEDINGHAUSEN	NW	217873	200552	1385	1050	199167	199502	94440	92991	95377	94697	0	0	8147	10575	0	50	0	20	0	0	700	514	0	14	0	0	0	20	0	81	0	47	503	474	0	0	9	0	10	0
110	WANNE-EICKEL – WATTENSCHEID	NW	128730	117174	772	518	116402	116656	73728	72660	36817	36972	0	0	4574	6000	0	50	195	61	0	0	704	494	0	14	0	0	0	19	0	56	0	22	325	270	0	59	29	0	9	0
111	HERNE – CASTROP-RAUXEL	NW	132015	120837	1437	1271	119400	119566	75129	74132	38567	38615	0	0	4558	5779	0	39	0	12	0	0	728	551	0	9	0	0	0	6	0	82	179	93	239	231	0	0	10	0	7	0
112	ENNEPE-RUHR-KREIS	NW	194537	180473	993	777	179480	179696	98152	95657	67557	67123	0	0	11942	15397	0	55	91	46	0	0	1130	780	0	27	0	0	0	16	0	59	0	34	513	453	0	95	42	0	7	0
113	HAGEN	NW	140458	126402	691	556	125711	125846	59990	64914	49943	49672	0	0	14158	10086	0	32	110	57	0	0	996	542	0	9	0	0	0	18	0	41	0	27	514	437	0	0	7	0	4	0
114	DORTMUND I	NW	171527	158587	1091	631	157496	157956	87236	85642	57385	57183	0	0	11089	13580	0	62	0	21	0	0	1268	823	120	50	0	0	0	29	0	143	0	78	398	331	0	0	7	0	7	0
115	DORTMUND II	NW	136338	122819	888	561	121931	122258	80650	80377	35037	34955	0	0	5027	5797	0	24	0	4	0	0	839	596	84	45	0	0	0	11	0	96	0	58	294	279	0	0	8	0	8	0
116	DORTMUND III	NW	152333	136773	1006	628	135767	136145	81922	81752	44521	44646	0	0	7230	8282	0	50	0	5	0	0	907	633	68	41	0	0	0	17	281	225	117	72	416	403	0	0	12	0	7	305
117	BOCHUM	NW	157498	145069	1078	618	143991	144451	85476	83646	50082	49344	0	0	6726	10030	0	49	0	8	0	0	754	599	46	31	0	0	0	29	311	193	180	122	355	341	0	61	40	0	19	0
118	BOCHUM – WITTEN	NW	163742	151439	1289	808	150150	150631	93392	93196	46575	46490	0	0	8346	9588	0	91	0	18	0	0	783	574	48	23	0	0	0	12	0	109	219	118	403	380	0	40	24	0	8	344
119	ISERLOHN	NW	189876	173717	1118	843	172599	172874	83692	81115	78074	76879	0	0	9601	13703	0	41	130	60	0	0	561	370	0	18	0	0	0	6	0	90	0	58	541	511	0	0	12	0	11	0
120	LIPPSTADT – BRILON	NW	127631	118634	1226	674	117408	117960	41786	42140	68764	68698	0	0	6250	6524	0	46	0	15	0	0	330	182	0	13	0	0	0	27	0	53	0	21	278	226	0	0	7	0	8	0
121	OLPE – MESCHEDE	NW	132973	125945	1234	573	124711	125372	37920	37343	81589	82140	0	0	4502	5334	0	45	140	32	0	0	393	202	0	7	0	0	0	17	0	60	0	24	167	161	0	0	2	0	5	0
122	ARNSBERG – SOEST	NW	188050	174525	1620	975	172905	173550	66898	66597	94895	94522	0	0	9999	11355	0	60	0	32	0	0	574	334	0	26	0	0	0	30	0	68	0	43	539	455	0	0	13	0	15	0
123	UNNA	NW	170382	157812	1012	767	156800	157045	93335	91550	53148	53475	0	0	8954	10817	89	57	59	30	0	0	689	442	0	29	0	0	0	25	0	83	0	65	526	457	0	0	5	0	10	0
124	LUEDENSCHEID	NW	166392	151857	1103	856	150754	151001	74422	72432	63696	63671	0	0	11281	13693	0	73	0	18	0	0	608	368	0	12	0	0	0	13	0	61	0	16	747	618	0	0	21	0	5	0
125	SIEGEN – WITTGENSTEIN	NW	202603	185750	1357	1082	184393	184668	89294	84668	79452	80242	0	0	14118	18403	0	81	0	25	0	0	856	537	0	24	0	0	0	15	0	61	0	37	673	557	0	0	6	0	12	0
905	NORDRHEIN-WESTFALEN	NW	12118533	11066546	107261	76984	10959285	10989562	5251009	5153959	4907990	4892278	0	0	703914	860331	1299	4928	2015	1786	0	0	56610	38176	1019	1428	112	0	143	1770	2426	6179	3038	3903	27243	23358	227	499	765	217	701	1524
																																										
126	WALDECK	HE	141798	130881	1908	863	128973	130018	64105	63648	54011	54787	0	0	9676	10597	0	73	157	41	0	0	470	307	0	12	0	0	0	0	0	61	0	53	554	439	0	0	0	0	0	0
127	KASSEL	HE	179890	164246	1204	1074	163042	163172	87508	86252	60043	59956	0	0	13407	15035	0	336	0	18	0	0	1287	885	0	16	0	0	0	0	0	105	331	174	466	395	0	0	0	0	0	0
128	WERRA-MEISSNER	HE	150063	141085	1943	1049	139142	140036	80824	79710	49275	50002	0	0	8240	9367	0	66	0	18	0	0	803	467	0	24	0	0	0	0	0	87	0	56	0	239	0	0	0	0	0	0
129	FRITZLAR	HE	136312	126831	1203	1019	125628	125812	63421	62879	52553	52959	0	0	8706	9072	0	70	0	36	0	0	583	381	0	21	0	0	0	0	0	42	0	34	365	318	0	0	0	0	0	0
130	HERSFELD	HE	154740	145482	2790	1059	142692	144423	71791	70543	63754	63940	0	0	6578	9103	0	68	0	12	0	0	569	379	0	15	0	0	0	0	0	53	0	46	0	264	0	0	0	0	0	0
131	MARBURG	HE	155117	141808	1601	882	140207	140926	66286	65176	63993	63531	0	0	6727	9837	0	153	0	13	0	0	2777	1651	0	11	0	0	0	0	0	82	0	89	424	383	0	0	0	0	0	0
132	WETZLAR	HE	189466	173496	1546	1324	171950	172172	81196	82373	74180	74243	0	0	14987	14048	0	75	0	21	0	0	699	556	0	20	0	0	0	0	0	88	196	109	692	639	0	0	0	0	0	0
133	GIESSEN	HE	177984	164357	1785	1358	162572	162999	77132	75642	72689	72558	0	0	10872	13114	0	106	0	18	0	0	952	713	0	17	0	0	0	0	0	125	331	209	596	497	0	0	0	0	0	0
134	FULDA	HE	202727	188605	3775	1448	184830	187157	64856	64999	108907	109524	0	0	9738	11312	0	78	0	35	0	0	755	484	0	21	0	0	0	0	0	102	0	48	574	554	0	0	0	0	0	0
135	HOCHTAUNUS	HE	214736	198957	1953	1253	197004	197704	81345	76829	99874	98539	0	0	14105	20528	0	129	0	33	0	0	933	689	0	39	0	0	0	0	0	108	0	132	747	678	0	0	0	0	0	0
136	WETTERAU	HE	176327	163381	1967	1316	161414	162065	77092	75298	72837	72271	0	0	9760	12997	0	83	0	20	0	0	714	508	0	29	0	0	0	0	0	63	249	131	762	665	0	0	0	0	0	0
137	LIMBURG	HE	171806	158375	1763	1263	156612	157112	63232	61622	82954	82677	0	0	9222	11712	0	50	126	51	0	0	531	351	0	17	0	0	0	0	0	90	0	53	547	489	0	0	0	0	0	0
138	WIESBADEN	HE	180690	159725	1886	1015	157839	158710	72575	70368	71098	70201	0	0	12458	16445	0	96	0	33	0	0	659	561	117	73	0	0	0	0	0	131	263	197	669	605	0	0	0	0	0	0
139	HANAU	HE	211626	194587	1837	1717	192750	192870	90980	88766	87417	86375	0	0	11983	15535	0	105	0	35	0	0	1604	1106	0	51	0	0	0	0	0	128	0	127	766	642	0	0	0	0	0	0
140	FRANKFURT (MAIN) I – MAIN-TAUNUS	HE	170188	155212	1107	987	154105	154225	68310	69339	68024	67595	0	0	15638	15370	0	62	68	50	0	0	827	720	61	53	0	0	0	0	221	183	185	138	771	715	0	0	0	0	0	0
141	FRANKFURT (MAIN) II	HE	170451	150889	1186	1074	149703	149815	65150	63444	67838	66835	0	0	13987	17177	0	68	0	22	0	0	1404	1104	85	53	0	0	0	0	0	134	553	354	686	624	0	0	0	0	0	0
142	FRANKFURT (MAIN) III	HE	152290	135103	1137	1112	133966	133991	62759	59858	58141	57535	0	0	10316	14254	0	58	65	45	0	0	1025	896	71	41	0	0	134	0	344	265	430	390	681	649	0	0	0	0	0	0
143	GROSS-GERAU	HE	198894	185641	1904	1291	183737	184350	94160	90557	76050	76631	0	0	11011	15361	0	61	0	17	0	0	1110	656	118	56	0	0	0	0	257	183	261	151	770	677	0	0	0	0	0	0
144	OFFENBACH	HE	201169	184766	2283	1256	182483	183510	85626	83344	81015	80789	0	0	13740	17307	0	74	0	19	0	0	1058	907	0	35	0	0	0	0	0	162	409	295	635	578	0	0	0	0	0	0
145	DARMSTADT	HE	189043	173088	1943	1569	171145	171519	82852	81332	70340	70346	0	0	14792	17563	0	166	0	25	0	0	1347	944	0	52	0	0	0	0	0	134	510	318	719	639	0	0	0	0	0	585
146	DIEBURG	HE	207286	193819	3018	1980	190801	191839	89404	86515	88485	89006	0	0	10800	14199	0	89	0	42	0	0	1431	963	0	50	0	0	0	0	0	201	0	99	681	675	0	0	0	0	0	0
147	BERGSTRASSE	HE	166851	154941	1505	1364	153436	153577	69976	67871	74470	73395	0	0	7489	10931	0	47	0	15	0	0	619	504	0	25	0	0	0	0	0	41	190	124	692	624	0	0	0	0	0	0
906	HESSEN	HE	3899454	3585275	41244	27273	3544031	3558002	1660580	1626365	1597948	1593695	0	0	244232	300864	0	2113	416	619	0	0	22157	15732	452	731	0	0	134	0	822	2568	3908	3327	12797	11988	0	0	0	0	0	585
																																										
148	NEUWIED	RP	201857	186671	1347	1145	185324	185526	79874	77391	93372	92755	0	0	11216	14417	0	0	0	0	0	0	506	404	0	44	0	0	0	0	0	85	0	41	356	389	0	0	0	0	0	0
149	AHRWEILER	RP	158426	146084	1343	915	144741	145169	50147	49356	86904	87309	0	0	6999	7812	0	0	0	0	0	0	412	259	0	29	0	0	0	0	0	80	0	27	279	297	0	0	0	0	0	0
150	KOBLENZ	RP	176523	160613	1596	947	159017	159666	64686	64288	83164	82735	0	0	10057	11726	0	0	0	0	0	0	700	368	0	37	0	0	0	0	0	57	0	58	410	397	0	0	0	0	0	0
151	COCHEM	RP	128913	118307	2383	1083	115924	117224	36442	35187	70160	71186	0	0	8571	10059	0	0	0	0	0	0	362	205	0	31	0	0	0	0	0	96	0	27	389	433	0	0	0	0	0	0
152	KREUZNACH	RP	176747	160966	1479	1111	159487	159855	71681	75347	67870	66188	0	0	18776	17013	0	0	0	0	0	0	683	470	0	52	0	0	0	0	0	138	0	48	477	599	0	0	0	0	0	0
153	BITBURG	RP	146114	133353	2252	1381	131101	131972	32752	33013	91325	90917	0	0	6226	7190	0	0	0	0	0	0	409	254	0	56	0	0	0	0	0	125	0	29	389	388	0	0	0	0	0	0
154	TRIER	RP	163082	147635	2516	1407	145119	146228	56073	54207	81489	82524	0	0	6422	8440	0	0	0	0	0	0	511	370	0	58	0	0	0	0	0	104	220	113	404	412	0	0	0	0	0	0
155	MONTABAUR	RP	206992	190319	1686	1451	188633	188868	82452	80845	93032	93123	0	0	11992	13872	0	0	118	0	0	0	588	375	0	46	0	0	0	0	0	107	0	57	451	443	0	0	0	0	0	0
156	MAINZ	RP	203844	186134	1647	1097	184487	185037	84911	80937	84294	83888	0	0	13567	18729	0	0	0	0	0	0	625	593	135	91	0	0	0	0	261	201	168	126	526	472	0	0	0	0	0	0
157	WORMS	RP	157082	142489	1187	1138	141302	141351	70427	69824	59191	58186	0	0	9943	11787	0	0	0	0	0	0	604	447	0	40	0	0	0	0	0	97	142	82	995	888	0	0	0	0	0	0
158	FRANKENTHAL	RP	129934	120269	1537	1075	118732	119194	58786	59462	49359	48937	0	0	8499	9048	0	0	0	0	0	0	595	372	0	33	0	0	0	0	0	69	0	52	1493	1221	0	0	0	0	0	0
159	LUDWIGSHAFEN	RP	155617	142175	1036	1023	141139	141152	74964	72626	58494	57819	0	0	6214	9396	0	0	0	0	0	0	736	599	101	79	0	0	0	0	0	52	150	102	480	479	0	0	0	0	0	0
160	NEUSTADT – SPEYER	RP	157763	144904	1546	1247	143358	143657	61372	59843	72513	71999	0	0	7747	10303	0	0	0	0	0	0	697	511	0	37	0	0	0	0	0	80	129	87	900	797	0	0	0	0	0	0
161	KAISERSLAUTERN	RP	204445	185444	2016	1529	183428	183915	93146	91701	76652	76416	0	0	10931	13320	127	0	0	0	0	0	869	627	0	73	0	0	0	0	0	163	185	103	1518	1512	0	0	0	0	0	0
162	PIRMASENS	RP	144590	131729	1845	1460	129884	130269	53636	53385	67073	67064	0	0	7426	8117	0	0	0	0	0	0	596	385	0	45	0	0	0	0	0	72	0	38	1153	1163	0	0	0	0	0	0
163	LANDAU	RP	164961	151854	2061	1684	149793	150170	55239	56162	80084	80162	0	0	12882	12346	0	0	0	0	0	0	632	388	0	60	0	0	0	0	0	92	0	56	956	904	0	0	0	0	0	0
907	RHEINLAND-PFALZ	RP	2676890	2448946	27477	19693	2421469	2429253	1026588	1013574	1214976	1211208	0	0	157468	183575	127	0	118	0	0	0	9525	6627	236	811	0	0	0	0	261	1618	994	1046	11176	10794	0	0	0	0	0	0
																																										
164	STUTTGART I	BW	141763	126537	833	666	125704	125871	62609	58745	51646	52026	0	0	10008	13831	153	130	0	0	0	0	559	458	41	34	0	0	0	56	132	102	60	32	496	457	0	0	0	0	0	0
165	STUTTGART II	BW	119590	106737	795	639	105942	106098	47617	44622	46277	45829	0	0	10585	14441	404	291	0	0	0	0	530	391	36	24	0	0	0	60	0	48	86	55	354	337	0	0	0	0	0	53
166	STUTTGART III	BW	127800	114091	996	752	113095	113339	48105	45855	51016	50318	0	0	12319	15990	239	217	0	0	0	0	523	337	40	32	0	0	122	58	0	77	105	69	411	386	0	0	0	0	0	215
167	LUDWIGSBURG	BW	209504	188597	1453	1592	187144	187005	79766	75735	91155	88545	0	0	14169	21047	233	206	0	0	0	0	420	347	0	18	0	0	0	107	0	54	177	97	803	849	0	0	0	0	0	421
168	HEILBRONN	BW	204564	183321	1598	1472	181723	181849	81905	75719	86776	86366	0	0	11617	18364	230	184	0	0	0	0	432	276	0	19	0	0	0	35	0	80	0	83	763	723	0	0	0	0	0	0
169	LEONBERG – VAIHINGEN	BW	220415	198060	2579	1473	195481	196587	80281	76719	94901	94919	0	0	18576	23333	371	239	0	0	0	0	556	365	0	39	0	0	0	74	0	95	0	53	796	751	0	0	0	0	0	0
170	NUERTINGEN	BW	199638	179196	2595	1456	176601	177740	64856	62294	95904	95121	0	0	13995	18745	393	221	0	0	0	0	598	312	0	32	0	0	0	60	0	82	0	38	855	835	0	0	0	0	0	0
171	ESSLINGEN	BW	156322	142176	1366	935	140810	141241	64339	55502	68644	69474	0	0	6488	15082	261	151	0	0	0	0	448	372	0	14	0	0	169	90	0	59	0	33	461	464	0	0	0	0	0	0
172	GOEPPINGEN	BW	155349	139652	1090	1045	138562	138607	56037	54794	70344	69583	0	0	10982	13058	244	198	0	0	0	0	444	279	0	19	0	0	0	38	0	76	0	20	511	542	0	0	0	0	0	0
173	ULM	BW	129807	116638	1360	918	115278	115720	48882	43125	60481	61450	0	0	4932	10011	0	129	0	0	0	0	390	297	0	28	0	0	0	26	0	55	0	29	593	570	0	0	0	0	0	0
174	AALEN – HEIDENHEIM	BW	196134	177539	2342	1291	175197	176248	64535	64967	100082	97893	0	0	9110	12114	248	186	0	0	0	0	708	404	0	29	0	0	0	38	0	70	0	27	514	520	0	0	0	0	0	0
175	SCHWAEBISCH GMUEND – BACKNANG	BW	196345	172580	1784	1474	170796	171106	64358	62230	95112	92080	0	0	9515	15147	392	262	0	0	0	0	552	366	0	26	0	0	0	40	0	94	0	35	867	826	0	0	0	0	0	0
176	CRAILSHEIM	BW	132797	114849	1167	1148	113682	113701	37179	35947	65276	65133	0	0	10140	11386	0	113	0	0	0	0	316	192	0	23	0	0	0	20	0	38	0	47	771	802	0	0	0	0	0	0
177	WAIBLINGEN	BW	171325	151607	1677	1014	149930	150593	59768	58329	72856	72342	0	0	15805	18558	335	244	0	0	0	0	388	299	0	37	0	0	0	43	0	47	176	100	602	594	0	0	0	0	0	0
178	KARLSRUHE	BW	194583	169683	1645	1159	168038	168524	74599	68954	79836	81325	0	0	11628	16399	0	92	0	0	0	0	614	504	0	26	0	0	0	22	217	175	250	171	894	856	0	0	0	0	0	0
179	MANNHEIM I	BW	132368	115202	763	736	114439	114466	61299	60747	43980	44264	0	0	6963	7657	0	40	0	0	0	0	795	655	46	41	0	0	70	39	166	153	311	268	676	602	0	0	0	0	0	133
180	MANNHEIM II	BW	162355	148921	1199	986	147722	147935	69197	65668	68446	67665	0	0	8385	13084	0	54	0	0	0	0	649	462	0	21	0	0	0	67	0	55	288	177	757	682	0	0	0	0	0	0
181	HEIDELBERG-STADT	BW	165368	149267	1691	1094	147576	148173	63552	62775	71392	70540	0	0	10405	12791	0	86	0	0	0	0	466	389	0	21	0	0	0	148	0	69	907	663	854	691	0	0	0	0	0	0
182	PFORZHEIM – KARLSRUHE-LAND I	BW	180131	160933	2331	1497	158602	159436	61460	60626	83688	83542	0	0	11529	13592	668	456	0	0	0	0	486	372	0	32	0	0	0	36	0	79	140	90	631	611	0	0	0	0	0	0
183	BRUCHSAL – KARLSRUHE-LAND II	BW	171212	154475	2928	2070	151547	152405	57548	55530	86137	86676	0	0	6255	8725	0	79	0	0	0	0	407	272	0	20	0	0	0	40	0	62	167	83	1033	918	0	0	0	0	0	0
184	HEIDELBERG-LAND – SINSHEIM	BW	176527	160357	2079	1554	158278	158803	60918	59716	84264	84963	0	0	11482	12588	0	115	0	0	0	0	309	231	0	32	0	0	0	52	0	67	378	216	927	823	0	0	0	0	0	0
185	TAUBERBISCHOFSHEIM	BW	157220	140743	2437	1457	138306	139286	43121	41943	87887	87860	0	0	6075	8367	0	59	0	0	0	0	283	195	0	25	0	0	0	27	0	64	200	97	740	649	0	0	0	0	0	0
186	KONSTANZ	BW	184002	161140	2225	1279	158915	159861	56467	54592	88095	88817	0	0	12424	14943	470	304	0	0	0	0	639	406	0	19	0	0	0	46	0	85	220	120	600	529	0	0	0	0	0	0
187	DONAUESCHINGEN	BW	172069	151419	2038	1483	149381	149936	50843	50792	86973	85464	0	0	10060	12194	0	117	0	0	0	0	413	253	0	28	0	0	0	28	0	103	0	61	1092	896	0	0	0	0	0	0
188	WALDSHUT	BW	135914	119078	1296	1108	117782	117970	42160	38676	67383	68311	0	0	6691	9651	495	306	0	0	0	0	450	284	0	32	0	0	0	22	0	74	0	39	603	575	0	0	0	0	0	0
189	LOERRACH – MUELLHEIM	BW	149173	129759	1579	1262	128180	128497	51997	50550	63808	63145	0	0	10667	13155	367	318	0	0	0	0	651	396	0	30	0	0	0	31	0	90	0	50	690	732	0	0	0	0	0	0
190	FREIBURG	BW	178575	158102	1957	1241	156145	156861	60679	60086	75559	75903	0	0	17039	18684	852	658	0	0	0	0	522	411	0	13	0	0	230	163	131	121	442	391	439	431	0	0	0	0	0	252
191	EMMENDINGEN – WOLFACH	BW	126386	111807	2119	1579	109688	110228	38163	38067	62359	61754	0	0	7664	9245	0	266	0	0	0	0	598	265	0	25	0	0	0	40	126	111	145	111	404	344	0	0	0	0	0	229
192	OFFENBURG	BW	183822	160652	3334	2044	157318	158608	56888	57219	87057	88056	0	0	11624	11825	376	235	0	0	0	0	534	389	0	25	0	0	0	37	0	63	130	81	709	678	0	0	0	0	0	0
193	RASTATT	BW	195963	173290	3452	2294	169838	170996	56673	56195	102077	102926	0	0	9903	10630	0	89	0	0	0	0	514	305	0	27	0	0	0	64	0	62	0	64	671	634	0	0	0	0	0	0
194	REUTLINGEN	BW	212564	189882	2236	1429	187646	188453	72146	67859	98704	98806	0	0	13072	19493	484	313	0	0	0	0	1619	773	0	22	166	0	509	236	0	118	156	102	790	731	0	0	0	0	0	0
195	CALW	BW	180013	157282	2370	1349	154912	155933	55049	52470	87771	87855	0	0	10119	13902	685	442	0	0	0	0	495	285	0	30	0	0	0	55	0	82	0	50	793	762	0	0	0	0	0	0
196	ROTTWEIL	BW	134664	121701	1354	1123	120347	120578	36943	36888	73599	73791	0	0	8582	8754	0	95	0	0	0	0	376	226	0	24	0	0	0	26	0	68	0	25	847	681	0	0	0	0	0	0
197	BALINGEN	BW	196898	174825	2053	1532	172772	173293	51697	49035	110799	110250	0	0	8805	12520	0	101	0	0	0	0	516	284	0	35	0	0	0	41	0	83	0	43	955	901	0	0	0	0	0	0
198	BIBERACH	BW	161487	146743	2652	1282	144091	145461	31309	30488	105103	106433	0	0	6461	7520	0	87	0	0	0	0	479	211	0	36	0	0	0	30	0	60	0	59	739	537	0	0	0	0	0	0
199	RAVENSBURG	BW	205817	185529	2471	1403	183058	184126	47453	46854	122395	122940	0	0	11048	12835	846	426	0	0	0	0	468	261	0	40	0	0	0	55	0	60	288	163	560	492	0	0	0	0	0	0
908	BADEN-WUERTTEMBERG	BW	6118464	5452370	67844	46836	5384526	5405534	2060398	1980313	2887782	2882365	0	0	375122	489661	8746	7509	0	0	0	0	19147	12524	163	978	166	0	1100	2050	772	2881	4626	3842	25201	23411	0	0	0	0	0	1303
																																										
200	ALTOETTING	BY	189255	171781	2096	1140	169685	170641	43307	41851	0	0	119059	120124	5818	7402	0	76	0	38	473	266	312	186	0	24	0	49	0	0	0	80	0	0	716	545	0	0	0	0	0	0
201	FREISING	BY	186958	169134	2258	1122	166876	168012	50568	49195	0	0	105707	105324	9498	12132	0	127	0	62	0	183	389	255	0	31	0	57	0	0	0	80	0	0	714	566	0	0	0	0	0	0
202	FUERSTENFELDBRUCK	BY	226087	204957	1883	1134	203074	203823	67466	61480	0	0	122207	123406	11947	17228	0	117	0	59	0	198	501	308	0	41	0	115	0	0	0	90	0	0	953	781	0	0	0	0	0	0
203	INGOLSTADT	BY	176095	158308	1626	1109	156682	157199	45020	46193	0	0	103612	103086	6538	6614	0	85	0	45	0	143	913	371	0	30	0	59	0	0	0	87	0	0	599	486	0	0	0	0	0	0
204	MUENCHEN-MITTE	BY	133305	111652	1091	535	110561	111117	48061	46567	0	0	51042	51199	9547	11628	338	184	0	56	0	124	646	550	63	53	0	70	104	0	272	254	0	0	488	432	0	0	0	0	0	0
205	MUENCHEN-NORD	BY	169844	145600	1440	771	144160	144829	68342	62396	0	0	64351	65419	9260	15246	426	181	0	40	0	102	746	486	113	81	0	77	0	0	320	241	0	0	602	560	0	0	0	0	0	0
206	MUENCHEN-OST	BY	176395	152313	1363	720	150950	151593	63696	60739	0	0	72326	72496	12763	16597	690	220	0	41	0	159	547	464	137	69	0	80	0	0	275	220	0	0	516	508	0	0	0	0	0	0
207	MUENCHEN-SUED	BY	176397	154844	1457	653	153387	154191	60433	60458	0	0	73330	72899	17785	19014	348	214	0	93	0	152	504	465	78	50	0	70	0	0	257	226	0	0	652	550	0	0	0	0	0	0
208	MUENCHEN-WEST	BY	158253	139032	1347	719	137685	138313	54655	53358	0	0	69027	68325	12373	15133	368	182	0	46	0	147	459	378	55	32	0	81	0	0	212	170	0	0	536	461	0	0	0	0	0	0
209	MUENCHEN-LAND	BY	216647	198679	1543	927	197136	197752	56445	56840	0	0	114950	115668	24364	23469	0	209	0	63	0	243	661	416	0	41	0	112	0	0	0	117	0	0	716	574	0	0	0	0	0	0
210	ROSENHEIM	BY	215137	194905	2690	1222	192215	193683	58960	54910	0	0	120253	123763	10804	13093	618	219	0	115	0	330	505	332	0	35	0	87	0	0	263	175	0	0	812	624	0	0	0	0	0	0
211	TRAUNSTEIN	BY	164037	148025	2038	1145	145987	146880	36978	36494	0	0	99797	100114	7988	8853	0	89	0	45	0	199	466	303	0	41	0	64	0	0	0	80	0	0	758	598	0	0	0	0	0	0
212	WEILHEIM	BY	195037	177445	1716	1246	175729	176199	47478	46654	0	0	116595	116971	10582	11153	0	126	0	54	0	198	447	287	0	32	0	101	0	0	0	79	0	0	627	544	0	0	0	0	0	0
213	DEGGENDORF	BY	122151	103739	1821	1166	101918	102573	24739	24560	0	0	74716	74590	1823	2589	0	53	0	21	0	115	238	159	0	24	0	52	0	0	0	38	0	0	402	372	0	0	0	0	0	0
214	LANDSHUT	BY	176229	157805	2779	1560	155026	156245	43446	42604	0	0	102446	105286	7074	6915	464	155	0	30	0	130	628	289	0	30	0	61	0	0	0	68	0	0	968	677	0	0	0	0	0	0
215	PASSAU	BY	143653	125753	1702	1309	124051	124444	36574	34859	0	0	83039	84540	3022	4051	233	88	0	16	0	76	203	133	0	30	333	76	0	0	0	68	0	0	647	507	0	0	0	0	0	0
216	ROTTAL-INN	BY	128677	114604	1579	1184	113025	113420	28889	26839	0	0	79275	81524	3596	4035	0	57	0	25	422	208	213	136	0	16	0	57	0	0	0	40	0	0	630	483	0	0	0	0	0	0
217	STRAUBING	BY	143844	123796	1987	1453	121809	122343	33341	31924	0	0	84352	85290	3016	3935	0	59	0	35	0	229	397	235	0	25	0	48	0	0	0	53	0	0	703	510	0	0	0	0	0	0
218	AMBERG	BY	167872	152782	1789	1247	150993	151535	42696	43025	0	0	101040	100694	5504	6313	310	115	0	30	0	99	351	243	0	18	0	48	0	0	0	58	0	0	1092	892	0	0	0	0	0	0
